call_idx,unit_id,action_type,surrogate_score,oracle_outcome,event_f1_before,event_f1_after,realized_event_f1_delta
0,206,DISCOVER_CORE,0.0034185333793235,negative,0.0,0.0,0.0
1,147,DISCOVER_CORE,0.0032884334770661,negative,0.0,0.0,0.0
2,257,DISCOVER_CORE,0.003236788815972,negative,0.0,0.0,0.0
3,72,DISCOVER_CORE,0.0032088574830958,negative,0.0,0.0,0.0
4,320,DISCOVER_CORE,0.0031954262517985,negative,0.0,0.0,0.0
5,4,DISCOVER_CORE,0.0031455833992439,negative,0.0,0.0,0.0
6,251,DISCOVER_CORE,0.003126310268334,negative,0.0,0.0,0.0
7,158,DISCOVER_CORE,0.0031109467010885,negative,0.0,0.0,0.0
8,171,DISCOVER_CORE,0.0029301385835743,positive,0.0,0.07407407407407407,0.07407407407407407
9,236,DISCOVER_CORE,0.0029299986545514,negative,0.07407407407407407,0.07407407407407407,0.0
10,24,DISCOVER_CORE,0.0028621765853399,negative,0.07407407407407407,0.07407407407407407,0.0
11,336,DISCOVER_CORE,0.0028240719012417,negative,0.07407407407407407,0.07407407407407407,0.0
12,152,DISCOVER_CORE,0.002786234418294,negative,0.07407407407407407,0.07407407407407407,0.0
13,209,DISCOVER_CORE,0.0027804609413474,negative,0.07407407407407407,0.07407407407407407,0.0
14,219,DISCOVER_CORE,0.002771650966252,positive,0.07407407407407407,0.14285714285714288,0.06878306878306881
15,214,DISCOVER_CORE,0.0027705865844711,negative,0.14285714285714288,0.14285714285714288,0.0
16,182,DISCOVER_CORE,0.0027198440506616,negative,0.14285714285714288,0.14285714285714288,0.0
17,123,DISCOVER_CORE,0.0027135293339864,negative,0.14285714285714288,0.14285714285714288,0.0
18,168,DISCOVER_CORE,0.002708313726889,negative,0.14285714285714288,0.14285714285714288,0.0
19,230,DISCOVER_CORE,0.0027036984529937,negative,0.14285714285714288,0.14285714285714288,0.0
20,329,DISCOVER_CORE,0.0026418608910554,negative,0.14285714285714288,0.14285714285714288,0.0
21,165,DISCOVER_CORE,0.0026415396097601,negative,0.14285714285714288,0.14285714285714288,0.0
22,11,DISCOVER_CORE,0.0026254922898717,negative,0.14285714285714288,0.14285714285714288,0.0
23,234,DISCOVER_CORE,0.0026221655674166,negative,0.14285714285714288,0.14285714285714288,0.0
24,280,DISCOVER_CORE,0.0026210400255534,negative,0.14285714285714288,0.14285714285714288,0.0
25,339,DISCOVER_CORE,0.0026059326067164,negative,0.14285714285714288,0.14285714285714288,0.0
26,333,DISCOVER_CORE,0.0026034487872241,negative,0.14285714285714288,0.14285714285714288,0.0
27,267,DISCOVER_CORE,0.0025938694525198,negative,0.14285714285714288,0.14285714285714288,0.0
28,305,DISCOVER_CORE,0.0025723769608146,negative,0.14285714285714288,0.14285714285714288,0.0
29,228,DISCOVER_CORE,0.0025612453667963,negative,0.14285714285714288,0.14285714285714288,0.0
30,17,DISCOVER_CORE,0.0025445781035572,negative,0.14285714285714288,0.14285714285714288,0.0
31,121,DISCOVER_CORE,0.0025444014987378,negative,0.14285714285714288,0.14285714285714288,0.0
