variant,budget,materializer,logical_calls,event_precision,event_recall,event_f1,event_count_error,predicted_event_count,reference_event_count,tiou_03,tiou_05,matched_mean_iou,overmerge,oversplit,returned_seconds,overcoverage_ratio,event_recall_per_returned_minute
canonical,5,k3_bridge_safe,5,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canonical,5,original_k3,5,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canonical,10,k3_bridge_safe,10,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.12391573729863686,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
canonical,10,original_k3,10,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.12391573729863686,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
canonical,20,k3_bridge_safe,20,1.0,0.07692307692307693,0.14285714285714288,24.0,2.0,26.0,0.0,0.0,0.09695786864930933,0.0,0.0,20.0,0.13495276653171537,0.23076923076923078
canonical,20,original_k3,20,1.0,0.07692307692307693,0.14285714285714288,24.0,2.0,26.0,0.0,0.0,0.09695786864930933,0.0,0.0,20.0,0.13495276653171537,0.23076923076923078
canonical,50,k3_bridge_safe,50,1.0,0.19230769230769232,0.32258064516129037,21.0,5.0,26.0,0.0,0.0,0.07378314745971919,0.0,0.0,50.0,0.3373819163292884,0.23076923076923078
canonical,50,original_k3,50,1.0,0.15384615384615385,0.2666666666666667,22.0,4.0,26.0,0.0,0.0,0.0630622676579899,1.0,0.0,60.0,0.4048582995951461,0.15384615384615385
canonical,80,k3_bridge_safe,80,0.875,0.2692307692307692,0.411764705882353,18.0,8.0,26.0,0.0,0.0,0.09040449637102807,0.0,1.0,90.0,0.6072874493927192,0.1794871794871795
canonical,80,original_k3,80,0.8571428571428571,0.23076923076923078,0.36363636363636365,19.0,7.0,26.0,0.0,0.0,0.08602746798842668,1.0,1.0,100.0,0.6747638326585768,0.13846153846153847
