unit_id,relative_start_time,relative_end_time,absolute_start_time,absolute_end_time,absolute_center_time,source_path,source_sha256,requested_relative_timestamp_seconds,decoded_frame_sha256,checkpoint_path,checkpoint_sha256
0,0.0,10.0,0.0,10.0,5.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00000_s000000000ms_e000010000ms.mp4,9a39682031a797bcd7da1bdad2461c57fc4531abf341650f4147d5a28a6f3fc7,5.0,45481c08fe5da07e8355b712e1f45ed0344f76d87a0ea95149f48d53c4283446,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0000.json,a022743e99a29e0fa2b795b4b2d165980742149077e2974e0c23476435ad150f
1,10.0,20.0,10.0,20.0,15.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00001_s000010000ms_e000020000ms.mp4,c3d220e962eef940670170149cc7268ddfe0e075eae4727e613f5c2b4ee4d56d,5.0,17ad2f1ec5b9a46a51ff445ddb95cde594dcaf0cc0b668722c10960cf5eabf17,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0001.json,5fd17d6eb0fac194a78a1cba0167b0b9c460be94dc45e677d70ca3492b05fcfb
2,20.0,30.0,20.0,30.0,25.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00002_s000020000ms_e000030000ms.mp4,3b57fad5c5295e4c9ca7bd753c685963b9dc951b5cb7a9741fd00a5070cb71a0,5.0,183b393a66b6c7501bfae7042cf2b5e492ab3742218d26566ae222faea807557,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0002.json,070239030a229d553c0b7ebc7f3b6247c429c6d9ac9f0fb62a6484717fd6d4d7
3,30.0,40.0,30.0,40.0,35.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00003_s000030000ms_e000040000ms.mp4,4f5f2242baa02d64bc8807ab197790f1f37e7672b0251c15ca70845e9846bf54,5.0,e362379caa74c03288e4a931f28735f3d5f455a4d6c0a31d8026e7ce0eb03ef8,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0003.json,83f52347718e0b1f84497df5babd717ed1b066d1347c17b02c300621265f9c67
4,40.0,50.0,40.0,50.0,45.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00004_s000040000ms_e000050000ms.mp4,582ccb927b6edc17309cd844489beac6384401f38f00b1b80fa3a38a2e0952c9,5.0,d3a9191b40fb9748419b22a26f1be73c1e1c6e1dbb251ce8d94757e70b60a497,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0004.json,0b7e02b4e805a192a05fa698930602190e31b8e05abbf283b3b79939295dfa09
5,50.0,60.0,50.0,60.0,55.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00005_s000050000ms_e000060000ms.mp4,97a70c4843162d827e5a05b9767419b76ed2ebc07bbf1a3d95afc2c92402696e,5.0,758bcb4ce5d7639e51e6f81771db488c8a94e10d89414255aefbb89eb4aa6a09,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0005.json,4a1040ca0d9d4be6bb67d441d3cdf8dd6b7e6f5e353a095f24d7784a2e79e585
6,60.0,70.0,60.0,70.0,65.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00006_s000060000ms_e000070000ms.mp4,b2817ee236d8bf701758178d2372640f941826246c2b30e130e6512af901f462,5.0,35cc62fdfa5d721157745726b0546b8e92f8ec4ff3c001d4ad164849c03228bd,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0006.json,3850bc38f254f8ac133285e5c3c7f3cf1e02d7aaffbf45b498feac2ad8d32ad3
7,70.0,80.0,70.0,80.0,75.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00007_s000070000ms_e000080000ms.mp4,c10e99ac3d81c9b5400fb8a67609818b6bcc120fd748312e59c05de2428cc8d9,5.0,aab75aba6ab1d7757556cfd1c8526188d310171a6519610db6c6bd1638393622,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0007.json,78bc28e0fcbaf9105bcf8ad12e678fec430fcea2e9ede7de18970044baf8d539
8,80.0,90.0,80.0,90.0,85.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00008_s000080000ms_e000090000ms.mp4,65a194450557f4ed1e6d2968daf71a2fccf1fb675b644ad30eb652d83a29e012,5.0,57c1f751ca72c63c68c1a4e867cf1a18ce982f3b8ec543df5146735606df0b11,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0008.json,13c1abb7ed27e14a47ef5a30fd99fe3afecb4dfa5efb6990de2152731f1fa047
9,90.0,100.0,90.0,100.0,95.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00009_s000090000ms_e000100000ms.mp4,4dbca060df7537241fe9a7b82aec97aae7bc57dfdbb5568edb18006b4126bde2,5.0,e105c168dadc2bf898804687de3f1a5b72609f63467868095bdf3a8998d729b5,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0009.json,8d77e44861a1995c14c0c0048b9df69cdfb7677490d56237552b7c72658aadd8
10,100.0,110.0,100.0,110.0,105.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00010_s000100000ms_e000110000ms.mp4,36d83f16825a500247136ecd732d12b589ecc35ed1fab281e6fe9ea07e989d35,5.0,182ed3612de0cdf23f30cb8125db08b87530d2388204a543c324f17a48894d62,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0010.json,547c35d0e0fcbb84a7ae0410128961df8ef583c125124b3089848a34bda4cfd0
11,110.0,120.0,110.0,120.0,115.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00011_s000110000ms_e000120000ms.mp4,e3c3f5fbb5928c80c9026d8a62e4ea6ac414374b3e6bacf41eb853bc01fe5bbd,5.0,c1ea52a089d7b6b8480aa6621f4daad22e5a2d9cbf9dd3dace125012aa84ae45,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0011.json,93a1671b69794826a24a1db37480f24102a124c5667667afa97c296034c3f187
12,120.0,130.0,120.0,130.0,125.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00012_s000120000ms_e000130000ms.mp4,e45287e138cec6ed134841cf9ca521827e1c2d4fb7b4f2eef6402b92b63142a6,5.0,3e1436fc2171315f09b17a6233da6a24c5061de8070b1a3f1b3b074a58332823,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0012.json,3c357a156365933d388a5e442f73bb52bcdcd11cc62ba590a3a66bdaeefd7fc5
13,130.0,140.0,130.0,140.0,135.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00013_s000130000ms_e000140000ms.mp4,05a6ae692cabdde25faf877f3e713dc45e2f93d25352931264cfa5ad1111532b,5.0,9d011045bdef9b4f01c836f775fa34170a16396cd5ff301644c15adb198d5e96,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0013.json,56bf2f5238da4a7978e299c3b4fd6ac04142156e452ef70a6f4581a05daf1c64
14,140.0,150.0,140.0,150.0,145.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00014_s000140000ms_e000150000ms.mp4,96aef4e07104cd74a9f96381e20ccccc975389c75cbe075c81fd96b033f7aa85,5.0,489685f7c03702db7db195ae9af2dc21ecb3c3e1b072c8881c0cb021d565b545,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0014.json,1f991ed837ec2104c47a0ee44727ff5b6e1a6c9493831491acc5dc4679fc576e
15,150.0,160.0,150.0,160.0,155.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00015_s000150000ms_e000160000ms.mp4,33fc524b45ff53773751e7bcfee7e94d81bb4aceef0694c98e1e6e2e73e72e0b,5.0,d0a4dd01b117f25329461e64c1bc60977dbe5a5074ce830931a4b8baf783eef9,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0015.json,aad5524a6e77863074425238869876dae4b5a55f9d51777ea5978319566dc09b
16,160.0,170.0,160.0,170.0,165.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00016_s000160000ms_e000170000ms.mp4,487b12a10f4f66d788a92f5158b52b75cb44eb7017230cc4b0d4bb1ba8018c0f,5.0,83fd497c77c0cbae4b3579f27cbbb5d670759fbac29df0df9bdaf2c7f528b626,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0016.json,dbfb3ea0a13e9fdfc09378769b3ed04147f3aca684919db58354a950ec9a9336
17,170.0,180.0,170.0,180.0,175.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00017_s000170000ms_e000180000ms.mp4,e23bfad467204adc511d0adf67cc81c01b6923779039504500bffb0272961f98,5.0,aaf9e8cd903edd8efea573e68891143af49bbf86c61f202a92d186863590dad0,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0017.json,cbff69cbff44259d1d1ad044b1293f02b7308b183c0faebd0c8bb26f75dc5c7f
18,180.0,190.0,180.0,190.0,185.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00018_s000180000ms_e000190000ms.mp4,69557614415ac555f9c1db02fe31655a5bc07529bcf0010ac5980d226cb98686,5.0,b8be6661927abbab370073f7c29d0332743495a734f934963bff5bba85506069,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0018.json,464e81dbaf180b20904bd7c5c1852b1bacd51462cce6a86fec8b1d5a13995a72
19,190.0,200.0,190.0,200.0,195.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00019_s000190000ms_e000200000ms.mp4,af7c1634185d1e065e05b4727437b94a3a7f0634b5f4a3d524cbcd4d28893553,5.0,dad80c36ac354fa89ec3906a1c97e0b158f863af3636573dffa2262d352ee24c,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0019.json,095d9e746454301f81243114648ca34440689b3ef4910a66138ed48478a6f4a1
20,200.0,210.0,200.0,210.0,205.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00020_s000200000ms_e000210000ms.mp4,730c6c078e2ea25fcdc56505988c4f8681d6010d689cd6be75ef001e1236b1ee,5.0,23224b3dcc123c03d6b867718f8f456a2aef965ba955f8d0187a97b4a7c5e8b5,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0020.json,871afa5b2878a58e9f8725e13544b6528e34dee017e1bcd5a4a35bda953da5ad
21,210.0,220.0,210.0,220.0,215.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00021_s000210000ms_e000220000ms.mp4,298a031309933cdd7dd4df7371ad25f80f802fcc781eec7f04a63d4bc1abe40a,5.0,463e86c2efdc1dac73c3cca2581a3a805524f31a262628f97976b13201fa56d3,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0021.json,2c4d23a63c54a918f8461d1d7afbc8803db3a5dc3e7501567da11359dfa19aea
22,220.0,230.0,220.0,230.0,225.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00022_s000220000ms_e000230000ms.mp4,6e7d0d125c844b7fea2113ce7d3d70e2f94896768fcc942daba39eff59839d23,5.0,9dd6981cf478fcf6d3221a9c10ce03a3525e3ccf72fede55867aed5c8318dd9a,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0022.json,567fcc18102d6c6a1f8478ecf9aa697b775b4c7c93b4d5cbb3528d6dafdf5bf2
23,230.0,240.0,230.0,240.0,235.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00023_s000230000ms_e000240000ms.mp4,70e7a1d713eb31863bdcf46b27b0107cc74ef40ac99b65c5b7424632558606c4,5.0,e73fe74e5ccc26612395d51fbe9559f54db5c00e1bdfccdd639b3d8950f15e5a,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0023.json,25d2ecdfd71d13d870c59c84db074e6a05a1604fc11c071c6ad08f1dc47314e5
24,240.0,250.0,240.0,250.0,245.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00024_s000240000ms_e000250000ms.mp4,cc5976bf880769c023112c55c647bceda69f9b6724e80a27a03001d40d18d1a7,5.0,7854d9dc37fdef2626c87ebd26caf7295abe051f7b6e5a0f526f7c2cc34da5dc,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0024.json,d1d22eb51f255c4783210d7076a84be50fe6b85fdadece9221c1f79893c3b7da
25,250.0,260.0,250.0,260.0,255.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00025_s000250000ms_e000260000ms.mp4,37e0a60099d12f6bf8829e064d3c5c3cbdef5979de4c162e2940a2b649341704,5.0,c6995afd319356b37e20836ae4dc31e358fd2f481f3c8e86e596ff9f4a5da683,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0025.json,0cd520ad4bbf97ee86261684faa15acb794e6a86d8c382f64b4aa8cf9a872d11
26,260.0,270.0,260.0,270.0,265.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00026_s000260000ms_e000270000ms.mp4,4d2520bb006f4ac3ed08d4443a5d99be22864db5598561e06fa521b6df23d4d0,5.0,8c27ea96483140a31cc7b09618e7ea0be24e611f649b5f0cc60a73e2f867732c,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0026.json,b388a6b54ab1be0322c15b0185ccff4cb6069d09cc4eaf44d09bdd9253ec2e91
27,270.0,280.0,270.0,280.0,275.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00027_s000270000ms_e000280000ms.mp4,2e163b18679b2cb56808d36a0360b7e7fd7b28a8440b9ff95a7b68e6bf84f370,5.0,54a907462432556c1f3ba98687f725c364215fa15b9021b3b58c8e392803d302,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0027.json,f0bbf1d9c5baba5e2f5dddef4593b02efbd525d06cb212a935cf513851b2fd38
28,280.0,290.0,280.0,290.0,285.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00028_s000280000ms_e000290000ms.mp4,1817db0ed9420692058c12baad66d2d1d2f6458aaf2d533e317969cea6163992,5.0,8f13c36d909a442deeb5838fe652b0812b138fa8868db87736df826d2200ce5b,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0028.json,605f5ed25862d58d2da45bb1240c5fd2b81ec66f0480b035f15c17f4f2e60b77
29,290.0,300.0,290.0,300.0,295.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00029_s000290000ms_e000300000ms.mp4,162b0f5009d529e74df32b532604bc18d301f2770c544002888f747725fb3e1f,5.0,f5ff2c963f143bd15060b1dbad7308eebadc6f7475bd16863ef7ab9aa12ab5e4,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0029.json,0d390a112970bb0ba10a9035ad545787cbe5617f7566a5368097b0ce411d30a2
30,300.0,310.0,300.0,310.0,305.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00030_s000300000ms_e000310000ms.mp4,1bdae329b7b48e221b9fe318db784023d8f8271f945f4619b1956dd57d73e216,5.0,33e796f4b5a52aee15e06929d0f86a191a0e29043fc679cb205ba781f702ee78,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0030.json,882ca5ebe48228ef6adf0b2dd03473c6e3034642ced4e8eebc053b6358f362bd
31,310.0,320.0,310.0,320.0,315.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00031_s000310000ms_e000320000ms.mp4,0e807b33a5324927ede46b7b7b94587cc56c69af2e63db9ae695ccba17252e2e,5.0,23e8ff059961c91c95966d2f410113fab042d1228c0870175767c9be2b5e7a05,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0031.json,10c61c38841736c194941d025d7cbacd904f1903f5c6c2044837e5b1c60cf801
32,320.0,330.0,320.0,330.0,325.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00032_s000320000ms_e000330000ms.mp4,98bde69fd90ea2426de26b329b855c2d67b6b1a0b377a3ab4ab9abf72fe82fa7,5.0,a65015c62ad587c6350b375f4216fa931a2c28fb7130d7a916ac00a5b382b1d1,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0032.json,f7ee198823577b2e002e020e3ad0789cba8603e11527ac992942b1c24c119ab1
33,330.0,340.0,330.0,340.0,335.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00033_s000330000ms_e000340000ms.mp4,c6de3bcb3183901e95585aa23f684d90aa2d051ad212521b4defd599bec407a6,5.0,17f7dbc91ed18f603434fbf1ef1d71438caf18401a1f7d668f01fda9b14b9739,BSEC_AQP_Development_Gate_v1/outputs/confirmatory/clip_inference/checkpoints/unit_0033.json,e41677c49c78c7fa1ae5a64066b91d79d7ab5c187d4562b3dab6df354f4ceff3
