dataset,method,method_variant,seed,budget,exact_oracle_calls,selected_positive_units,selected_distinct_reference_events,positive_duplicate_burden,event_precision,event_recall,event_f1,event_count_error,predicted_event_count,reference_event_count,tiou_03,tiou_05,matched_mean_iou,overmerge,oversplit,returned_seconds,overcoverage_ratio,event_recall_per_returned_minute
development,clip_topk,raw_clip,0,5,5.0,2.0,2.0,0.0,1.0,0.07692307692307693,0.14285714285714288,24.0,2.0,26.0,0.0,0.0,0.09695786864930933,0.0,0.0,20.0,0.13495276653171537,0.23076923076923078
development,clip_topk,raw_clip,0,10,10.0,4.0,4.0,0.0,1.0,0.15384615384615385,0.2666666666666667,22.0,4.0,26.0,0.0,0.0,0.08347893432465694,0.0,0.0,40.0,0.26990553306343074,0.23076923076923078
development,clip_topk,raw_clip,0,20,20.0,7.0,7.0,0.0,1.0,0.2692307692307692,0.42424242424242425,19.0,7.0,26.0,0.0,0.0,0.07770224818551695,0.0,0.0,70.0,0.4723346828610038,0.23076923076923075
development,clip_topk,raw_clip,0,50,50.0,11.0,11.0,0.0,1.0,0.4230769230769231,0.5945945945945945,15.0,11.0,26.0,0.038461538461538464,0.038461538461538464,0.15349956150463318,0.0,0.0,110.0,0.7422402159244345,0.23076923076923078
development,clip_topk,raw_clip,0,80,80.0,15.0,13.0,2.0,0.8666666666666667,0.5,0.6341463414634146,11.0,15.0,26.0,0.038461538461538464,0.038461538461538464,0.1406534751193022,0.0,2.0,150.0,1.0121457489878651,0.2
development,clip_topk,raw_clip,0,100,100.0,17.0,14.0,3.0,0.875,0.5384615384615384,0.6666666666666667,10.0,16.0,26.0,0.07692307692307693,0.07692307692307693,0.20621359665013697,0.0,2.0,170.0,1.1470985155195805,0.19004524886877827
development,qtpc,h8_frozen,0,5,5.0,3.0,3.0,0.0,1.0,0.11538461538461539,0.20689655172413793,23.0,3.0,26.0,0.0,0.0,0.08797191243288198,0.0,0.0,30.0,0.20242914979757304,0.23076923076923078
development,qtpc,h8_frozen,0,10,10.0,4.0,4.0,0.0,1.0,0.15384615384615385,0.2666666666666667,22.0,4.0,26.0,0.0,0.0,0.08347893432465693,0.0,0.0,40.0,0.26990553306343074,0.23076923076923078
development,qtpc,h8_frozen,0,20,20.0,7.0,7.0,0.0,1.0,0.2692307692307692,0.42424242424242425,19.0,7.0,26.0,0.0,0.0,0.07770224818551695,0.0,0.0,70.0,0.4723346828610038,0.23076923076923075
development,qtpc,h8_frozen,0,50,50.0,12.0,12.0,0.0,1.0,0.46153846153846156,0.631578947368421,14.0,12.0,26.0,0.07692307692307693,0.07692307692307693,0.21858955131694122,0.0,0.0,120.0,0.8097165991902922,0.23076923076923078
development,qtpc,h8_frozen,0,80,80.0,13.0,13.0,0.0,1.0,0.5,0.6666666666666666,13.0,13.0,26.0,0.11538461538461539,0.11538461538461539,0.27366569654274203,0.0,0.0,130.0,0.8771929824561499,0.23076923076923078
development,qtpc,h8_frozen,0,100,100.0,16.0,15.0,1.0,1.0,0.5769230769230769,0.7317073170731707,11.0,15.0,26.0,0.11538461538461539,0.11538461538461539,0.2198716410535514,0.0,0.0,160.0,1.079622132253723,0.21634615384615383
development,temporal_nms,h8,0,5,5.0,3.0,3.0,0.0,1.0,0.11538461538461539,0.20689655172413793,23.0,3.0,26.0,0.0,0.0,0.0879719124328744,0.0,0.0,30.0,0.20242914979757304,0.23076923076923078
development,temporal_nms,h8,0,10,10.0,5.0,5.0,0.0,1.0,0.19230769230769232,0.32258064516129037,21.0,5.0,26.0,0.0,0.0,0.08078314745972645,0.0,0.0,50.0,0.3373819163292884,0.23076923076923078
development,temporal_nms,h8,0,20,20.0,7.0,7.0,0.0,1.0,0.2692307692307692,0.42424242424242425,19.0,7.0,26.0,0.0,0.0,0.07770224818551695,0.0,0.0,70.0,0.4723346828610038,0.23076923076923075
development,temporal_nms,h8,0,50,50.0,10.0,10.0,0.0,1.0,0.38461538461538464,0.5555555555555556,16.0,10.0,26.0,0.038461538461538464,0.038461538461538464,0.161849517655098,0.0,0.0,100.0,0.6747638326585768,0.23076923076923078
development,temporal_nms,h8,0,80,80.0,14.0,14.0,0.0,1.0,0.5384615384615384,0.7000000000000001,12.0,14.0,26.0,0.07692307692307693,0.07692307692307693,0.19736247255737718,0.0,0.0,140.0,0.9446693657220075,0.23076923076923075
development,temporal_nms,h8,0,100,100.0,17.0,14.0,3.0,0.875,0.5384615384615384,0.6666666666666667,10.0,16.0,26.0,0.07692307692307693,0.07692307692307693,0.20621359665013697,0.0,2.0,170.0,1.1470985155195805,0.19004524886877827
development,temporal_nms,h10_dev_selected,0,5,5.0,3.0,3.0,0.0,1.0,0.11538461538461539,0.20689655172413793,23.0,3.0,26.0,0.0,0.0,0.0879719124328744,0.0,0.0,30.0,0.20242914979757304,0.23076923076923078
development,temporal_nms,h10_dev_selected,0,10,10.0,5.0,5.0,0.0,1.0,0.19230769230769232,0.32258064516129037,21.0,5.0,26.0,0.0,0.0,0.08078314745972645,0.0,0.0,50.0,0.3373819163292884,0.23076923076923078
development,temporal_nms,h10_dev_selected,0,20,20.0,7.0,7.0,0.0,1.0,0.2692307692307692,0.42424242424242425,19.0,7.0,26.0,0.0,0.0,0.07770224818551695,0.0,0.0,70.0,0.4723346828610038,0.23076923076923075
development,temporal_nms,h10_dev_selected,0,50,50.0,11.0,11.0,0.0,1.0,0.4230769230769231,0.5945945945945945,15.0,11.0,26.0,0.038461538461538464,0.038461538461538464,0.1534995615046329,0.0,0.0,110.0,0.7422402159244345,0.23076923076923078
