unit_id,relative_start_time,relative_end_time,absolute_start_time,absolute_end_time,absolute_center_time,source_path,source_sha256,requested_relative_timestamp_seconds,decoded_frame_sha256,checkpoint_path,checkpoint_sha256
0,0.0,10.0,1630.0,1640.0,1635.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00163_s001630000ms_e001640000ms.mp4,e4cd5d09775c03eada5245605597eac366b723e1a72811e1464c6049ca321b54,5.0,2ec9f0b6645f2ddae7035d0da22af6038c32724247b267984075bbbf3a177bcf,BSEC_AQP_Development_Gate_v1/outputs/final_confirmation/realcartest_1630_2000/clip_inference/checkpoints/unit_0000.json,f544ce2f0f359cf6a385381f1d371f45a5d261d17b6c9573a93d9238ffdd7e13
1,10.0,20.0,1640.0,1650.0,1645.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00164_s001640000ms_e001650000ms.mp4,14734c29a5de67ae89a3a8abb5e9ebab55166e4c27b362d6b7c9ee673454ea20,5.0,52782b3fe91e6da5b10d9d3aa5bce6f74b4144966bd8648e2fde62b8a7bfae26,BSEC_AQP_Development_Gate_v1/outputs/final_confirmation/realcartest_1630_2000/clip_inference/checkpoints/unit_0001.json,eee778e9f2ec0cec9cfac58b9e78810b47869bb4c734f3fd632f78d04078f318
2,20.0,30.0,1650.0,1660.0,1655.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00165_s001650000ms_e001660000ms.mp4,cf9538ceb7a7ef3e8acb5c8281f47c438c93dd469c3dbf085854435e7ebf9fff,5.0,5e1cf23472547a6e9282bbdaac3545b0abb219d6238abc0784d6aedad3c4c458,BSEC_AQP_Development_Gate_v1/outputs/final_confirmation/realcartest_1630_2000/clip_inference/checkpoints/unit_0002.json,eb63e6188b8b83a45940039d051aa68cb0e3a7dcdb4c5595af941d67e95895d2
3,30.0,40.0,1660.0,1670.0,1665.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00166_s001660000ms_e001670000ms.mp4,dd72c1cd96106b61a89999a08101ce4b550f1cb3a6b6a682c9afaa1ecc426ddc,5.0,252194b512d607573e73829719857961d81e8b8bf5a560f2fd19aeb085eb2d9d,BSEC_AQP_Development_Gate_v1/outputs/final_confirmation/realcartest_1630_2000/clip_inference/checkpoints/unit_0003.json,fd5a23d8343dc029b4f9882caab120cc03a3c4a579d549f11696d0dcb2a1001c
4,40.0,50.0,1670.0,1680.0,1675.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00167_s001670000ms_e001680000ms.mp4,a464cf375c5b9b7b43eb2506e2d56639f919f41538650e1b85d26d59607e9bd9,5.0,aec2584db7fc93daf34c8af25b745ffdcc321624bdcecce3d11e44a40d09101f,BSEC_AQP_Development_Gate_v1/outputs/final_confirmation/realcartest_1630_2000/clip_inference/checkpoints/unit_0004.json,8d349171d297734597103ee3edf659277b2c6bf0908de1f11d07e9f850d6af10
5,50.0,60.0,1680.0,1690.0,1685.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00168_s001680000ms_e001690000ms.mp4,b9a0ecc4a0ab50c770af584f5aa1931811e08d104e88b0e79be9b5268d49115a,5.0,235af56751c4161f5a812333964d10bbe4653427148d0a68198867f6181b7fdc,BSEC_AQP_Development_Gate_v1/outputs/final_confirmation/realcartest_1630_2000/clip_inference/checkpoints/unit_0005.json,25833239d6c4c8610603298e745113f08f05032971269e1bda7ec4f551b03097
6,60.0,70.0,1690.0,1700.0,1695.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00169_s001690000ms_e001700000ms.mp4,caa1bb5cc850a0e5061ffbc3368299b47c819a1d65cdbe996616be52bf747cb7,5.0,b03ea99c8f655baf172eb184220492f60aa3126d4a34166b35183bf071c6afe1,BSEC_AQP_Development_Gate_v1/outputs/final_confirmation/realcartest_1630_2000/clip_inference/checkpoints/unit_0006.json,ff952b6e76ce10b9cb50700091af9af7635f53e8a1f4ae00ea33adae91498039
7,70.0,80.0,1700.0,1710.0,1705.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00170_s001700000ms_e001710000ms.mp4,dbbfce80632ddaf4422867e1f72d3fd1d1dc7769ca6a637b2ecf0b860c6292f4,5.0,8e0a9fb144be021672b260f6cc38ac8c6f592f196218b3820e8d98ff43a70748,BSEC_AQP_Development_Gate_v1/outputs/final_confirmation/realcartest_1630_2000/clip_inference/checkpoints/unit_0007.json,73672f698b437ad90595a0ebd1f0018b450da948e36f33ab57f530df04bc4c99
8,80.0,90.0,1710.0,1720.0,1715.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00171_s001710000ms_e001720000ms.mp4,acead7266004dca033da3467c4456bce9ec074ce9cd078d1c2717f21041e3886,5.0,145323d944d16296e9f546692cf3100bb7fc2240a4c4f9d4299b107a3019ceb4,BSEC_AQP_Development_Gate_v1/outputs/final_confirmation/realcartest_1630_2000/clip_inference/checkpoints/unit_0008.json,74bf9ba08e318cf07f1bbd6aa7c1692c16ce58580be74f16e269dc2ae258e188
9,90.0,100.0,1720.0,1730.0,1725.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00172_s001720000ms_e001730000ms.mp4,56ed0712ddc587e528fb28f6a156c345299fa970024b7e6e80a5a061a935c739,5.0,4e6e9fdfbec21e7cedb1581ade9210b49724de5734f615d0ebbd3463131d3c77,BSEC_AQP_Development_Gate_v1/outputs/final_confirmation/realcartest_1630_2000/clip_inference/checkpoints/unit_0009.json,57d94b5153e74f71646262729a6465b34451ca4c0720d3e44baaa8e24a4c1e40
10,100.0,110.0,1730.0,1740.0,1735.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00173_s001730000ms_e001740000ms.mp4,45d5e76a756f1cf8018a4f6cc221627bc2f2a0ad0f1ec6162831345587be3e79,5.0,3abc8d8e9fb5fe0f9524e2c83f5886db9c97b2ca91ad8430c1350f2dd73b18ae,BSEC_AQP_Development_Gate_v1/outputs/final_confirmation/realcartest_1630_2000/clip_inference/checkpoints/unit_0010.json,624906bc17ce63e2047274b04e9099318ef3368043466c5b61c911e709c76db6
11,110.0,120.0,1740.0,1750.0,1745.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00174_s001740000ms_e001750000ms.mp4,509f6f570ba00db6d13950c8c6db82e71f918c257d18819ae4bf8b79f7a70748,5.0,d9c490747041cbea0642229567abf1d58d3262600a867f40b59f9b49967a393a,BSEC_AQP_Development_Gate_v1/outputs/final_confirmation/realcartest_1630_2000/clip_inference/checkpoints/unit_0011.json,75fb361d9a384364106ca4551a987c2f110b83f8fb9f575e851254c9ef9a63c7
