dataset,method,method_variant,budget,exact_oracle_calls_mean,exact_oracle_calls_std,exact_oracle_calls_min,exact_oracle_calls_max,selected_positive_units_mean,selected_positive_units_std,selected_positive_units_min,selected_positive_units_max,selected_distinct_reference_events_mean,selected_distinct_reference_events_std,selected_distinct_reference_events_min,selected_distinct_reference_events_max,positive_duplicate_burden_mean,positive_duplicate_burden_std,positive_duplicate_burden_min,positive_duplicate_burden_max,event_precision_mean,event_precision_std,event_precision_min,event_precision_max,event_recall_mean,event_recall_std,event_recall_min,event_recall_max,event_f1_mean,event_f1_std,event_f1_min,event_f1_max,predicted_event_count_mean,predicted_event_count_std,predicted_event_count_min,predicted_event_count_max,returned_seconds_mean,returned_seconds_std,returned_seconds_min,returned_seconds_max,overcoverage_ratio_mean,overcoverage_ratio_std,overcoverage_ratio_min,overcoverage_ratio_max,matched_mean_iou_mean,matched_mean_iou_std,matched_mean_iou_min,matched_mean_iou_max
realcartest_1630_2000,arc_native_descriptive,threshold_0.4_native,5,0.6,0.8944271909999159,0,2,,,,,,,,,,,,,0.18666666666666668,0.01825741858350555,0.16666666666666666,0.2,0.5,0.0,0.5,0.5,0.27142857142857146,0.019561519910898814,0.25,0.28571428571428575,5.4,0.5477225575051662,5.0,6.0,264.0,8.94427190999916,250.0,270.0,293.3333333333037,9.938079899998073,277.7777777777497,299.9999999999697,0.0020000000000004545,0.0,0.0020000000000004545,0.0020000000000004545
realcartest_1630_2000,arc_native_descriptive,threshold_0.4_native,10,0.6,0.8944271909999159,0,2,,,,,,,,,,,,,0.18666666666666668,0.01825741858350555,0.16666666666666666,0.2,0.5,0.0,0.5,0.5,0.27142857142857146,0.019561519910898814,0.25,0.28571428571428575,5.4,0.5477225575051662,5.0,6.0,264.0,8.94427190999916,250.0,270.0,293.3333333333037,9.938079899998073,277.7777777777497,299.9999999999697,0.0020000000000004545,0.0,0.0020000000000004545,0.0020000000000004545
realcartest_1630_2000,arc_native_descriptive,threshold_0.4_native,20,0.6,0.8944271909999159,0,2,,,,,,,,,,,,,0.18666666666666668,0.01825741858350555,0.16666666666666666,0.2,0.5,0.0,0.5,0.5,0.27142857142857146,0.019561519910898814,0.25,0.28571428571428575,5.4,0.5477225575051662,5.0,6.0,264.0,8.94427190999916,250.0,270.0,293.3333333333037,9.938079899998073,277.7777777777497,299.9999999999697,0.0020000000000004545,0.0,0.0020000000000004545,0.0020000000000004545
realcartest_1630_2000,arc_shared_k3,threshold_0.4_exact_fill,5,5.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
realcartest_1630_2000,arc_shared_k3,threshold_0.4_exact_fill,10,10.0,0.0,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
realcartest_1630_2000,arc_shared_k3,threshold_0.4_exact_fill,20,20.0,0.0,20,20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,1.0,10.0,0.0,10.0,10.0,11.111111111109988,0.0,11.111111111109988,11.111111111109988,0.02000000000000455,0.0,0.02000000000000455,0.02000000000000455
realcartest_1630_2000,clip_topk,frozen_continuation_v3,5,5.0,,5,5,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
realcartest_1630_2000,clip_topk,frozen_continuation_v3,10,10.0,,10,10,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
realcartest_1630_2000,clip_topk,frozen_continuation_v3,20,20.0,,20,20,1.0,,1.0,1.0,1.0,,1.0,1.0,0.0,,0.0,0.0,1.0,,1.0,1.0,0.5,,0.5,0.5,0.6666666666666666,,0.6666666666666666,0.6666666666666666,1.0,,1.0,1.0,10.0,,10.0,10.0,11.111111111109988,,11.111111111109988,11.111111111109988,0.07000000000000454,,0.07000000000000454,0.07000000000000454
realcartest_1630_2000,dasr,frozen_continuation_v3,5,5.0,,5,5,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
