unit_id,relative_start_time,relative_end_time,absolute_start_time,absolute_end_time,absolute_center_time,source_path,source_sha256,requested_relative_timestamp_seconds,decoded_frame_sha256,checkpoint_path,checkpoint_sha256
0,0.0,10.0,2000.0,2010.0,2005.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00200_s002000000ms_e002010000ms.mp4,661012fbbc6f5b70ee986ee216b443629160e46bb9914373081a77e733e2a1a6,5.0,9c988ebcf37160660eaca12edea75e467d0d5a0616ba6549d0dfcf2f05583e5c,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0000.json,529a85bbaba5679910572a54a681f7e2676689e14af4fa4d4fc6169524f6be5c
1,10.0,20.0,2010.0,2020.0,2015.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00201_s002010000ms_e002020000ms.mp4,6e0affa0c5b4452f388457eba6105bea081d367c2443673a9d9b9feb8a21e1a1,5.0,b84117b29ad20dd329431cf4ddb3098247857aab979fb88ee3b93aec51aff81c,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0001.json,7a8f9a736d321e172a9bd278174e58471b6a298a75551412e4b9cd13aa4d0bc2
2,20.0,30.0,2020.0,2030.0,2025.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00202_s002020000ms_e002030000ms.mp4,6dd8d49c885387b1283ceb30e72df5dafc46ca983c72dedd6729d4dae9a38f04,5.0,4b36183cacfbdd70a8320c33236b05c82f3c18c86cd52f7b741108e9586a7288,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0002.json,00ebfcfc1739a831950468f129008033d0bf041515a2be6b0c666fcc4873b380
3,30.0,40.0,2030.0,2040.0,2035.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00203_s002030000ms_e002040000ms.mp4,bb5c6c1f07927e61eda001b9b0e18f165d10ff76d34a8eec5367145b9c058035,5.0,ad858f40164d41501f6fbf24be89549ad630bcdd1057cecd2639fcb796f3b6f6,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0003.json,ab83f46611fddacf8890da7c1cfcb14b770e6ff7470af1c47dad775632e5caa2
4,40.0,50.0,2040.0,2050.0,2045.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00204_s002040000ms_e002050000ms.mp4,8901e893fdefdb352e98f0170191758d7a6f7474b23c8f95dd8fcbdea74368d8,5.0,ce07ac292423615882db1c32815a36e9e104665ee9101c7bcbc95d392e48bf2c,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0004.json,5cce906af6a3d604aa6bf7cce894ae09b5392ad5fbdd254b674cd82f680f126a
5,50.0,60.0,2050.0,2060.0,2055.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00205_s002050000ms_e002060000ms.mp4,dcdcab1b44ea0ccc0a0c40f60728357eee6da850eef59d6161823eaa0c49631e,5.0,0dafb163c3ea5c833f0ed7ec53add081f0193a3a1eafaec8211a92b6849e35ad,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0005.json,58f2d997b3f60973b960c944bd0dd92dcaa46ddab2653e26db12c2a0ad7cd797
6,60.0,70.0,2060.0,2070.0,2065.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00206_s002060000ms_e002070000ms.mp4,414f7b436ea889b012c864f53bab714ed77bf1cf4588cdc5fa3f49017114a5e6,5.0,f2e566f6c550cb4aeb68a3ee16a7037046f6cfc054b689658b55217e5308420d,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0006.json,74562ef9be07edfd8769e18e8ad7a37d7bfc6dfb7e65939f8cfd921d7d294f77
7,70.0,80.0,2070.0,2080.0,2075.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00207_s002070000ms_e002080000ms.mp4,8b9aa5ad6d34e9f5b861fa2a1bc7ddd0bbf08db4582cf7d4ed6b2ac840b0c092,5.0,61cc6ce68295da5ab0e7cc1d63d078e9d72c5cfed7b809c0c04ccb57d9a64425,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0007.json,e79c164bfbeb4b1213e3c6caa3dc5b17cce6ac38cdf373fcbf1c19707b6a1cdf
8,80.0,90.0,2080.0,2090.0,2085.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00208_s002080000ms_e002090000ms.mp4,aa00c71c78ddeee0639605e8cd702abd5e3df312c4d4a6cbfc34b7ba5ce3798b,5.0,8b1a77c2f103df00107fef17582d2a69f4a80fb90b714a87269cf31c6359a6ad,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0008.json,4305e2ff3479a9d5c5b6fb4a1188815df922ba06e72df3542bb68f216d251322
9,90.0,100.0,2090.0,2100.0,2095.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00209_s002090000ms_e002100000ms.mp4,4a0b1b598b02e2c41fd606604b3af200d6c8eea22385c103c585a94ad109f254,5.0,69a80f744b14c17e63046062332abe5a54f5f576de7b71963eca14e80d8a25cb,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0009.json,13b10c2159369841f195f7c7143d45ea0c11d70640090fac5daa5966cfa22fda
10,100.0,110.0,2100.0,2110.0,2105.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00210_s002100000ms_e002110000ms.mp4,00fd77104150a8c1a7e5496d7c11b46ea5cf8855113faadd326f7da4ba857af3,5.0,d18b6a8c713e7ed73d932691e54d870a11a983fbda8b79218c23a449e95c9b0d,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0010.json,6ec250869da1ac55d6ab2aa0d3594eefd43c6e2bd0392df29b1ae1a162afe94c
11,110.0,120.0,2110.0,2120.0,2115.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00211_s002110000ms_e002120000ms.mp4,8d32b0f5e9d12aa988aae9ce65661126d41816c10761bee2ad2262864049f739,5.0,a3fda53d778715fb7804d1fc7d83a8d9620234a76cf893452c6f6e06002661e6,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0011.json,59a0fd313fdff3aca49b077264859495385a5974cadf8d723bf4384f00d0bab1
12,120.0,130.0,2120.0,2130.0,2125.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00212_s002120000ms_e002130000ms.mp4,33f1b1227fd7904d486de2d6e9a9bed2077f19886db73c46fe59df8f50ef4dbc,5.0,3592c5e16c5051e69ee4740948d8b2cdbd5636ae65066bf268450f95440d965e,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0012.json,3c8ca6ee2d0b068c3f431bd55e095c726212ce48cf72452d13f7ba4f11ef569d
13,130.0,140.0,2130.0,2140.0,2135.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00213_s002130000ms_e002140000ms.mp4,a55f6539fee6674ffe850b8373692b5c1c7b0b3ebec4a5688b40d4bd5ac159df,5.0,c35902a5576e53758e1df706865170456eb3c8d005f40d8219c6d72887e6563c,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0013.json,46570a808b768654b1e951f7deb1c7970f7daa7e6e6af4f17eda8767e1918a97
14,140.0,150.0,2140.0,2150.0,2145.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00214_s002140000ms_e002150000ms.mp4,4d92f4f503d10cb42835b01e76bd05325d5a1c5c33aecc209490bb899f6fda2c,5.0,ac8ac3c5055b49debc837f5c7e01a5cfe02b917a893d184710b6809f7534d96a,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0014.json,b26b191d5c8f0c1ffe961d3f70f3477b47f8798e9198373b638b95b866b86c51
15,150.0,160.0,2150.0,2160.0,2155.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00215_s002150000ms_e002160000ms.mp4,f6ae9dbc7ac4838c32701a317807d0b481dc5c6fc05239b68987e8d0dea7b933,5.0,3132770fc9a4896411cf73613171bc3dfd70fd6fd6ae5eb5bcae77b6133d10b5,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0015.json,fd43ac814c408efc7892a179759e8661e1b3460d899ea85dd7f12313f4a6c98f
16,160.0,170.0,2160.0,2170.0,2165.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00216_s002160000ms_e002170000ms.mp4,9c4ef45743e670cc986aa3194043dc39675d6fdeac110f5ef04649cc048ff43b,5.0,4a3761f030bf7327ceab2ebdd7c158361814b96b061f0f85e4b297f5bafe7544,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0016.json,ca8242585e6d98f882a49592da07bf406019b8c1826b1005dc49fcca8b46d2e7
17,170.0,180.0,2170.0,2180.0,2175.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00217_s002170000ms_e002180000ms.mp4,d26c9c7bdd8b3be9d36bd3bcca94b9feb94baab9c962c16e694148aa6daa887b,5.0,42f6ea8fee4687e3f698cb69042ff6b1b77186c039aa5152452e610d0517950e,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0017.json,f89d91e9b01b6d548898ca47983d9aa9b2c2612582a4176759535cfde6bfb936
18,180.0,190.0,2180.0,2190.0,2185.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00218_s002180000ms_e002190000ms.mp4,8c3b9e67354f820799d8bc5d00c71209d04be2eafb4bd64fb4f046ecd7cacb86,5.0,2e5004e3dd191bf1153f50ac089a9ddb178042f5b9047b66a26c06bfcfe1c2b5,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0018.json,d9184ec4802694b8e95a775bff8ec8c3864131dfad97d989c41c9004f41fe960
19,190.0,200.0,2190.0,2200.0,2195.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00219_s002190000ms_e002200000ms.mp4,ee24390803b282345512e87b770e56e97724f13fbb3f8160835f72a310568553,5.0,250278632617dc8f827dd3c7b56745e1dc410a69ac61ecb0b2ce4abd0776b300,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0019.json,5d636a49eba4fcffb86d308fe8915adc2de1c62773b92fd3c1c663818b6db758
20,200.0,210.0,2200.0,2210.0,2205.0,/qiuyeqing/llama_prl/G-ARC/experiments/roadclip_budget_v2/roadclip_budget_v2/scene_windows/realcartest_win00220_s002200000ms_e002210000ms.mp4,ca4d4658ba45876eb99bc7fafdf1f24acc3115a598ac0d2adb4cfb24e06ed105,5.0,ce1e35e6ffe11292ec9b6804262556560dc6b5aee782bc7cd44b5bd3dced4c3b,/qiuyeqing/llama_prl/G-ARC/BSEC_AQP_Development_Gate_v1/outputs/heldout/clip_inference/checkpoints/unit_0020.json,ff3644412a2990addeea88b49320a410b886446543bbaab761648dceab21cda2
