call_idx,unit_id,oracle_label_after_query,proxy_score,selection_reason
0,0,negative,1.0,sealed_label_blind_pstr_5_to_4
1,1,positive,1.0,sealed_label_blind_pstr_5_to_4
2,3,positive,1.0,sealed_label_blind_pstr_5_to_4
3,5,positive,1.0,sealed_label_blind_pstr_5_to_4
4,6,positive,1.0,sealed_label_blind_pstr_5_to_4
5,7,positive,1.0,sealed_label_blind_pstr_5_to_4
6,9,positive,1.0,sealed_label_blind_pstr_5_to_4
7,10,positive,1.0,sealed_label_blind_pstr_5_to_4
8,18,negative,1.0,sealed_label_blind_pstr_5_to_4
9,50,positive,1.0,sealed_label_blind_pstr_5_to_4
10,51,negative,1.0,sealed_label_blind_pstr_5_to_4
11,69,negative,1.0,sealed_label_blind_pstr_5_to_4
12,74,positive,1.0,sealed_label_blind_pstr_5_to_4
13,79,negative,1.0,sealed_label_blind_pstr_5_to_4
14,80,negative,1.0,sealed_label_blind_pstr_5_to_4
15,83,negative,1.0,sealed_label_blind_pstr_5_to_4
16,84,positive,1.0,sealed_label_blind_pstr_5_to_4
17,99,negative,1.0,sealed_label_blind_pstr_5_to_4
18,100,negative,1.0,sealed_label_blind_pstr_5_to_4
19,107,positive,1.0,sealed_label_blind_pstr_5_to_4
20,108,positive,1.0,sealed_label_blind_pstr_5_to_4
21,109,negative,1.0,sealed_label_blind_pstr_5_to_4
22,111,positive,1.0,sealed_label_blind_pstr_5_to_4
23,113,positive,1.0,sealed_label_blind_pstr_5_to_4
24,114,positive,1.0,sealed_label_blind_pstr_5_to_4
25,116,negative,1.0,sealed_label_blind_pstr_5_to_4
26,117,positive,1.0,sealed_label_blind_pstr_5_to_4
27,119,positive,1.0,sealed_label_blind_pstr_5_to_4
28,120,negative,1.0,sealed_label_blind_pstr_5_to_4
29,122,positive,1.0,sealed_label_blind_pstr_5_to_4
30,125,positive,1.0,sealed_label_blind_pstr_5_to_4
31,144,negative,1.0,sealed_label_blind_pstr_5_to_4
32,155,negative,1.0,sealed_label_blind_pstr_5_to_4
33,103,negative,0.983543,sealed_label_blind_pstr_5_to_4
34,147,negative,0.972969,sealed_label_blind_pstr_5_to_4
35,75,negative,0.972619,sealed_label_blind_pstr_5_to_4
36,70,positive,0.955252,sealed_label_blind_pstr_5_to_4
37,105,positive,0.95084,sealed_label_blind_pstr_5_to_4
38,58,positive,0.942017,sealed_label_blind_pstr_5_to_4
39,102,negative,0.931232,sealed_label_blind_pstr_5_to_4
40,53,positive,0.929342,sealed_label_blind_pstr_5_to_4
41,59,negative,0.92381,sealed_label_blind_pstr_5_to_4
42,44,negative,0.921359,sealed_label_blind_pstr_5_to_4
43,45,negative,0.921359,sealed_label_blind_pstr_5_to_4
44,151,negative,0.916246,sealed_label_blind_pstr_5_to_4
45,54,negative,0.915546,sealed_label_blind_pstr_5_to_4
46,76,positive,0.910504,sealed_label_blind_pstr_5_to_4
47,40,negative,0.903011,sealed_label_blind_pstr_5_to_4
48,37,negative,0.867787,sealed_label_blind_pstr_5_to_4
49,149,negative,0.861555,sealed_label_blind_pstr_5_to_4
50,146,negative,0.858333,sealed_label_blind_pstr_5_to_4
51,124,negative,0.838585,sealed_label_blind_pstr_5_to_4
52,47,negative,0.831933,sealed_label_blind_pstr_5_to_4
53,96,negative,0.829902,sealed_label_blind_pstr_5_to_4
54,82,negative,0.82612,sealed_label_blind_pstr_5_to_4
55,63,negative,0.817157,sealed_label_blind_pstr_5_to_4
56,89,negative,0.814076,sealed_label_blind_pstr_5_to_4
57,42,negative,0.80042,sealed_label_blind_pstr_5_to_4
58,39,negative,0.79916,sealed_label_blind_pstr_5_to_4
59,152,negative,0.798459,sealed_label_blind_pstr_5_to_4
60,48,negative,0.754482,sealed_label_blind_pstr_5_to_4
61,36,negative,0.747479,sealed_label_blind_pstr_5_to_4
62,56,positive,0.738585,sealed_label_blind_pstr_5_to_4
63,97,negative,0.715896,sealed_label_blind_pstr_5_to_4
64,35,negative,0.671289,sealed_label_blind_pstr_5_to_4
65,94,negative,0.65049,sealed_label_blind_pstr_5_to_4
66,153,negative,0.636555,sealed_label_blind_pstr_5_to_4
67,33,negative,0.636064,sealed_label_blind_pstr_5_to_4
68,137,negative,0.635854,sealed_label_blind_pstr_5_to_4
69,138,negative,0.635854,sealed_label_blind_pstr_5_to_4
70,72,negative,0.630252,sealed_label_blind_pstr_5_to_4
71,141,negative,0.617087,sealed_label_blind_pstr_5_to_4
72,142,negative,0.617087,sealed_label_blind_pstr_5_to_4
73,22,negative,0.611345,sealed_label_blind_pstr_5_to_4
74,23,negative,0.611345,sealed_label_blind_pstr_5_to_4
75,92,positive,0.607003,sealed_label_blind_pstr_5_to_4
76,64,negative,0.603221,sealed_label_blind_pstr_5_to_4
77,91,negative,0.582866,sealed_label_blind_pstr_5_to_4
78,12,negative,0.566842,sealed_label_blind_pstr_5_to_4
79,29,negative,0.561134,sealed_label_blind_pstr_5_to_4
