call_idx,unit_id,oracle_label_after_query,proxy_score,selection_reason
0,62,negative,0.2904605030566576,arc_progressive_sampling_label_propagation
1,111,positive,0.4097589050237029,arc_progressive_sampling_label_propagation
2,109,negative,0.2665641906520992,arc_progressive_sampling_label_propagation
3,10,negative,0.3467367359039481,arc_progressive_sampling_label_propagation
4,112,negative,0.3350807767878401,arc_progressive_sampling_label_propagation
5,110,negative,0.1862320380140883,arc_progressive_sampling_label_propagation
6,107,negative,0.4485295915164991,arc_progressive_sampling_label_propagation
7,102,negative,0.4817173743394279,arc_progressive_sampling_label_propagation
8,105,negative,0.5205731540797527,arc_progressive_sampling_label_propagation
9,24,negative,0.1915136931784546,arc_progressive_sampling_label_propagation
