method,budget,selection_rank,unit_id,proxy_score
pstr_5_to_4,5,1,206,1.0
pstr_5_to_4,5,2,147,0.925233090281702
pstr_5_to_4,5,3,257,0.8977153935850036
pstr_5_to_4,5,4,72,0.8832588228837135
pstr_5_to_4,5,5,320,0.8764063027879948
pstr_5_to_4,10,1,206,1.0
pstr_5_to_4,10,2,147,0.925233090281702
pstr_5_to_4,10,3,257,0.8977153935850036
pstr_5_to_4,10,4,72,0.8832588228837135
pstr_5_to_4,10,5,320,0.8764063027879948
pstr_5_to_4,10,6,4,0.8515044126921649
pstr_5_to_4,10,7,182,0.6645583012625847
pstr_5_to_4,10,8,123,0.6620575147238718
pstr_5_to_4,10,9,280,0.62615448184184
pstr_5_to_4,10,10,305,0.6077814616019719
pstr_5_to_4,20,1,206,1.0
pstr_5_to_4,20,2,147,0.925233090281702
pstr_5_to_4,20,3,257,0.8977153935850036
pstr_5_to_4,20,4,72,0.8832588228837135
pstr_5_to_4,20,5,320,0.8764063027879948
pstr_5_to_4,20,6,4,0.8515044126921649
pstr_5_to_4,20,7,158,0.8346579130423584
pstr_5_to_4,20,8,247,0.7925283851872815
pstr_5_to_4,20,9,171,0.7519247066604343
pstr_5_to_4,20,10,24,0.7227676375550663
pstr_5_to_4,20,11,336,0.7068225503259155
pstr_5_to_4,20,12,209,0.6889057717494741
pstr_5_to_4,20,13,182,0.6645583012625847
pstr_5_to_4,20,14,123,0.6620575147238718
pstr_5_to_4,20,15,230,0.6581772164390797
pstr_5_to_4,20,16,280,0.62615448184184
pstr_5_to_4,20,17,267,0.6158538890142571
pstr_5_to_4,20,18,305,0.6077814616019719
pstr_5_to_4,20,19,297,0.5836632165919552
pstr_5_to_4,20,20,83,0.5752679858383861
pstr_5_to_4,50,1,206,1.0
pstr_5_to_4,50,2,147,0.925233090281702
pstr_5_to_4,50,3,257,0.8977153935850036
pstr_5_to_4,50,4,72,0.8832588228837135
pstr_5_to_4,50,5,320,0.8764063027879948
pstr_5_to_4,50,6,4,0.8515044126921649
pstr_5_to_4,50,7,251,0.8420860938872126
pstr_5_to_4,50,8,158,0.8346579130423584
pstr_5_to_4,50,9,247,0.7925283851872815
pstr_5_to_4,50,10,171,0.7519247066604343
