signal_id,budget,event_f1,event_precision,event_recall,predicted_event_count,returned_seconds
current_proxy,5,0.0,0.0,0.0,0.0,0.0
current_proxy,10,0.0,0.0,0.0,0.0,0.0
current_proxy,20,0.20689655172413793,1.0,0.11538461538461539,3.0,30.0
current_proxy,50,0.32258064516129037,1.0,0.19230769230769232,5.0,50.0
current_proxy,80,0.5555555555555556,1.0,0.38461538461538464,10.0,120.0
current_proxy,100,0.5945945945945945,1.0,0.4230769230769231,11.0,130.0
image_text,5,0.14285714285714288,1.0,0.07692307692307693,2.0,20.0
image_text,10,0.2666666666666667,1.0,0.15384615384615385,4.0,40.0
image_text,20,0.42424242424242425,1.0,0.2692307692307692,7.0,70.0
image_text,50,0.5945945945945945,1.0,0.4230769230769231,11.0,110.0
image_text,80,0.6341463414634146,0.8666666666666667,0.5,15.0,150.0
image_text,100,0.6666666666666667,0.875,0.5384615384615384,16.0,170.0
rank_fusion,5,0.07407407407407407,1.0,0.038461538461538464,1.0,10.0
rank_fusion,10,0.14285714285714288,1.0,0.07692307692307693,2.0,20.0
rank_fusion,20,0.20689655172413793,1.0,0.11538461538461539,3.0,30.0
rank_fusion,50,0.32258064516129037,1.0,0.19230769230769232,5.0,50.0
rank_fusion,80,0.47058823529411764,1.0,0.3076923076923077,8.0,80.0
rank_fusion,100,0.5142857142857142,1.0,0.34615384615384615,9.0,90.0
video_text,5,0.07407407407407407,1.0,0.038461538461538464,1.0,10.0
video_text,10,0.14285714285714288,1.0,0.07692307692307693,2.0,20.0
video_text,20,0.14285714285714288,1.0,0.07692307692307693,2.0,20.0
video_text,50,0.2666666666666667,1.0,0.15384615384615385,4.0,40.0
video_text,80,0.375,1.0,0.23076923076923078,6.0,60.0
video_text,100,0.375,1.0,0.23076923076923078,6.0,60.0
ideal_oracle_ceiling,5,0.32258064516129037,1.0,0.19230769230769232,5.0,50.0
ideal_oracle_ceiling,10,0.5555555555555556,1.0,0.38461538461538464,10.0,100.0
ideal_oracle_ceiling,20,0.8695652173913044,1.0,0.7692307692307693,20.0,200.0
ideal_oracle_ceiling,50,1.0,1.0,1.0,26.0,260.0
ideal_oracle_ceiling,80,1.0,1.0,1.0,26.0,260.0
ideal_oracle_ceiling,100,1.0,1.0,1.0,26.0,270.0
