method,target_recall,count_cost_multiplier,events_localized,query_calls,sum_queried_unit_lengths,minimum_fixed_fraction_for_70pct_dense,continuous_fixed_fraction_threshold,constant_cost_ratio,linear_cost_ratio,evaluator_informed_priority
any_binary_full,1.0,1.0,26,217,2401,,,0.7002881844380403,6.994236311239193,0
count_guided,0.8,1.0,21,85,1231,0.9,0.8805410122164049,0.30547550432276654,3.6080691642651295,0
count_guided,0.8,1.25,21,85,1231,0.95,0.9192670157068062,0.36671469740634005,4.494956772334294,0
count_guided,0.8,2.0,21,85,1231,1.0,0.9773560209424084,0.5504322766570605,7.155619596541786,0
count_guided,0.9,1.0,24,98,1280,0.9,0.8977157360406091,0.3515850144092219,3.7579250720461097,0
count_guided,0.9,1.25,24,98,1280,0.95,0.9347546531302876,0.42219020172910665,4.6801152737752165,0
count_guided,0.9,2.0,24,98,1280,1.0,0.9903130287648054,0.6340057636887608,7.446685878962536,0
count_guided,1.0,1.0,26,109,1342,0.95,0.9124898621248986,0.38904899135446686,3.9423631123919307,0
count_guided,1.0,1.25,26,109,1342,0.95,0.9476723438767234,0.4675792507204611,4.909221902017291,0
count_guided,1.0,2.0,26,109,1342,,,0.7031700288184438,7.8097982708933715,0
count_root_oracle_any_ceiling,0.8,1.0,21,169,2167,1.0,0.9735235235235234,0.547550432276657,6.305475504322766,1
count_root_oracle_any_ceiling,0.8,1.25,21,169,2167,1.0,0.9747421443991364,0.5482708933717579,6.555475504322766,1
count_root_oracle_any_ceiling,0.8,2.0,21,169,2167,1.0,0.977858361774744,0.5504322766570605,7.305475504322766,1
count_root_oracle_any_ceiling,0.9,1.0,24,197,2274,1.0,0.9894559460760712,0.6368876080691642,6.622478386167147,1
count_root_oracle_any_ceiling,0.9,1.25,24,197,2274,1.0,0.9899930667899237,0.6376080691642652,6.872478386167147,1
count_root_oracle_any_ceiling,0.9,2.0,24,197,2274,1.0,0.9913743293437887,0.6397694524495677,7.622478386167147,1
count_root_oracle_any_ceiling,1.0,1.0,26,217,2401,,,0.7002881844380403,6.994236311239193,1
count_root_oracle_any_ceiling,1.0,1.25,26,217,2401,,,0.7010086455331412,7.244236311239193,1
count_root_oracle_any_ceiling,1.0,2.0,26,217,2401,,,0.7031700288184438,7.994236311239193,1
count_root_proxy_any,0.8,1.0,21,201,2380,1.0,0.9904084442404772,0.6397694524495677,6.9193083573487035,0
count_root_proxy_any,0.8,1.25,21,201,2380,1.0,0.990885014345619,0.6404899135446686,7.1693083573487035,0
count_root_proxy_any,0.8,2.0,21,201,2380,1.0,0.9921188118811881,0.6426512968299711,7.9193083573487035,0
count_root_proxy_any,0.9,1.0,24,211,2394,1.0,0.9963811268896015,0.6772334293948127,6.968299711815562,0
count_root_proxy_any,0.9,1.25,24,211,2394,1.0,0.996629213483146,0.6779538904899135,7.218299711815562,0
count_root_proxy_any,0.9,2.0,24,211,2394,1.0,0.9972716488730723,0.6801152737752162,7.968299711815562,0
count_root_proxy_any,1.0,1.0,26,217,2401,,,0.7002881844380403,6.994236311239193,0
count_root_proxy_any,1.0,1.25,26,217,2401,,,0.7010086455331412,7.244236311239193,0
count_root_proxy_any,1.0,2.0,26,217,2401,,,0.7031700288184438,7.994236311239193,0
