effective_sensitivity,effective_specificity,unknown_rate,cost_assumption,fixed_fraction,all_placements_pass,worst_event_recall,worst_dense_ratio,worst_false_pruned_event_multiplicity
0.8,0.8,0.0,registered_constant_optimistic,1.0,False,0.0,0.40129682997118155,26
0.8,0.8,0.0,registered_grid_0.95,0.95,False,0.0,0.6709654178674354,26
0.8,0.8,0.05,registered_constant_optimistic,1.0,False,0.0,0.4185878962536023,26
0.8,0.8,0.05,registered_grid_0.95,0.95,False,0.0,0.6886887608069168,26
0.8,0.8,0.1,registered_constant_optimistic,1.0,False,0.0,0.4243515850144092,26
0.8,0.8,0.1,registered_grid_0.95,0.95,False,0.0,0.6945965417867439,26
0.8,0.8,0.2,registered_constant_optimistic,1.0,False,0.0,0.44164265129682995,26
0.8,0.8,0.2,registered_grid_0.95,0.95,False,0.0,0.7309077809798271,26
0.8,0.9,0.0,registered_constant_optimistic,1.0,False,0.0,0.37247838616714696,26
0.8,0.9,0.0,registered_grid_0.95,0.95,False,0.0,0.6405619596541787,26
0.8,0.9,0.05,registered_constant_optimistic,1.0,False,0.0,0.38976945244956773,26
0.8,0.9,0.05,registered_grid_0.95,0.95,False,0.0,0.6709654178674352,26
0.8,0.9,0.1,registered_constant_optimistic,1.0,False,0.0,0.40129682997118155,26
0.8,0.9,0.1,registered_grid_0.95,0.95,False,0.0,0.6709654178674354,26
0.8,0.9,0.2,registered_constant_optimistic,1.0,False,0.0,0.4243515850144092,26
0.8,0.9,0.2,registered_grid_0.95,0.95,False,0.0,0.6945965417867439,26
0.8,0.95,0.0,registered_constant_optimistic,1.0,False,0.0,0.35518731988472624,26
0.8,0.95,0.0,registered_grid_0.95,0.95,False,0.0,0.6277377521613834,26
0.8,0.95,0.05,registered_constant_optimistic,1.0,False,0.0,0.37247838616714696,26
0.8,0.95,0.05,registered_grid_0.95,0.95,False,0.0,0.6405619596541787,26
0.8,0.95,0.1,registered_constant_optimistic,1.0,False,0.0,0.38976945244956773,26
0.8,0.95,0.1,registered_grid_0.95,0.95,False,0.0,0.6709654178674352,26
0.8,0.95,0.2,registered_constant_optimistic,1.0,False,0.0,0.4185878962536023,26
