fact,expected,reproduced,status,source
population_units,347,347,PASS,gate_c0 inputs
canonical_events,26,26,PASS,event_reference.csv
dense_cost,347,347,PASS,gate_c0 cost contract
recall_targets,0.8|0.9|1.0,0.8|0.9|1.0,PASS,gate_c0.json
go_cost_ratio,0.7,0.7,PASS,gate_c0.json
max_required_fixed_fraction,0.75,0.75,PASS,gate_c0.json
primary_count_multiplier,1.25,1.25,PASS,GATE_C0_PROTOCOL.md
primary_interval_calls,85,85,PASS,query_traces/cost tables
primary_certifications,21,21,PASS,gate_c0 REPORT.md
primary_constant_cost_ratio,0.366715,0.366715,PASS,break_even.csv
primary_linear_cost_ratio,4.494957,4.494957,PASS,break_even.csv
primary_grid_fixed_fraction,0.95,0.95,PASS,break_even.csv
primary_continuous_fixed_fraction,0.919267,0.919267,PASS,break_even.csv
any_sensitivity_threshold,FROZEN_VALUE_REQUIRED,MISSING,BLOCKER,all C0 governing sources
any_false_negative_threshold,FROZEN_VALUE_REQUIRED,MISSING,BLOCKER,all C0 governing sources
count_exact_accuracy_threshold,FROZEN_VALUE_REQUIRED,MISSING,BLOCKER,all C0 governing sources
count_undercount_threshold,FROZEN_VALUE_REQUIRED,MISSING,BLOCKER,all C0 governing sources
abstain_gate_semantics,FROZEN_VALUE_REQUIRED,MISSING,BLOCKER,all C0 governing sources
