sensitivity,specificity,unknown_rate,placement,variant,audit_fraction,cost_family,fixed_fraction,seeds,ht_bias_mean,ht_error_variance,empirical_coverage,failure_probability,bound_width_mean,audit_unit_cost_mean,total_cost_mean,total_cost_p95,dense_ratio_mean,event_recall_mean,event_recall_p05,event_f1_mean,recall_lb_mean,certify_rate,coverage_pass,recall_pass,cost_pass,joint_pass
0.95,1.0,0.0,low_proxy,B2_SRS,0.0,constant,1.0,500,-4.0,0.0,1.0,0.0,325.0,0.0,233.0,233.0,0.6714697406340058,0.8461538461538461,0.8461538461538461,0.9166666666666664,0.063400576368876,0.0,True,True,True,False
0.95,1.0,0.0,low_proxy,B3_STRATIFIED,0.0,constant,1.0,500,-4.0,0.0,1.0,0.0,325.0,0.0,233.0,233.0,0.6714697406340058,0.8461538461538461,0.8461538461538461,0.9166666666666664,0.063400576368876,0.0,True,True,True,False
0.97,1.0,0.0,low_proxy,B2_SRS,0.0,constant,1.0,500,-2.0,0.0,1.0,0.0,323.0,0.0,237.0,237.0,0.6829971181556196,0.9230769230769232,0.9230769230769232,0.9600000000000002,0.069164265129683,0.0,True,True,True,False
0.97,1.0,0.0,low_proxy,B3_STRATIFIED,0.0,constant,1.0,500,-2.0,0.0,1.0,0.0,323.0,0.0,237.0,237.0,0.6829971181556196,0.9230769230769232,0.9230769230769232,0.9600000000000002,0.069164265129683,0.0,True,True,True,False
0.97,1.0,0.0,correlated_sibling,B2_SRS,0.0,constant,1.0,500,-4.0,0.0,1.0,0.0,325.0,0.0,239.0,239.0,0.6887608069164265,0.8461538461538461,0.8461538461538461,0.9166666666666664,0.063400576368876,0.0,True,True,True,False
0.97,1.0,0.0,correlated_sibling,B3_STRATIFIED,0.0,constant,1.0,500,-4.0,0.0,1.0,0.0,325.0,0.0,239.0,239.0,0.6887608069164265,0.8461538461538461,0.8461538461538461,0.9166666666666664,0.063400576368876,0.0,True,True,True,False
0.99,0.99,0.0,boundary,B2_SRS,0.0,constant,1.0,500,-2.0,0.0,1.0,0.0,323.0,0.0,237.0,237.0,0.6829971181556196,0.9230769230769232,0.9230769230769232,0.9600000000000002,0.069164265129683,0.0,True,True,True,False
0.99,0.99,0.0,boundary,B3_STRATIFIED,0.0,constant,1.0,500,-2.0,0.0,1.0,0.0,323.0,0.0,237.0,237.0,0.6829971181556196,0.9230769230769232,0.9230769230769232,0.9600000000000002,0.069164265129683,0.0,True,True,True,False
0.99,1.0,0.0,boundary,B2_SRS,0.0,constant,1.0,500,-2.0,0.0,1.0,0.0,323.0,0.0,227.0,227.0,0.654178674351585,0.9230769230769232,0.9230769230769232,0.9600000000000002,0.069164265129683,0.0,True,True,True,False
0.99,1.0,0.0,boundary,B3_STRATIFIED,0.0,constant,1.0,500,-2.0,0.0,1.0,0.0,323.0,0.0,227.0,227.0,0.654178674351585,0.9230769230769232,0.9230769230769232,0.9600000000000002,0.069164265129683,0.0,True,True,True,False
0.99,1.0,0.0,low_proxy,B2_SRS,0.0,constant,1.0,500,-1.0,0.0,1.0,0.0,322.0,0.0,242.0,242.0,0.6974063400576369,0.9615384615384616,0.9615384615384616,0.9803921568627452,0.0720461095100864,0.0,True,True,True,False
0.99,1.0,0.0,low_proxy,B3_STRATIFIED,0.0,constant,1.0,500,-1.0,0.0,1.0,0.0,322.0,0.0,242.0,242.0,0.6974063400576369,0.9615384615384616,0.9615384615384616,0.9803921568627452,0.0720461095100864,0.0,True,True,True,False
0.99,1.0,0.0,correlated_sibling,B2_SRS,0.0,constant,1.0,500,-1.0,0.0,1.0,0.0,322.0,0.0,242.0,242.0,0.6974063400576369,0.9615384615384616,0.9615384615384616,0.9803921568627452,0.0720461095100864,0.0,True,True,True,False
0.99,1.0,0.0,correlated_sibling,B3_STRATIFIED,0.0,constant,1.0,500,-1.0,0.0,1.0,0.0,322.0,0.0,242.0,242.0,0.6974063400576369,0.9615384615384616,0.9615384615384616,0.9803921568627452,0.0720461095100864,0.0,True,True,True,False
