call_idx,unit_id,oracle_label_after_query,outcome_is_determinate,verified_positive,propagated_unit_count,proxy_score,selection_reason,oracle_accessed_only_after_selection
0,206,negative,True,False,0,1.0,rc_sem_cross_source_posterior_event_yield,True
1,147,negative,True,False,0,0.925233090281702,rc_sem_cross_source_posterior_event_yield,True
2,257,negative,True,False,0,0.8977153935850036,rc_sem_cross_source_posterior_event_yield,True
3,72,negative,True,False,0,0.8832588228837135,rc_sem_cross_source_posterior_event_yield,True
4,320,negative,True,False,0,0.8764063027879948,rc_sem_cross_source_posterior_event_yield,True
5,73,negative,True,False,0,0.8606394008469296,rc_sem_cross_source_posterior_event_yield,True
6,4,negative,True,False,0,0.8515044126921649,rc_sem_cross_source_posterior_event_yield,True
7,251,negative,True,False,0,0.8420860938872126,rc_sem_cross_source_posterior_event_yield,True
8,158,negative,True,False,0,0.8346579130423584,rc_sem_cross_source_posterior_event_yield,True
9,256,negative,True,False,0,0.8177153792359794,rc_sem_cross_source_posterior_event_yield,True
