domain,video_id,seed,budget,training_domains,risk_threshold_found,probable_event_count,verified_event_count,returned_event_count
dataset3_development,long_video_dataset3,0,5,realcartest_0_1570|realcartest_2000_3200,False,0,0,0
dataset3_development,long_video_dataset3,0,10,realcartest_0_1570|realcartest_2000_3200,False,0,0,0
dataset3_development,long_video_dataset3,0,20,realcartest_0_1570|realcartest_2000_3200,False,0,3,3
dataset3_development,long_video_dataset3,0,50,realcartest_0_1570|realcartest_2000_3200,False,0,5,5
dataset3_development,long_video_dataset3,0,80,realcartest_0_1570|realcartest_2000_3200,False,0,10,10
dataset3_development,long_video_dataset3,0,100,realcartest_0_1570|realcartest_2000_3200,False,0,11,11
dataset3_development,long_video_dataset3,1,5,realcartest_0_1570|realcartest_2000_3200,False,0,0,0
dataset3_development,long_video_dataset3,1,10,realcartest_0_1570|realcartest_2000_3200,False,0,0,0
dataset3_development,long_video_dataset3,1,20,realcartest_0_1570|realcartest_2000_3200,False,0,3,3
dataset3_development,long_video_dataset3,1,50,realcartest_0_1570|realcartest_2000_3200,False,0,5,5
dataset3_development,long_video_dataset3,1,80,realcartest_0_1570|realcartest_2000_3200,False,0,10,10
dataset3_development,long_video_dataset3,1,100,realcartest_0_1570|realcartest_2000_3200,False,0,11,11
dataset3_development,long_video_dataset3,2,5,realcartest_0_1570|realcartest_2000_3200,False,0,0,0
dataset3_development,long_video_dataset3,2,10,realcartest_0_1570|realcartest_2000_3200,False,0,0,0
dataset3_development,long_video_dataset3,2,20,realcartest_0_1570|realcartest_2000_3200,False,0,3,3
dataset3_development,long_video_dataset3,2,50,realcartest_0_1570|realcartest_2000_3200,False,0,5,5
dataset3_development,long_video_dataset3,2,80,realcartest_0_1570|realcartest_2000_3200,False,0,10,10
dataset3_development,long_video_dataset3,2,100,realcartest_0_1570|realcartest_2000_3200,False,0,11,11
dataset3_development,long_video_dataset3,3,5,realcartest_0_1570|realcartest_2000_3200,False,0,0,0
dataset3_development,long_video_dataset3,3,10,realcartest_0_1570|realcartest_2000_3200,False,0,0,0
dataset3_development,long_video_dataset3,3,20,realcartest_0_1570|realcartest_2000_3200,False,0,3,3
dataset3_development,long_video_dataset3,3,50,realcartest_0_1570|realcartest_2000_3200,False,0,5,5
dataset3_development,long_video_dataset3,3,80,realcartest_0_1570|realcartest_2000_3200,False,0,10,10
dataset3_development,long_video_dataset3,3,100,realcartest_0_1570|realcartest_2000_3200,False,0,11,11
dataset3_development,long_video_dataset3,4,5,realcartest_0_1570|realcartest_2000_3200,False,0,0,0
dataset3_development,long_video_dataset3,4,10,realcartest_0_1570|realcartest_2000_3200,False,0,0,0
dataset3_development,long_video_dataset3,4,20,realcartest_0_1570|realcartest_2000_3200,False,0,3,3
dataset3_development,long_video_dataset3,4,50,realcartest_0_1570|realcartest_2000_3200,False,0,5,5
dataset3_development,long_video_dataset3,4,80,realcartest_0_1570|realcartest_2000_3200,False,0,10,10
dataset3_development,long_video_dataset3,4,100,realcartest_0_1570|realcartest_2000_3200,False,0,11,11
realcartest_0_1570,realcartest,0,5,dataset3_development,False,0,2,2
realcartest_0_1570,realcartest,0,10,dataset3_development,False,0,3,3
realcartest_0_1570,realcartest,0,20,dataset3_development,False,0,6,6
realcartest_0_1570,realcartest,0,50,dataset3_development,False,0,13,13
realcartest_0_1570,realcartest,0,80,dataset3_development,False,0,19,19
realcartest_0_1570,realcartest,0,100,dataset3_development,False,0,19,19
realcartest_0_1570,realcartest,1,5,dataset3_development,False,0,2,2
realcartest_0_1570,realcartest,1,10,dataset3_development,False,0,3,3
realcartest_0_1570,realcartest,1,20,dataset3_development,False,0,6,6
realcartest_0_1570,realcartest,1,50,dataset3_development,False,0,13,13
realcartest_0_1570,realcartest,1,80,dataset3_development,False,0,19,19
realcartest_0_1570,realcartest,1,100,dataset3_development,False,0,19,19
realcartest_0_1570,realcartest,2,5,dataset3_development,False,0,2,2
realcartest_0_1570,realcartest,2,10,dataset3_development,False,0,3,3
realcartest_0_1570,realcartest,2,20,dataset3_development,False,0,6,6
realcartest_0_1570,realcartest,2,50,dataset3_development,False,0,13,13
realcartest_0_1570,realcartest,2,80,dataset3_development,False,0,19,19
realcartest_0_1570,realcartest,2,100,dataset3_development,False,0,19,19
realcartest_0_1570,realcartest,3,5,dataset3_development,False,0,2,2
realcartest_0_1570,realcartest,3,10,dataset3_development,False,0,3,3
realcartest_0_1570,realcartest,3,20,dataset3_development,False,0,6,6
realcartest_0_1570,realcartest,3,50,dataset3_development,False,0,13,13
realcartest_0_1570,realcartest,3,80,dataset3_development,False,0,19,19
realcartest_0_1570,realcartest,3,100,dataset3_development,False,0,19,19
realcartest_0_1570,realcartest,4,5,dataset3_development,False,0,2,2
realcartest_0_1570,realcartest,4,10,dataset3_development,False,0,3,3
realcartest_0_1570,realcartest,4,20,dataset3_development,False,0,6,6
realcartest_0_1570,realcartest,4,50,dataset3_development,False,0,13,13
realcartest_0_1570,realcartest,4,80,dataset3_development,False,0,19,19
realcartest_0_1570,realcartest,4,100,dataset3_development,False,0,19,19
realcartest_2000_3200,realcartest,0,5,dataset3_development,False,0,1,1
realcartest_2000_3200,realcartest,0,10,dataset3_development,False,0,3,3
realcartest_2000_3200,realcartest,0,20,dataset3_development,False,0,6,6
realcartest_2000_3200,realcartest,0,50,dataset3_development,False,0,14,14
realcartest_2000_3200,realcartest,0,80,dataset3_development,False,0,16,16
realcartest_2000_3200,realcartest,0,100,dataset3_development,False,0,21,21
realcartest_2000_3200,realcartest,1,5,dataset3_development,False,0,1,1
realcartest_2000_3200,realcartest,1,10,dataset3_development,False,0,3,3
realcartest_2000_3200,realcartest,1,20,dataset3_development,False,0,6,6
realcartest_2000_3200,realcartest,1,50,dataset3_development,False,0,14,14
realcartest_2000_3200,realcartest,1,80,dataset3_development,False,0,16,16
realcartest_2000_3200,realcartest,1,100,dataset3_development,False,0,21,21
realcartest_2000_3200,realcartest,2,5,dataset3_development,False,0,1,1
realcartest_2000_3200,realcartest,2,10,dataset3_development,False,0,3,3
realcartest_2000_3200,realcartest,2,20,dataset3_development,False,0,6,6
realcartest_2000_3200,realcartest,2,50,dataset3_development,False,0,14,14
realcartest_2000_3200,realcartest,2,80,dataset3_development,False,0,16,16
realcartest_2000_3200,realcartest,2,100,dataset3_development,False,0,21,21
realcartest_2000_3200,realcartest,3,5,dataset3_development,False,0,1,1
realcartest_2000_3200,realcartest,3,10,dataset3_development,False,0,3,3
realcartest_2000_3200,realcartest,3,20,dataset3_development,False,0,6,6
realcartest_2000_3200,realcartest,3,50,dataset3_development,False,0,14,14
realcartest_2000_3200,realcartest,3,80,dataset3_development,False,0,16,16
realcartest_2000_3200,realcartest,3,100,dataset3_development,False,0,21,21
realcartest_2000_3200,realcartest,4,5,dataset3_development,False,0,1,1
realcartest_2000_3200,realcartest,4,10,dataset3_development,False,0,3,3
realcartest_2000_3200,realcartest,4,20,dataset3_development,False,0,6,6
realcartest_2000_3200,realcartest,4,50,dataset3_development,False,0,14,14
realcartest_2000_3200,realcartest,4,80,dataset3_development,False,0,16,16
realcartest_2000_3200,realcartest,4,100,dataset3_development,False,0,21,21
