call_idx,unit_id,oracle_label_after_query,outcome_is_determinate,verified_positive,propagated_unit_count,proxy_score,selection_reason,oracle_accessed_only_after_selection
0,63,negative,True,False,0,0.295905707398651,arc_progressive_sampling_label_propagation,True
1,44,negative,True,False,0,0.1871605377293015,arc_progressive_sampling_label_propagation,True
2,111,positive,True,True,0,0.4097589050237029,arc_progressive_sampling_label_propagation,True
3,33,negative,True,False,0,0.3543893665316283,arc_progressive_sampling_label_propagation,True
4,117,negative,True,False,0,0.3507791341121752,arc_progressive_sampling_label_propagation,True
5,112,negative,True,False,0,0.3350807767878401,arc_progressive_sampling_label_propagation,True
6,42,negative,True,False,0,0.2024742140558512,arc_progressive_sampling_label_propagation,True
7,113,negative,True,False,0,0.2492997430792742,arc_progressive_sampling_label_propagation,True
8,110,negative,True,False,0,0.1862320380140883,arc_progressive_sampling_label_propagation,True
9,107,negative,True,False,0,0.4485295915164991,arc_progressive_sampling_label_propagation,True
10,102,negative,True,False,0,0.4817173743394279,arc_progressive_sampling_label_propagation,True
11,76,positive,True,True,0,0.3974774148773252,arc_progressive_sampling_label_propagation,True
12,118,negative,True,False,0,0.3682008363835091,arc_progressive_sampling_label_propagation,True
13,32,positive,True,True,0,0.2178679718882723,arc_progressive_sampling_label_propagation,True
14,8,negative,True,False,0,0.280751832560017,arc_progressive_sampling_label_propagation,True
15,11,negative,True,False,0,0.2266881041395218,arc_progressive_sampling_label_propagation,True
16,43,negative,True,False,0,0.2133218368294702,arc_progressive_sampling_label_propagation,True
17,105,negative,True,False,0,0.5205731540797527,arc_progressive_sampling_label_propagation,True
18,103,negative,True,False,0,0.4674802672017925,arc_progressive_sampling_label_propagation,True
19,39,positive,True,True,0,0.3501125549310816,arc_progressive_sampling_label_propagation,True
20,3,positive,True,True,0,0.320872522854531,arc_progressive_sampling_label_propagation,True
21,60,negative,True,False,0,0.3148930426986801,arc_progressive_sampling_label_propagation,True
22,114,negative,True,False,0,0.1687818021421986,arc_progressive_sampling_label_propagation,True
23,27,negative,True,False,0,0.3882853357423186,arc_progressive_sampling_label_propagation,True
24,104,negative,True,False,0,0.444482340517773,arc_progressive_sampling_label_propagation,True
25,7,positive,True,True,0,0.2443440442542616,arc_progressive_sampling_label_propagation,True
26,65,negative,True,False,0,0.311365109398949,arc_progressive_sampling_label_propagation,True
27,93,negative,True,False,0,0.4748980540999212,arc_progressive_sampling_label_propagation,True
28,92,negative,True,False,0,0.4513399609356004,arc_progressive_sampling_label_propagation,True
29,87,positive,True,True,0,0.4971899172054584,arc_progressive_sampling_label_propagation,True
30,88,positive,True,True,0,0.5145577373961224,arc_progressive_sampling_label_propagation,True
31,45,negative,True,False,0,0.1801930990222645,arc_progressive_sampling_label_propagation,True
32,13,negative,True,False,0,0.1741865466383908,arc_progressive_sampling_label_propagation,True
33,86,positive,True,True,0,0.4803769343200743,arc_progressive_sampling_label_propagation,True
34,81,positive,True,True,0,0.4720638864573329,arc_progressive_sampling_label_propagation,True
35,23,negative,True,False,1,0.1908444247066472,arc_progressive_sampling_label_propagation,True
36,85,positive,True,True,0,0.4576233339656143,arc_progressive_sampling_label_propagation,True
37,84,positive,True,True,0,0.4279621606806669,arc_progressive_sampling_label_propagation,True
38,82,negative,True,False,0,0.4263653851648755,arc_progressive_sampling_label_propagation,True
39,80,negative,True,False,0,0.3785026588753102,arc_progressive_sampling_label_propagation,True
40,16,negative,True,False,0,0.3355195024543571,arc_progressive_sampling_label_propagation,True
41,91,negative,True,False,0,0.3555823494314009,arc_progressive_sampling_label_propagation,True
42,83,positive,True,True,0,0.3491597650856822,arc_progressive_sampling_label_propagation,True
43,12,positive,True,True,0,0.3507529698913206,arc_progressive_sampling_label_propagation,True
44,15,negative,True,False,0,0.2156667567223876,arc_progressive_sampling_label_propagation,True
45,57,negative,True,False,0,0.3154377448834691,arc_progressive_sampling_label_propagation,True
46,64,negative,True,False,0,0.2986085607779785,arc_progressive_sampling_label_propagation,True
47,9,positive,True,True,0,0.2921969348167256,arc_progressive_sampling_label_propagation,True
48,79,positive,True,True,0,0.4111073851885846,arc_progressive_sampling_label_propagation,True
49,78,negative,True,False,0,0.3313217882819632,arc_progressive_sampling_label_propagation,True
