segment_id,seed,budget_ratio,call_idx,chosen_arm,chosen_bin,chosen_u,chosen_true_label,rem_ratio,top_proxy,zp_share,formed_ratio,n_pos,u_discover,u_bridge,u_certify,u_zero_proxy
realcartest_0_1570,0,0.1,1,DISCOVER,0,0.02,negative,0.938,1.0,0.0,0.0,0,0.02,,,
realcartest_0_1570,0,0.1,2,DISCOVER,1,0.2051,positive,0.875,1.0,0.0,0.0,1,0.2051,,,
realcartest_0_1570,0,0.1,3,DISCOVER,2,0.2051,positive,0.812,1.0,0.0,0.0,2,0.2051,0.2051,0.2051,
realcartest_0_1570,0,0.1,4,DISCOVER,3,0.9551,positive,0.75,1.0,0.0,0.05,3,0.9551,0.9551,0.9551,
realcartest_0_1570,0,0.1,5,DISCOVER,5,0.02,positive,0.688,1.0,0.0,0.05,4,-0.1,-0.0449,-0.0449,
realcartest_0_1570,0,0.1,6,DISCOVER,6,0.02,positive,0.625,1.0,0.0,0.05,5,-0.1,0.0103,0.0103,
realcartest_0_1570,0,0.1,7,BRIDGE,4,0.0654,positive,0.562,1.0,0.0,0.05,6,-0.1,0.0654,0.0654,
realcartest_0_1570,0,0.1,8,DISCOVER,7,0.02,positive,0.5,1.0,0.0,0.05,7,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,0,0.1,9,DISCOVER,8,0.02,positive,0.438,1.0,0.0,0.05,8,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,0,0.1,10,DISCOVER,9,0.02,positive,0.375,1.0,0.0,0.05,9,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,0,0.1,11,DISCOVER,10,0.02,positive,0.312,1.0,0.0,0.05,10,-0.1426,-0.1426,-0.1426,
realcartest_0_1570,0,0.1,12,DISCOVER,18,0.02,negative,0.25,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,0,0.1,13,DISCOVER,19,0.02,negative,0.188,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,0,0.1,14,DISCOVER,50,0.185,positive,0.125,1.0,0.0,0.05,11,0.185,0.02,0.02,
realcartest_0_1570,0,0.1,15,DISCOVER,51,0.02,negative,0.062,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,0,0.1,16,DISCOVER,69,0.02,negative,0.0,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,1,0.1,1,DISCOVER,0,0.02,negative,0.938,1.0,0.0,0.0,0,0.02,,,
realcartest_0_1570,1,0.1,2,DISCOVER,1,0.2051,positive,0.875,1.0,0.0,0.0,1,0.2051,,,
realcartest_0_1570,1,0.1,3,DISCOVER,2,0.2051,positive,0.812,1.0,0.0,0.0,2,0.2051,0.2051,0.2051,
realcartest_0_1570,1,0.1,4,DISCOVER,3,0.9551,positive,0.75,1.0,0.0,0.05,3,0.9551,0.9551,0.9551,
realcartest_0_1570,1,0.1,5,DISCOVER,5,0.02,positive,0.688,1.0,0.0,0.05,4,-0.1,-0.0449,-0.0449,
realcartest_0_1570,1,0.1,6,DISCOVER,6,0.02,positive,0.625,1.0,0.0,0.05,5,-0.1,0.0103,0.0103,
realcartest_0_1570,1,0.1,7,BRIDGE,4,0.0654,positive,0.562,1.0,0.0,0.05,6,-0.1,0.0654,0.0654,
realcartest_0_1570,1,0.1,8,DISCOVER,7,0.02,positive,0.5,1.0,0.0,0.05,7,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,1,0.1,9,DISCOVER,8,0.02,positive,0.438,1.0,0.0,0.05,8,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,1,0.1,10,DISCOVER,9,0.02,positive,0.375,1.0,0.0,0.05,9,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,1,0.1,11,DISCOVER,10,0.02,positive,0.312,1.0,0.0,0.05,10,-0.1426,-0.1426,-0.1426,
realcartest_0_1570,1,0.1,12,DISCOVER,18,0.02,negative,0.25,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,1,0.1,13,DISCOVER,19,0.02,negative,0.188,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,1,0.1,14,DISCOVER,50,0.185,positive,0.125,1.0,0.0,0.05,11,0.185,0.02,0.02,
realcartest_0_1570,1,0.1,15,DISCOVER,51,0.02,negative,0.062,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,1,0.1,16,DISCOVER,69,0.02,negative,0.0,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,2,0.1,1,DISCOVER,0,0.02,negative,0.938,1.0,0.0,0.0,0,0.02,,,
realcartest_0_1570,2,0.1,2,DISCOVER,1,0.2051,positive,0.875,1.0,0.0,0.0,1,0.2051,,,
realcartest_0_1570,2,0.1,3,DISCOVER,2,0.2051,positive,0.812,1.0,0.0,0.0,2,0.2051,0.2051,0.2051,
realcartest_0_1570,2,0.1,4,DISCOVER,3,0.9551,positive,0.75,1.0,0.0,0.05,3,0.9551,0.9551,0.9551,
realcartest_0_1570,2,0.1,5,DISCOVER,5,0.02,positive,0.688,1.0,0.0,0.05,4,-0.1,-0.0449,-0.0449,
realcartest_0_1570,2,0.1,6,DISCOVER,6,0.02,positive,0.625,1.0,0.0,0.05,5,-0.1,0.0103,0.0103,
realcartest_0_1570,2,0.1,7,BRIDGE,4,0.0654,positive,0.562,1.0,0.0,0.05,6,-0.1,0.0654,0.0654,
realcartest_0_1570,2,0.1,8,DISCOVER,7,0.02,positive,0.5,1.0,0.0,0.05,7,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,2,0.1,9,DISCOVER,8,0.02,positive,0.438,1.0,0.0,0.05,8,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,2,0.1,10,DISCOVER,9,0.02,positive,0.375,1.0,0.0,0.05,9,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,2,0.1,11,DISCOVER,10,0.02,positive,0.312,1.0,0.0,0.05,10,-0.1426,-0.1426,-0.1426,
realcartest_0_1570,2,0.1,12,DISCOVER,18,0.02,negative,0.25,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,2,0.1,13,DISCOVER,19,0.02,negative,0.188,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,2,0.1,14,DISCOVER,50,0.185,positive,0.125,1.0,0.0,0.05,11,0.185,0.02,0.02,
realcartest_0_1570,2,0.1,15,DISCOVER,51,0.02,negative,0.062,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,2,0.1,16,DISCOVER,69,0.02,negative,0.0,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,0,0.2,1,DISCOVER,0,0.02,negative,0.968,1.0,0.0,0.0,0,0.02,,,
realcartest_0_1570,0,0.2,2,DISCOVER,1,0.2051,positive,0.935,1.0,0.0,0.0,1,0.2051,,,
realcartest_0_1570,0,0.2,3,DISCOVER,2,0.2051,positive,0.903,1.0,0.0,0.0,2,0.2051,0.2051,0.2051,
realcartest_0_1570,0,0.2,4,DISCOVER,3,0.9551,positive,0.871,1.0,0.0,0.05,3,0.9551,0.9551,0.9551,
realcartest_0_1570,0,0.2,5,DISCOVER,5,0.02,positive,0.839,1.0,0.0,0.05,4,-0.1,-0.0449,-0.0449,
realcartest_0_1570,0,0.2,6,DISCOVER,6,0.02,positive,0.806,1.0,0.0,0.05,5,-0.1,0.0103,0.0103,
realcartest_0_1570,0,0.2,7,BRIDGE,4,0.0654,positive,0.774,1.0,0.0,0.05,6,-0.1,0.0654,0.0654,
realcartest_0_1570,0,0.2,8,DISCOVER,7,0.02,positive,0.742,1.0,0.0,0.05,7,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,0,0.2,9,DISCOVER,8,0.02,positive,0.71,1.0,0.0,0.05,8,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,0,0.2,10,DISCOVER,9,0.02,positive,0.677,1.0,0.0,0.05,9,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,0,0.2,11,DISCOVER,10,0.02,positive,0.645,1.0,0.0,0.05,10,-0.1426,-0.1426,-0.1426,
realcartest_0_1570,0,0.2,12,DISCOVER,18,0.02,negative,0.613,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,0,0.2,13,DISCOVER,19,0.02,negative,0.581,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,0,0.2,14,DISCOVER,50,0.185,positive,0.548,1.0,0.0,0.05,11,0.185,0.02,0.02,
realcartest_0_1570,0,0.2,15,DISCOVER,51,0.02,negative,0.516,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,0,0.2,16,DISCOVER,69,0.02,negative,0.484,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,0,0.2,17,DISCOVER,74,0.1675,positive,0.452,1.0,0.0,0.05,12,0.1675,0.02,0.02,
realcartest_0_1570,0,0.2,18,DISCOVER,79,0.02,negative,0.419,1.0,0.0,0.05,12,0.02,0.02,0.02,
realcartest_0_1570,0,0.2,19,DISCOVER,80,0.02,negative,0.387,1.0,0.0,0.05,12,0.02,0.02,0.02,
realcartest_0_1570,0,0.2,20,DISCOVER,83,0.02,negative,0.355,1.0,0.0,0.05,12,0.02,0.02,0.02,
realcartest_0_1570,0,0.2,21,DISCOVER,84,1.3673,positive,0.323,1.0,0.0,0.1,13,1.3673,0.02,0.02,
realcartest_0_1570,0,0.2,22,DISCOVER,99,0.02,negative,0.29,1.0,0.0,0.1,13,0.02,0.02,0.02,
realcartest_0_1570,0,0.2,23,DISCOVER,100,0.02,negative,0.258,1.0,0.0,0.1,13,0.02,0.02,0.02,
realcartest_0_1570,0,0.2,24,DISCOVER,101,0.185,positive,0.226,1.0,0.0,0.1,14,0.185,0.02,0.02,
realcartest_0_1570,0,0.2,25,DISCOVER,107,1.0656,positive,0.194,1.0,0.0,0.15,15,1.0656,0.02,0.02,
realcartest_0_1570,0,0.2,26,DISCOVER,108,0.02,positive,0.161,1.0,0.0,0.1,16,-1.1301,0.02,0.02,
realcartest_0_1570,0,0.2,27,DISCOVER,109,0.02,negative,0.129,1.0,0.0,0.1,16,0.02,0.02,0.02,
realcartest_0_1570,0,0.2,28,DISCOVER,110,0.02,negative,0.097,1.0,0.0,0.1,16,0.02,0.02,0.02,
realcartest_0_1570,0,0.2,29,DISCOVER,111,0.2729,positive,0.065,1.0,0.0,0.1,17,0.2729,0.02,0.02,
realcartest_0_1570,0,0.2,30,DISCOVER,112,1.0229,positive,0.032,1.0,0.0,0.15,18,1.0229,0.02,0.02,
realcartest_0_1570,0,0.2,31,DISCOVER,113,0.0229,positive,0.0,1.0,0.0,0.15,19,0.0229,0.02,0.02,
realcartest_0_1570,1,0.2,1,DISCOVER,0,0.02,negative,0.968,1.0,0.0,0.0,0,0.02,,,
realcartest_0_1570,1,0.2,2,DISCOVER,1,0.2051,positive,0.935,1.0,0.0,0.0,1,0.2051,,,
realcartest_0_1570,1,0.2,3,DISCOVER,2,0.2051,positive,0.903,1.0,0.0,0.0,2,0.2051,0.2051,0.2051,
realcartest_0_1570,1,0.2,4,DISCOVER,3,0.9551,positive,0.871,1.0,0.0,0.05,3,0.9551,0.9551,0.9551,
realcartest_0_1570,1,0.2,5,DISCOVER,5,0.02,positive,0.839,1.0,0.0,0.05,4,-0.1,-0.0449,-0.0449,
realcartest_0_1570,1,0.2,6,DISCOVER,6,0.02,positive,0.806,1.0,0.0,0.05,5,-0.1,0.0103,0.0103,
realcartest_0_1570,1,0.2,7,BRIDGE,4,0.0654,positive,0.774,1.0,0.0,0.05,6,-0.1,0.0654,0.0654,
realcartest_0_1570,1,0.2,8,DISCOVER,7,0.02,positive,0.742,1.0,0.0,0.05,7,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,1,0.2,9,DISCOVER,8,0.02,positive,0.71,1.0,0.0,0.05,8,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,1,0.2,10,DISCOVER,9,0.02,positive,0.677,1.0,0.0,0.05,9,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,1,0.2,11,DISCOVER,10,0.02,positive,0.645,1.0,0.0,0.05,10,-0.1426,-0.1426,-0.1426,
realcartest_0_1570,1,0.2,12,DISCOVER,18,0.02,negative,0.613,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,1,0.2,13,DISCOVER,19,0.02,negative,0.581,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,1,0.2,14,DISCOVER,50,0.185,positive,0.548,1.0,0.0,0.05,11,0.185,0.02,0.02,
realcartest_0_1570,1,0.2,15,DISCOVER,51,0.02,negative,0.516,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,1,0.2,16,DISCOVER,69,0.02,negative,0.484,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,1,0.2,17,DISCOVER,74,0.1675,positive,0.452,1.0,0.0,0.05,12,0.1675,0.02,0.02,
realcartest_0_1570,1,0.2,18,DISCOVER,79,0.02,negative,0.419,1.0,0.0,0.05,12,0.02,0.02,0.02,
realcartest_0_1570,1,0.2,19,DISCOVER,80,0.02,negative,0.387,1.0,0.0,0.05,12,0.02,0.02,0.02,
realcartest_0_1570,1,0.2,20,DISCOVER,83,0.02,negative,0.355,1.0,0.0,0.05,12,0.02,0.02,0.02,
realcartest_0_1570,1,0.2,21,DISCOVER,84,1.3673,positive,0.323,1.0,0.0,0.1,13,1.3673,0.02,0.02,
realcartest_0_1570,1,0.2,22,DISCOVER,99,0.02,negative,0.29,1.0,0.0,0.1,13,0.02,0.02,0.02,
realcartest_0_1570,1,0.2,23,DISCOVER,100,0.02,negative,0.258,1.0,0.0,0.1,13,0.02,0.02,0.02,
realcartest_0_1570,1,0.2,24,DISCOVER,101,0.185,positive,0.226,1.0,0.0,0.1,14,0.185,0.02,0.02,
realcartest_0_1570,1,0.2,25,DISCOVER,107,1.0656,positive,0.194,1.0,0.0,0.15,15,1.0656,0.02,0.02,
realcartest_0_1570,1,0.2,26,DISCOVER,108,0.02,positive,0.161,1.0,0.0,0.1,16,-1.1301,0.02,0.02,
realcartest_0_1570,1,0.2,27,DISCOVER,109,0.02,negative,0.129,1.0,0.0,0.1,16,0.02,0.02,0.02,
realcartest_0_1570,1,0.2,28,DISCOVER,110,0.02,negative,0.097,1.0,0.0,0.1,16,0.02,0.02,0.02,
realcartest_0_1570,1,0.2,29,DISCOVER,111,0.2729,positive,0.065,1.0,0.0,0.1,17,0.2729,0.02,0.02,
realcartest_0_1570,1,0.2,30,DISCOVER,112,1.0229,positive,0.032,1.0,0.0,0.15,18,1.0229,0.02,0.02,
realcartest_0_1570,1,0.2,31,DISCOVER,113,0.0229,positive,0.0,1.0,0.0,0.15,19,0.0229,0.02,0.02,
realcartest_0_1570,2,0.2,1,DISCOVER,0,0.02,negative,0.968,1.0,0.0,0.0,0,0.02,,,
realcartest_0_1570,2,0.2,2,DISCOVER,1,0.2051,positive,0.935,1.0,0.0,0.0,1,0.2051,,,
realcartest_0_1570,2,0.2,3,DISCOVER,2,0.2051,positive,0.903,1.0,0.0,0.0,2,0.2051,0.2051,0.2051,
realcartest_0_1570,2,0.2,4,DISCOVER,3,0.9551,positive,0.871,1.0,0.0,0.05,3,0.9551,0.9551,0.9551,
realcartest_0_1570,2,0.2,5,DISCOVER,5,0.02,positive,0.839,1.0,0.0,0.05,4,-0.1,-0.0449,-0.0449,
realcartest_0_1570,2,0.2,6,DISCOVER,6,0.02,positive,0.806,1.0,0.0,0.05,5,-0.1,0.0103,0.0103,
realcartest_0_1570,2,0.2,7,BRIDGE,4,0.0654,positive,0.774,1.0,0.0,0.05,6,-0.1,0.0654,0.0654,
realcartest_0_1570,2,0.2,8,DISCOVER,7,0.02,positive,0.742,1.0,0.0,0.05,7,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,2,0.2,9,DISCOVER,8,0.02,positive,0.71,1.0,0.0,0.05,8,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,2,0.2,10,DISCOVER,9,0.02,positive,0.677,1.0,0.0,0.05,9,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,2,0.2,11,DISCOVER,10,0.02,positive,0.645,1.0,0.0,0.05,10,-0.1426,-0.1426,-0.1426,
realcartest_0_1570,2,0.2,12,DISCOVER,18,0.02,negative,0.613,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,2,0.2,13,DISCOVER,19,0.02,negative,0.581,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,2,0.2,14,DISCOVER,50,0.185,positive,0.548,1.0,0.0,0.05,11,0.185,0.02,0.02,
realcartest_0_1570,2,0.2,15,DISCOVER,51,0.02,negative,0.516,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,2,0.2,16,DISCOVER,69,0.02,negative,0.484,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,2,0.2,17,DISCOVER,74,0.1675,positive,0.452,1.0,0.0,0.05,12,0.1675,0.02,0.02,
realcartest_0_1570,2,0.2,18,DISCOVER,79,0.02,negative,0.419,1.0,0.0,0.05,12,0.02,0.02,0.02,
realcartest_0_1570,2,0.2,19,DISCOVER,80,0.02,negative,0.387,1.0,0.0,0.05,12,0.02,0.02,0.02,
realcartest_0_1570,2,0.2,20,DISCOVER,83,0.02,negative,0.355,1.0,0.0,0.05,12,0.02,0.02,0.02,
realcartest_0_1570,2,0.2,21,DISCOVER,84,1.3673,positive,0.323,1.0,0.0,0.1,13,1.3673,0.02,0.02,
realcartest_0_1570,2,0.2,22,DISCOVER,99,0.02,negative,0.29,1.0,0.0,0.1,13,0.02,0.02,0.02,
realcartest_0_1570,2,0.2,23,DISCOVER,100,0.02,negative,0.258,1.0,0.0,0.1,13,0.02,0.02,0.02,
realcartest_0_1570,2,0.2,24,DISCOVER,101,0.185,positive,0.226,1.0,0.0,0.1,14,0.185,0.02,0.02,
realcartest_0_1570,2,0.2,25,DISCOVER,107,1.0656,positive,0.194,1.0,0.0,0.15,15,1.0656,0.02,0.02,
realcartest_0_1570,2,0.2,26,DISCOVER,108,0.02,positive,0.161,1.0,0.0,0.1,16,-1.1301,0.02,0.02,
realcartest_0_1570,2,0.2,27,DISCOVER,109,0.02,negative,0.129,1.0,0.0,0.1,16,0.02,0.02,0.02,
realcartest_0_1570,2,0.2,28,DISCOVER,110,0.02,negative,0.097,1.0,0.0,0.1,16,0.02,0.02,0.02,
realcartest_0_1570,2,0.2,29,DISCOVER,111,0.2729,positive,0.065,1.0,0.0,0.1,17,0.2729,0.02,0.02,
realcartest_0_1570,2,0.2,30,DISCOVER,112,1.0229,positive,0.032,1.0,0.0,0.15,18,1.0229,0.02,0.02,
realcartest_0_1570,2,0.2,31,DISCOVER,113,0.0229,positive,0.0,1.0,0.0,0.15,19,0.0229,0.02,0.02,
realcartest_0_1570,0,0.3,1,DISCOVER,0,0.02,negative,0.979,1.0,0.0,0.0,0,0.02,,,
realcartest_0_1570,0,0.3,2,DISCOVER,1,0.2051,positive,0.957,1.0,0.0,0.0,1,0.2051,,,
realcartest_0_1570,0,0.3,3,DISCOVER,2,0.2051,positive,0.936,1.0,0.0,0.0,2,0.2051,0.2051,0.2051,
realcartest_0_1570,0,0.3,4,DISCOVER,3,0.9551,positive,0.915,1.0,0.0,0.05,3,0.9551,0.9551,0.9551,
realcartest_0_1570,0,0.3,5,DISCOVER,5,0.02,positive,0.894,1.0,0.0,0.05,4,-0.1,-0.0449,-0.0449,
realcartest_0_1570,0,0.3,6,DISCOVER,6,0.02,positive,0.872,1.0,0.0,0.05,5,-0.1,0.0103,0.0103,
realcartest_0_1570,0,0.3,7,BRIDGE,4,0.0654,positive,0.851,1.0,0.0,0.05,6,-0.1,0.0654,0.0654,
realcartest_0_1570,0,0.3,8,DISCOVER,7,0.02,positive,0.83,1.0,0.0,0.05,7,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,0,0.3,9,DISCOVER,8,0.02,positive,0.809,1.0,0.0,0.05,8,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,0,0.3,10,DISCOVER,9,0.02,positive,0.787,1.0,0.0,0.05,9,-0.0449,-0.0449,-0.0449,
realcartest_0_1570,0,0.3,11,DISCOVER,10,0.02,positive,0.766,1.0,0.0,0.05,10,-0.1426,-0.1426,-0.1426,
realcartest_0_1570,0,0.3,12,DISCOVER,18,0.02,negative,0.745,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,13,DISCOVER,19,0.02,negative,0.723,1.0,0.0,0.05,10,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,14,DISCOVER,50,0.185,positive,0.702,1.0,0.0,0.05,11,0.185,0.02,0.02,
realcartest_0_1570,0,0.3,15,DISCOVER,51,0.02,negative,0.681,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,16,DISCOVER,69,0.02,negative,0.66,1.0,0.0,0.05,11,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,17,DISCOVER,74,0.1675,positive,0.638,1.0,0.0,0.05,12,0.1675,0.02,0.02,
realcartest_0_1570,0,0.3,18,DISCOVER,79,0.02,negative,0.617,1.0,0.0,0.05,12,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,19,DISCOVER,80,0.02,negative,0.596,1.0,0.0,0.05,12,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,20,DISCOVER,83,0.02,negative,0.574,1.0,0.0,0.05,12,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,21,DISCOVER,84,1.3673,positive,0.553,1.0,0.0,0.1,13,1.3673,0.02,0.02,
realcartest_0_1570,0,0.3,22,DISCOVER,99,0.02,negative,0.532,1.0,0.0,0.1,13,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,23,DISCOVER,100,0.02,negative,0.511,1.0,0.0,0.1,13,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,24,DISCOVER,101,0.185,positive,0.489,1.0,0.0,0.1,14,0.185,0.02,0.02,
realcartest_0_1570,0,0.3,25,DISCOVER,107,1.0656,positive,0.468,1.0,0.0,0.15,15,1.0656,0.02,0.02,
realcartest_0_1570,0,0.3,26,DISCOVER,108,0.02,positive,0.447,1.0,0.0,0.1,16,-1.1301,0.02,0.02,
realcartest_0_1570,0,0.3,27,DISCOVER,109,0.02,negative,0.426,1.0,0.0,0.1,16,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,28,DISCOVER,110,0.02,negative,0.404,1.0,0.0,0.1,16,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,29,DISCOVER,111,0.2729,positive,0.383,1.0,0.0,0.1,17,0.2729,0.02,0.02,
realcartest_0_1570,0,0.3,30,DISCOVER,112,1.0229,positive,0.362,1.0,0.0,0.15,18,1.0229,0.02,0.02,
realcartest_0_1570,0,0.3,31,DISCOVER,113,0.0229,positive,0.34,1.0,0.0,0.15,19,0.0229,0.02,0.02,
realcartest_0_1570,0,0.3,32,DISCOVER,114,0.0229,positive,0.319,1.0,0.0,0.15,20,0.0229,0.02,0.02,
realcartest_0_1570,0,0.3,33,DISCOVER,115,0.02,positive,0.298,1.0,0.0,0.15,21,-0.1844,0.02,0.02,
realcartest_0_1570,0,0.3,34,DISCOVER,116,0.02,negative,0.277,1.0,0.0,0.15,21,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,35,DISCOVER,117,1.1415,positive,0.255,1.0,0.0,0.2,22,1.1415,0.02,0.02,
realcartest_0_1570,0,0.3,36,DISCOVER,118,0.1415,positive,0.234,1.0,0.0,0.2,23,0.1415,0.02,0.02,
realcartest_0_1570,0,0.3,37,DISCOVER,119,0.02,positive,0.213,1.0,0.0,0.2,24,-0.2381,0.02,0.02,
realcartest_0_1570,0,0.3,38,DISCOVER,120,0.02,negative,0.191,1.0,0.0,0.2,24,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,39,DISCOVER,121,1.3673,positive,0.17,1.0,0.0,0.25,25,1.3673,0.02,0.02,
realcartest_0_1570,0,0.3,40,DISCOVER,122,0.02,positive,0.149,1.0,0.0,0.25,26,-0.2998,0.02,0.02,
realcartest_0_1570,0,0.3,41,DISCOVER,123,0.02,negative,0.128,1.0,0.0,0.25,26,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,42,DISCOVER,125,0.185,positive,0.106,1.0,0.0,0.25,27,0.185,0.02,0.02,
realcartest_0_1570,0,0.3,43,DISCOVER,126,0.02,negative,0.085,1.0,0.0,0.25,27,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,44,DISCOVER,144,0.02,negative,0.064,1.0,0.0,0.25,27,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,45,DISCOVER,145,0.02,negative,0.043,1.0,0.0,0.25,27,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,46,DISCOVER,155,0.02,negative,0.021,1.0,0.0,0.25,27,0.02,0.02,0.02,
realcartest_0_1570,0,0.3,47,DISCOVER,106,1.0266,positive,0.0,0.988,0.0,0.3,28,1.0266,0.02,0.02,
