segment_id,event_idx,ref_start,ref_end,ref_dur,n_pos,n_runs,max_internal_gap,proxy_zero_pos,hull_iou,consec_iou
realcartest_0_1570,0,10.0,100.7,90.7,10,1,0,0,0.907,0.907
realcartest_0_1570,1,160.0,160.7,0.7,1,1,0,0,0.07,0.07
realcartest_0_1570,2,260.5,260.7,0.2,1,1,0,0,0.02,0.02
realcartest_0_1570,3,280.5,281.0,0.5,1,1,0,0,0.05,0.05
realcartest_0_1570,4,500.0,500.7,0.7,1,1,0,0,0.07,0.07
realcartest_0_1570,5,530.5,530.7,0.2,1,1,0,0,0.02,0.02
realcartest_0_1570,6,550.0,580.7,30.7,4,1,0,0,0.768,0.768
realcartest_0_1570,7,700.0,700.7,0.7,1,1,0,0,0.07,0.07
realcartest_0_1570,8,730.0,740.7,10.7,2,1,0,0,0.535,0.535
realcartest_0_1570,9,760.0,760.7,0.7,1,1,0,0,0.07,0.07
realcartest_0_1570,10,840.0,850.7,10.7,2,1,0,0,0.535,0.535
realcartest_0_1570,11,920.0,920.7,0.7,1,1,0,0,0.07,0.07
realcartest_0_1570,12,980.0,980.7,0.7,1,1,0,0,0.07,0.07
realcartest_0_1570,13,1010.0,1010.7,0.7,1,1,0,0,0.07,0.07
realcartest_0_1570,14,1050.5,1080.7,30.2,4,1,0,0,0.755,0.755
realcartest_0_1570,15,1110.0,1150.7,40.7,5,1,0,0,0.814,0.814
realcartest_0_1570,16,1170.0,1190.7,20.7,3,1,0,0,0.69,0.69
realcartest_0_1570,17,1210.0,1220.7,10.7,2,1,0,0,0.535,0.535
realcartest_0_1570,18,1250.0,1250.7,0.7,1,1,0,0,0.07,0.07
realcartest_0_1570,19,1500.0,1500.7,0.7,1,1,0,0,0.07,0.07
realcartest_2000_3200,0,30.0,50.7,20.7,3,1,0,0,0.69,0.69
realcartest_2000_3200,1,70.0,70.7,0.7,1,1,0,0,0.07,0.07
realcartest_2000_3200,2,90.0,90.7,0.7,1,1,0,0,0.07,0.07
realcartest_2000_3200,3,120.5,120.7,0.2,1,1,0,0,0.02,0.02
realcartest_2000_3200,4,250.0,250.7,0.7,1,1,0,0,0.07,0.07
realcartest_2000_3200,5,320.0,320.7,0.7,1,1,0,0,0.07,0.07
realcartest_2000_3200,6,380.0,400.7,20.7,3,1,0,0,0.69,0.69
realcartest_2000_3200,7,490.0,500.7,10.7,2,1,0,0,0.535,0.535
realcartest_2000_3200,8,530.0,530.7,0.7,1,1,0,0,0.07,0.07
realcartest_2000_3200,9,560.0,560.7,0.7,1,1,0,0,0.07,0.07
realcartest_2000_3200,10,580.0,580.7,0.7,1,1,0,0,0.07,0.07
realcartest_2000_3200,11,700.0,710.7,10.7,2,1,0,0,0.535,0.535
realcartest_2000_3200,12,760.0,770.7,10.7,2,1,0,0,0.535,0.535
realcartest_2000_3200,13,790.0,790.7,0.7,1,1,0,0,0.07,0.07
realcartest_2000_3200,14,810.0,810.7,0.7,1,1,0,0,0.07,0.07
realcartest_2000_3200,15,830.0,880.7,50.7,6,1,0,0,0.845,0.845
