variant,segment_id,method_id,seed,budget_abs,budget_ratio,oracle_calls_total,returned_intervals,event_precision,event_recall,unique_event_coverage,strict_replay_or_posthoc,online_uses_event_id,can_be_main_comparison,applicability_note
c1_policy,realcartest_0_1570,ECP-c1,0,16,0.1,16,"[(10.0, 110.0), (500.0, 510.0)]",0.5,0.05,1,strict_replay,False,True,ECP T028c-1 event-utility ranking policy (strict replay)
c1_policy,realcartest_0_1570,ECP-c1,1,16,0.1,16,"[(10.0, 110.0), (500.0, 510.0)]",0.5,0.05,1,strict_replay,False,True,ECP T028c-1 event-utility ranking policy (strict replay)
c1_policy,realcartest_0_1570,ECP-c1,2,16,0.1,16,"[(10.0, 110.0), (500.0, 510.0)]",0.5,0.05,1,strict_replay,False,True,ECP T028c-1 event-utility ranking policy (strict replay)
c1_policy,realcartest_0_1570,ECP-c1,0,31,0.2,31,"[(10.0, 110.0), (500.0, 510.0), (740.0, 750.0), (840.0, 850.0), (1010.0, 1020.0), (1070.0, 1090.0)]",0.3333,0.1,2,strict_replay,False,True,ECP T028c-1 event-utility ranking policy (strict replay)
c1_policy,realcartest_0_1570,ECP-c1,1,31,0.2,31,"[(10.0, 110.0), (500.0, 510.0), (740.0, 750.0), (840.0, 850.0), (1010.0, 1020.0), (1070.0, 1090.0)]",0.3333,0.1,2,strict_replay,False,True,ECP T028c-1 event-utility ranking policy (strict replay)
c1_policy,realcartest_0_1570,ECP-c1,2,31,0.2,31,"[(10.0, 110.0), (500.0, 510.0), (740.0, 750.0), (840.0, 850.0), (1010.0, 1020.0), (1070.0, 1090.0)]",0.3333,0.1,2,strict_replay,False,True,ECP T028c-1 event-utility ranking policy (strict replay)
c1_policy,realcartest_0_1570,ECP-c1,0,47,0.3,47,"[(10.0, 110.0), (500.0, 510.0), (740.0, 750.0), (840.0, 850.0), (1010.0, 1020.0), (1070.0, 1090.0), (1110.0, 1160.0), (1170.0, 1200.0), (1210.0, 1230.0), (1250.0, 1260.0)]",0.5,0.25,5,strict_replay,False,True,ECP T028c-1 event-utility ranking policy (strict replay)
c1_policy,realcartest_0_1570,ECP-c1,1,47,0.3,47,"[(10.0, 110.0), (500.0, 510.0), (740.0, 750.0), (840.0, 850.0), (1010.0, 1020.0), (1070.0, 1090.0), (1110.0, 1160.0), (1170.0, 1200.0), (1210.0, 1230.0), (1250.0, 1260.0)]",0.5,0.25,5,strict_replay,False,True,ECP T028c-1 event-utility ranking policy (strict replay)
c1_policy,realcartest_0_1570,ECP-c1,2,47,0.3,47,"[(10.0, 110.0), (500.0, 510.0), (740.0, 750.0), (840.0, 850.0), (1010.0, 1020.0), (1070.0, 1090.0), (1110.0, 1160.0), (1170.0, 1200.0), (1210.0, 1230.0), (1250.0, 1260.0)]",0.5,0.25,5,strict_replay,False,True,ECP T028c-1 event-utility ranking policy (strict replay)
c1_policy,realcartest_2000_3200,ECP-c1,0,12,0.1,12,"[(490, 500), (810, 820), (850, 890)]",0.6667,0.1,2,strict_replay,False,True,ECP T028c-1 event-utility ranking policy (strict replay)
