video_id,query_id,proxy_family,budget,verified_positive_count,traces_in_stratum,primary_geometry,geometry_min,geometry_max,geometry_range,coverage_range,effective_independent_comparison_count,high_geometry_trace_hash,low_geometry_trace_hash
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,0,5,number_of_temporal_regions_touched,8.0,10.0,2.0,0.44973544973544977,1,8ee3e370e082d8dbea0f439903c03d86a6475dc313461e9398c7650cba3e1d40,acfbce0b339f704b9820ec64a0ab5caaa0473507744d33a5291bf9e8f1755c1e
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,1,2,number_of_temporal_regions_touched,19.0,20.0,1.0,0.01940035273368601,1,08134c8bfc7dc4363b28a31d9a6ddc7862b7c04af310e054b667fcbb0387dd47,7b4dce08b794b9c2456d927a55331b5188d13eb686fdaecabf414bf9dcbf3faf
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,2,4,number_of_temporal_regions_touched,7.0,20.0,13.0,0.4514991181657848,1,b14057acb8750fe6014b743f2d29368725e3a0ac9dcd919c77267b8c9eff96c0,eee69f595cc89f469ab0ec98f2fd682ae7cf90d57547eb8970779f043720335d
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,6,3,number_of_temporal_regions_touched,42.0,48.0,6.0,0.021164021164021163,1,4dfe9ba3ffa662dd652a1ec5e8f212ba76d1c6cf67aaeaa67b4fe105297341f5,f752ad67c21fe746ff42dc46bccb225f0dd2f91bc9dc83d04f9f9edf690e0f44
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,9,2,number_of_temporal_regions_touched,44.0,50.0,6.0,0.01763668430335097,1,b7bd6238e7136c9d9247bbba3b76c55bf16c9b15ffb882ecab51d27d4e6ddcdc,a633e5d8d616b363a0ebc7086c4e279c025286cf24edaf8fe7ec162ae3d22d6d
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,20,3,number_of_temporal_regions_touched,29.0,33.0,4.0,0.14462081128747795,1,d3aa0438ead03f8fd3491d063c1f064110b78f029a081a3de13ee6f5976b7aa4,103753d89f24b03d0836a620ab8690174d5d53d90cee9fc63f4c8430e833503b
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,9,2,number_of_temporal_regions_touched,74.0,80.0,6.0,0.010582010582010581,1,f3b547d8bd6b179e66a4c31d2d66a281f15b50937fcf5cf47554b210acaa56e5,49c735f21b1d4894e230554e4855afc2836409e0b0aa8008f46d72368db186c7
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,10,2,number_of_temporal_regions_touched,65.0,68.0,3.0,0.003527336860670194,1,ea1016035da83437679e530304e1a99bb2876d6be6c932100e3a98f724cf77aa,0d66e4be073251f045ca7f1cf08bb8023bda0f7e4f9cfcdcdab1c7060eae17c4
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,11,3,number_of_temporal_regions_touched,71.0,72.0,1.0,0.012345679012345623,1,0f62d995fc705bed0b5350f94a3e3db5f54a8bbaedf4df4a1e8ae6060ac19f5d,a437d9174155115bc7eabd1a13f74ea16d15e2a8c4c5c2046e6232a1594135b9
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,13,2,number_of_temporal_regions_touched,7.0,66.0,59.0,0.49029982363315694,1,42e4c361747f0b0513f19521df889b9be24be4ea9e1b5fce6cc7d138eb9c9b11,0157e6de0c1b4ae666777130542043bbc189ad1c227c96a5141412bea3014f18
