design_id,A_density,B_temporal_modes,C_event_duration,D_proxy_noise,E_cost_ratio,verify_scan_cost_ratio,F_deadline,policy,mean_auc,median_auc,mean_terminal_recall
0,0,0,0,0,0,1.0,0,datb_sv,0.07916666666666666,0.09375,0.4
0,0,0,0,0,0,1.0,0,largest_gap,0.07916666666666666,0.09375,0.4
0,0,0,0,0,0,1.0,0,random_temporal,0.175,0.13541666666666666,0.3
0,0,0,0,0,0,1.0,0,sequential,0.01666666666666667,0.0,0.15
0,0,0,0,0,0,1.0,0,uniform_stride,0.09791666666666667,0.0,0.15
1,0,0,0,0,1,3.0,0,datb_sv,0.3875,0.3541666666666667,0.7
1,0,0,0,0,1,3.0,0,largest_gap,0.3875,0.3541666666666667,0.7
1,0,0,0,0,1,3.0,0,random_temporal,0.271875,0.21354166666666666,0.6
1,0,0,0,0,1,3.0,0,sequential,0.203125,0.203125,0.85
1,0,0,0,0,1,3.0,0,uniform_stride,0.22395833333333334,0.23958333333333334,0.65
2,0,0,0,0,2,10.0,0,datb_sv,0.6151515151515151,0.6041666666666666,1.0
2,0,0,0,0,2,10.0,0,largest_gap,0.6151515151515151,0.6041666666666666,1.0
2,0,0,0,0,2,10.0,0,random_temporal,0.5556818181818182,0.615530303030303,1.0
2,0,0,0,0,2,10.0,0,sequential,0.593560606060606,0.6022727272727273,1.0
2,0,0,0,0,2,10.0,0,uniform_stride,0.6026515151515152,0.5700757575757576,1.0
3,0,0,0,0,3,30.0,0,datb_sv,0.7307795698924731,0.739247311827957,1.0
3,0,0,0,0,3,30.0,0,largest_gap,0.7307795698924731,0.739247311827957,1.0
3,0,0,0,0,3,30.0,0,random_temporal,0.7154569892473118,0.6989247311827957,1.0
3,0,0,0,0,3,30.0,0,sequential,0.7263440860215054,0.7130376344086021,1.0
3,0,0,0,0,3,30.0,0,uniform_stride,0.7272849462365591,0.7163978494623656,1.0
4,0,0,0,1,0,1.0,1,datb_sv,0.18541666666666667,0.19270833333333334,0.4
4,0,0,0,1,0,1.0,1,largest_gap,0.18541666666666667,0.19270833333333334,0.4
4,0,0,0,1,0,1.0,1,random_temporal,0.22291666666666665,0.2604166666666667,0.6
4,0,0,0,1,0,1.0,1,sequential,0.1875,0.22916666666666666,0.75
4,0,0,0,1,0,1.0,1,uniform_stride,0.2520833333333333,0.2708333333333333,0.75
5,0,0,0,1,1,3.0,1,datb_sv,0.4723958333333333,0.5286458333333334,0.85
5,0,0,0,1,1,3.0,1,largest_gap,0.4723958333333333,0.5286458333333334,0.85
5,0,0,0,1,1,3.0,1,random_temporal,0.515625,0.5859375,0.85
5,0,0,0,1,1,3.0,1,sequential,0.44375,0.5182291666666666,0.85
5,0,0,0,1,1,3.0,1,uniform_stride,0.4291666666666667,0.4765625,0.85
6,0,0,0,1,2,10.0,1,datb_sv,0.696590909090909,0.6884469696969697,1.0
6,0,0,0,1,2,10.0,1,largest_gap,0.696590909090909,0.6884469696969697,1.0
6,0,0,0,1,2,10.0,1,random_temporal,0.7128787878787879,0.6808712121212122,1.0
6,0,0,0,1,2,10.0,1,sequential,0.740530303030303,0.75,1.0
6,0,0,0,1,2,10.0,1,uniform_stride,0.7634469696969697,0.7642045454545454,1.0
7,0,0,0,1,3,30.0,1,datb_sv,0.6319892473118279,0.7076612903225806,0.85
7,0,0,0,1,3,30.0,1,largest_gap,0.6319892473118279,0.7076612903225806,0.85
7,0,0,0,1,3,30.0,1,random_temporal,0.6646505376344086,0.7493279569892473,0.85
7,0,0,0,1,3,30.0,1,sequential,0.6308467741935484,0.699260752688172,0.85
7,0,0,0,1,3,30.0,1,uniform_stride,0.6401881720430108,0.6932123655913979,0.85
8,0,0,0,2,0,1.0,2,datb_sv,0.5277777777777778,0.5173611111111112,1.0
8,0,0,0,2,0,1.0,2,largest_gap,0.5277777777777778,0.5173611111111112,1.0
8,0,0,0,2,0,1.0,2,random_temporal,0.4097222222222222,0.34375,0.85
8,0,0,0,2,0,1.0,2,sequential,0.43680555555555556,0.4444444444444444,1.0
8,0,0,0,2,0,1.0,2,uniform_stride,0.4534722222222222,0.4340277777777778,1.0
9,0,0,0,2,1,3.0,2,datb_sv,0.5440972222222222,0.6232638888888888,0.85
9,0,0,0,2,1,3.0,2,largest_gap,0.5440972222222222,0.6232638888888888,0.85
9,0,0,0,2,1,3.0,2,random_temporal,0.6072916666666666,0.5416666666666666,0.85
9,0,0,0,2,1,3.0,2,sequential,0.5375,0.6128472222222222,0.85
9,0,0,0,2,1,3.0,2,uniform_stride,0.5482638888888889,0.5572916666666666,0.85
10,0,0,0,2,2,10.0,2,datb_sv,0.46818181818181814,0.4823232323232323,0.7
10,0,0,0,2,2,10.0,2,largest_gap,0.46818181818181814,0.4823232323232323,0.7
10,0,0,0,2,2,10.0,2,random_temporal,0.5378787878787878,0.538510101010101,0.7
10,0,0,0,2,2,10.0,2,sequential,0.5169191919191919,0.5037878787878788,0.7
10,0,0,0,2,2,10.0,2,uniform_stride,0.5127525252525252,0.538510101010101,0.7
11,0,0,0,2,3,30.0,2,datb_sv,0.5924283154121863,0.660394265232975,0.8
11,0,0,0,2,3,30.0,2,largest_gap,0.5924283154121863,0.660394265232975,0.8
11,0,0,0,2,3,30.0,2,random_temporal,0.5967293906810036,0.6487455197132617,0.8
11,0,0,0,2,3,30.0,2,sequential,0.6079301075268817,0.6834677419354839,0.8
11,0,0,0,2,3,30.0,2,uniform_stride,0.5995071684587814,0.6785394265232975,0.8
12,0,0,1,0,0,1.0,1,datb_sv,0.7572916666666667,0.75,1.0
12,0,0,1,0,0,1.0,1,largest_gap,0.7572916666666667,0.75,1.0
12,0,0,1,0,0,1.0,1,random_temporal,0.5395833333333333,0.5729166666666666,0.9
12,0,0,1,0,0,1.0,1,sequential,0.3270833333333333,0.3645833333333333,0.85
12,0,0,1,0,0,1.0,1,uniform_stride,0.5479166666666667,0.5729166666666666,0.9
13,0,0,1,0,1,3.0,1,datb_sv,0.8130208333333334,0.8098958333333334,1.0
13,0,0,1,0,1,3.0,1,largest_gap,0.8130208333333334,0.8098958333333334,1.0
13,0,0,1,0,1,3.0,1,random_temporal,0.7963541666666667,0.828125,1.0
13,0,0,1,0,1,3.0,1,sequential,0.5645833333333333,0.5572916666666666,1.0
13,0,0,1,0,1,3.0,1,uniform_stride,0.7265625,0.6979166666666666,1.0
14,0,0,1,0,2,10.0,1,datb_sv,0.8744318181818181,0.8778409090909091,1.0
14,0,0,1,0,2,10.0,1,largest_gap,0.8744318181818181,0.8778409090909091,1.0
14,0,0,1,0,2,10.0,1,random_temporal,0.8246212121212121,0.8267045454545454,1.0
14,0,0,1,0,2,10.0,1,sequential,0.7098484848484848,0.6931818181818182,1.0
14,0,0,1,0,2,10.0,1,uniform_stride,0.8255681818181818,0.8143939393939394,1.0
15,0,0,1,0,3,30.0,1,datb_sv,0.9057795698924732,0.8988575268817204,1.0
15,0,0,1,0,3,30.0,1,largest_gap,0.9057795698924732,0.8988575268817204,1.0
15,0,0,1,0,3,30.0,1,random_temporal,0.9098118279569892,0.9106182795698925,1.0
15,0,0,1,0,3,30.0,1,sequential,0.7987231182795699,0.7983870967741935,1.0
15,0,0,1,0,3,30.0,1,uniform_stride,0.8797715053763442,0.8686155913978495,1.0
16,0,0,1,1,0,1.0,2,datb_sv,0.7451388888888889,0.7395833333333334,1.0
16,0,0,1,1,0,1.0,2,largest_gap,0.7451388888888889,0.7395833333333334,1.0
16,0,0,1,1,0,1.0,2,random_temporal,0.7222222222222222,0.7118055555555556,1.0
16,0,0,1,1,0,1.0,2,sequential,0.517361111111111,0.4930555555555556,1.0
16,0,0,1,1,0,1.0,2,uniform_stride,0.617361111111111,0.6458333333333334,1.0
17,0,0,1,1,1,3.0,2,datb_sv,0.859375,0.8541666666666666,1.0
17,0,0,1,1,1,3.0,2,largest_gap,0.859375,0.8541666666666666,1.0
17,0,0,1,1,1,3.0,2,random_temporal,0.7559027777777778,0.7899305555555556,1.0
17,0,0,1,1,1,3.0,2,sequential,0.7090277777777778,0.7326388888888888,1.0
17,0,0,1,1,1,3.0,2,uniform_stride,0.8149305555555555,0.8125,1.0
18,0,0,1,1,2,10.0,2,datb_sv,0.8785353535353536,0.8970959595959596,1.0
18,0,0,1,1,2,10.0,2,largest_gap,0.8785353535353536,0.8970959595959596,1.0
18,0,0,1,1,2,10.0,2,random_temporal,0.8438131313131313,0.8642676767676768,1.0
18,0,0,1,1,2,10.0,2,sequential,0.7515151515151515,0.7443181818181818,1.0
18,0,0,1,1,2,10.0,2,uniform_stride,0.8386363636363636,0.8295454545454546,1.0
19,0,0,1,1,3,30.0,2,datb_sv,0.9099910394265234,0.9153225806451613,1.0
19,0,0,1,1,3,30.0,2,largest_gap,0.9099910394265234,0.9153225806451613,1.0
19,0,0,1,1,3,30.0,2,random_temporal,0.875089605734767,0.8604390681003584,1.0
19,0,0,1,1,3,30.0,2,sequential,0.7969534050179211,0.7941308243727598,1.0
19,0,0,1,1,3,30.0,2,uniform_stride,0.8549283154121863,0.8548387096774194,1.0
