segment_id,branching_factor,total_oracle_calls_used,total_positive_leaves_found,total_atomic_bins_in_segment,calls_saved_vs_exhaustive_leaf_scan,calls_saved_pct,num_positive_bins,positive_density,tree_depth,total_tree_nodes,ref_events_total,ref_events_touchable_by_pos_bins,coverage_convention,offline_only_event_mapping
realcartest_0_1570,2,171,44,157,-14,-8.92,44,0.2803,8,313,20,20,any-overlap_positive_bin vs ref_event,True
realcartest_0_1570,4,140,44,157,17,10.83,44,0.2803,4,242,20,20,any-overlap_positive_bin vs ref_event,True
realcartest_2000_3200,2,145,32,120,-25,-20.83,32,0.2667,7,239,20,20,any-overlap_positive_bin vs ref_event,True
realcartest_2000_3200,4,121,32,120,-1,-0.83,32,0.2667,4,197,20,20,any-overlap_positive_bin vs ref_event,True
realcartest_3200_3830,2,59,13,63,4,6.35,13,0.2063,6,125,7,7,any-overlap_positive_bin vs ref_event,True
realcartest_3200_3830,4,49,13,63,14,22.22,13,0.2063,3,84,7,7,any-overlap_positive_bin vs ref_event,True
dataset3_0_1200,2,53,7,120,67,55.83,7,0.0583,7,239,6,6,any-overlap_positive_bin vs ref_event,True
dataset3_0_1200,4,49,7,120,71,59.17,7,0.0583,4,197,6,6,any-overlap_positive_bin vs ref_event,True
dataset3_1200_2400,2,95,21,120,25,20.83,21,0.175,7,239,12,12,any-overlap_positive_bin vs ref_event,True
dataset3_1200_2400,4,83,21,120,37,30.83,21,0.175,4,197,12,12,any-overlap_positive_bin vs ref_event,True
dataset3_2400_3462,2,87,12,107,20,18.69,12,0.1121,7,213,9,9,any-overlap_positive_bin vs ref_event,True
dataset3_2400_3462,4,71,12,107,36,33.64,12,0.1121,4,171,9,9,any-overlap_positive_bin vs ref_event,True
