segment_id,seed,decision_mode,budget_abs,budget_ratio,n_frontier_final,n_positive_bins,n_pruned_nodes,n_expanded_nodes,tree_total_nodes
realcartest_0_1570,0,single_probe,16,0.1,0,0,1,0,311
realcartest_0_1570,0,posterior,16,0.1,8,7,0,5,311
realcartest_0_1570,1,single_probe,16,0.1,3,8,7,8,311
realcartest_0_1570,1,posterior,16,0.1,8,8,0,5,311
realcartest_0_1570,2,single_probe,16,0.1,0,0,1,0,311
realcartest_0_1570,2,posterior,16,0.1,7,7,0,4,311
realcartest_0_1570,0,single_probe,31,0.2,0,0,1,0,311
realcartest_0_1570,0,posterior,31,0.2,9,9,0,9,311
realcartest_0_1570,1,single_probe,31,0.2,4,14,8,16,311
realcartest_0_1570,1,posterior,31,0.2,11,12,0,9,311
realcartest_0_1570,2,single_probe,31,0.2,0,0,1,0,311
realcartest_0_1570,2,posterior,31,0.2,10,12,0,9,311
realcartest_0_1570,0,single_probe,47,0.3,0,0,1,0,311
realcartest_0_1570,0,posterior,47,0.3,14,13,0,14,311
realcartest_0_1570,1,single_probe,47,0.3,0,14,10,16,311
realcartest_0_1570,1,posterior,47,0.3,10,14,0,13,311
realcartest_0_1570,2,single_probe,47,0.3,0,0,1,0,311
realcartest_0_1570,2,posterior,47,0.3,11,15,0,13,311
realcartest_2000_3200,0,single_probe,12,0.1,0,0,1,0,237
realcartest_2000_3200,0,posterior,12,0.1,4,6,0,1,237
realcartest_2000_3200,1,single_probe,12,0.1,0,0,1,0,237
realcartest_2000_3200,1,posterior,12,0.1,4,6,0,1,237
realcartest_2000_3200,2,single_probe,12,0.1,0,0,1,0,237
realcartest_2000_3200,2,posterior,12,0.1,4,6,0,1,237
realcartest_2000_3200,0,single_probe,24,0.2,0,0,1,0,237
realcartest_2000_3200,0,posterior,24,0.2,7,12,0,4,237
realcartest_2000_3200,1,single_probe,24,0.2,0,0,1,0,237
realcartest_2000_3200,1,posterior,24,0.2,7,12,0,4,237
realcartest_2000_3200,2,single_probe,24,0.2,0,0,1,0,237
realcartest_2000_3200,2,posterior,24,0.2,7,12,0,4,237
realcartest_2000_3200,0,single_probe,36,0.3,0,0,1,0,237
realcartest_2000_3200,0,posterior,36,0.3,8,12,0,7,237
realcartest_2000_3200,1,single_probe,36,0.3,0,0,1,0,237
realcartest_2000_3200,1,posterior,36,0.3,8,12,0,7,237
realcartest_2000_3200,2,single_probe,36,0.3,0,0,1,0,237
realcartest_2000_3200,2,posterior,36,0.3,8,12,0,7,237
realcartest_3200_3830,0,single_probe,6,0.1,0,0,1,0,123
realcartest_3200_3830,0,posterior,6,0.1,4,1,0,1,123
realcartest_3200_3830,1,single_probe,6,0.1,3,3,3,3,123
realcartest_3200_3830,1,posterior,6,0.1,4,2,0,1,123
realcartest_3200_3830,2,single_probe,6,0.1,1,2,4,2,123
realcartest_3200_3830,2,posterior,6,0.1,4,3,0,1,123
realcartest_3200_3830,0,single_probe,13,0.2,0,0,1,0,123
realcartest_3200_3830,0,posterior,13,0.2,6,5,0,3,123
realcartest_3200_3830,1,single_probe,13,0.2,0,3,6,3,123
realcartest_3200_3830,1,posterior,13,0.2,7,4,0,4,123
realcartest_3200_3830,2,single_probe,13,0.2,0,2,5,2,123
realcartest_3200_3830,2,posterior,13,0.2,7,4,0,4,123
