segment_id,method_id,seed,budget_abs,budget_ratio,oracle_calls_total,returned_intervals,event_precision,event_recall,unique_event_coverage,strict_replay_or_posthoc,online_uses_event_id,can_be_main_comparison,applicability_note
realcartest_0_1570,fixed_10s_topproxy,0,16,0.1,16,"[(10.0, 40.0), (50.0, 110.0), (500.0, 510.0), (740.0, 750.0)]",0.5,0.05,1,strict_replay,False,False,"flat proxy-ranked top-k, strict-replay"
realcartest_0_1570,HTS-EC-safe,0,16,0.1,16,"[(10.0, 60.0), (70.0, 110.0)]",1.0,0.05,1,strict_replay,False,False,"Phase 2A-RP preflight, flags=stag(0)/repmix(0), policy=inf_when_eligible, strat_set=legacy, d*=0.2442, detector_triggers=1, stagmix_steps=0"
realcartest_0_1570,HTS-EC-safe,1,16,0.1,16,"[(20.0, 40.0), (50.0, 100.0), (1130.0, 1150.0)]",0.6666666666666666,0.1,2,strict_replay,False,False,"Phase 2A-RP preflight, flags=stag(0)/repmix(0), policy=inf_when_eligible, strat_set=legacy, d*=0.2442, detector_triggers=0, stagmix_steps=0"
realcartest_0_1570,HTS-EC-safe,2,16,0.1,16,"[(840.0, 850.0), (1080.0, 1090.0), (1110.0, 1160.0), (1170.0, 1180.0)]",0.75,0.15,3,strict_replay,False,False,"Phase 2A-RP preflight, flags=stag(0)/repmix(0), policy=inf_when_eligible, strat_set=legacy, d*=0.2442, detector_triggers=0, stagmix_steps=0"
realcartest_0_1570,HTS-EC-safe-shadow-stag,0,16,0.1,16,"[(10.0, 60.0), (70.0, 110.0)]",1.0,0.05,1,strict_replay,False,False,"Phase 2A-RP preflight, flags=stag(1)/repmix(0), policy=inf_when_eligible, strat_set=legacy, d*=0.2442, detector_triggers=1, stagmix_steps=16"
realcartest_0_1570,HTS-EC-safe-shadow-stag,1,16,0.1,16,"[(20.0, 40.0), (50.0, 100.0), (1130.0, 1150.0)]",0.6666666666666666,0.1,2,strict_replay,False,False,"Phase 2A-RP preflight, flags=stag(1)/repmix(0), policy=inf_when_eligible, strat_set=legacy, d*=0.2442, detector_triggers=0, stagmix_steps=16"
realcartest_0_1570,HTS-EC-safe-shadow-stag,2,16,0.1,16,"[(840.0, 850.0), (1080.0, 1090.0), (1110.0, 1160.0), (1170.0, 1180.0)]",0.75,0.15,3,strict_replay,False,False,"Phase 2A-RP preflight, flags=stag(1)/repmix(0), policy=inf_when_eligible, strat_set=legacy, d*=0.2442, detector_triggers=0, stagmix_steps=16"
realcartest_0_1570,HTS-EC-safe-StagRepMix-force,0,16,0.1,16,"[(10.0, 60.0), (70.0, 110.0)]",1.0,0.05,1,strict_replay,False,False,"Phase 2A-RP preflight, flags=stag(1)/repmix(1), policy=inf_when_eligible, strat_set=legacy, d*=0.2442, detector_triggers=1, stagmix_steps=16"
realcartest_0_1570,HTS-EC-safe-StagRepMix-force,1,16,0.1,16,"[(20.0, 40.0), (50.0, 100.0), (1130.0, 1150.0)]",0.6666666666666666,0.1,2,strict_replay,False,False,"Phase 2A-RP preflight, flags=stag(1)/repmix(1), policy=inf_when_eligible, strat_set=legacy, d*=0.2442, detector_triggers=0, stagmix_steps=16"
realcartest_0_1570,HTS-EC-safe-StagRepMix-force,2,16,0.1,16,"[(840.0, 850.0), (1080.0, 1090.0), (1110.0, 1160.0), (1170.0, 1180.0)]",0.75,0.15,3,strict_replay,False,False,"Phase 2A-RP preflight, flags=stag(1)/repmix(1), policy=inf_when_eligible, strat_set=legacy, d*=0.2442, detector_triggers=0, stagmix_steps=16"
realcartest_0_1570,HTS-EC-safe-StagRepMix-force-gap_flank_v2,0,16,0.1,16,"[(10.0, 60.0), (70.0, 110.0)]",1.0,0.05,1,strict_replay,False,False,"Phase 2A-RP preflight, flags=stag(1)/repmix(1), policy=inf_when_eligible, strat_set=gap_flank_v2, d*=0.2442, detector_triggers=1, stagmix_steps=16"
realcartest_0_1570,HTS-EC-safe-StagRepMix-force-gap_flank_v2,1,16,0.1,16,"[(20.0, 40.0), (50.0, 100.0), (1130.0, 1150.0)]",0.6666666666666666,0.1,2,strict_replay,False,False,"Phase 2A-RP preflight, flags=stag(1)/repmix(1), policy=inf_when_eligible, strat_set=gap_flank_v2, d*=0.2442, detector_triggers=0, stagmix_steps=16"
realcartest_0_1570,HTS-EC-safe-StagRepMix-force-gap_flank_v2,2,16,0.1,16,"[(840.0, 850.0), (1080.0, 1090.0), (1110.0, 1160.0), (1170.0, 1180.0)]",0.75,0.15,3,strict_replay,False,False,"Phase 2A-RP preflight, flags=stag(1)/repmix(1), policy=inf_when_eligible, strat_set=gap_flank_v2, d*=0.2442, detector_triggers=0, stagmix_steps=16"
