segment,budget,seed,release_variant,event_precision,event_recall,selected_duration,guard_calls
realcartest_0_1570,5,0,core_only,0.0,0.0,0.0,0
realcartest_0_1570,5,0,core_plus_positive_guard,0.0,0.0,0.0,0
realcartest_0_1570,5,0,core_plus_1bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,5,0,core_plus_2bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,5,0,full_window,0.0,0.0,20.0,0
realcartest_0_1570,5,1,core_only,0.0,0.0,0.0,0
realcartest_0_1570,5,1,core_plus_positive_guard,0.0,0.0,0.0,0
realcartest_0_1570,5,1,core_plus_1bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,5,1,core_plus_2bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,5,1,full_window,0.0,0.0,20.0,0
realcartest_0_1570,5,2,core_only,0.0,0.0,0.0,0
realcartest_0_1570,5,2,core_plus_positive_guard,0.0,0.0,0.0,0
realcartest_0_1570,5,2,core_plus_1bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,5,2,core_plus_2bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,5,2,full_window,0.0,0.0,20.0,0
realcartest_0_1570,5,3,core_only,0.0,0.0,0.0,0
realcartest_0_1570,5,3,core_plus_positive_guard,0.0,0.0,0.0,0
realcartest_0_1570,5,3,core_plus_1bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,5,3,core_plus_2bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,5,3,full_window,0.0,0.0,20.0,0
realcartest_0_1570,5,4,core_only,0.0,0.0,0.0,0
realcartest_0_1570,5,4,core_plus_positive_guard,0.0,0.0,0.0,0
realcartest_0_1570,5,4,core_plus_1bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,5,4,core_plus_2bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,5,4,full_window,0.0,0.0,20.0,0
realcartest_0_1570,10,0,core_only,0.0,0.0,0.0,0
realcartest_0_1570,10,0,core_plus_positive_guard,0.0,0.0,0.0,0
realcartest_0_1570,10,0,core_plus_1bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,10,0,core_plus_2bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,10,0,full_window,0.0,0.0,20.0,0
realcartest_0_1570,10,1,core_only,0.0,0.0,0.0,0
realcartest_0_1570,10,1,core_plus_positive_guard,0.0,0.0,0.0,0
realcartest_0_1570,10,1,core_plus_1bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,10,1,core_plus_2bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,10,1,full_window,0.0,0.0,20.0,0
realcartest_0_1570,10,2,core_only,0.0,0.0,0.0,0
realcartest_0_1570,10,2,core_plus_positive_guard,0.0,0.0,0.0,0
realcartest_0_1570,10,2,core_plus_1bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,10,2,core_plus_2bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,10,2,full_window,0.0,0.0,20.0,0
realcartest_0_1570,10,3,core_only,0.0,0.0,0.0,0
realcartest_0_1570,10,3,core_plus_positive_guard,0.0,0.0,0.0,0
realcartest_0_1570,10,3,core_plus_1bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,10,3,core_plus_2bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,10,3,full_window,0.0,0.0,20.0,0
realcartest_0_1570,10,4,core_only,0.0,0.0,0.0,0
realcartest_0_1570,10,4,core_plus_positive_guard,0.0,0.0,0.0,0
realcartest_0_1570,10,4,core_plus_1bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,10,4,core_plus_2bin_halo,0.0,0.0,0.0,0
realcartest_0_1570,10,4,full_window,0.0,0.0,20.0,0
realcartest_0_1570,20,0,core_only,1.0,0.05,50.0,5
realcartest_0_1570,20,0,core_plus_positive_guard,1.0,0.05,50.0,5
realcartest_0_1570,20,0,core_plus_1bin_halo,1.0,0.05,50.0,5
realcartest_0_1570,20,0,core_plus_2bin_halo,1.0,0.05,50.0,5
realcartest_0_1570,20,0,full_window,0.3333333333333333,0.05,30.0,5
realcartest_0_1570,20,1,core_only,1.0,0.1,110.0,12
realcartest_0_1570,20,1,core_plus_positive_guard,1.0,0.1,110.0,12
realcartest_0_1570,20,1,core_plus_1bin_halo,1.0,0.1,120.0,12
realcartest_0_1570,20,1,core_plus_2bin_halo,1.0,0.1,120.0,12
realcartest_0_1570,20,1,full_window,0.75,0.1,80.0,12
realcartest_0_1570,20,2,core_only,1.0,0.05,100.0,9
realcartest_0_1570,20,2,core_plus_positive_guard,1.0,0.05,100.0,9
realcartest_0_1570,20,2,core_plus_1bin_halo,1.0,0.05,110.0,9
realcartest_0_1570,20,2,core_plus_2bin_halo,1.0,0.05,110.0,9
realcartest_0_1570,20,2,full_window,0.6666666666666666,0.05,80.0,9
realcartest_0_1570,20,3,core_only,1.0,0.05,100.0,9
realcartest_0_1570,20,3,core_plus_positive_guard,1.0,0.05,100.0,9
realcartest_0_1570,20,3,core_plus_1bin_halo,1.0,0.05,110.0,9
realcartest_0_1570,20,3,core_plus_2bin_halo,1.0,0.05,110.0,9
realcartest_0_1570,20,3,full_window,0.6666666666666666,0.05,80.0,9
realcartest_0_1570,20,4,core_only,1.0,0.2,150.0,12
realcartest_0_1570,20,4,core_plus_positive_guard,1.0,0.2,150.0,12
realcartest_0_1570,20,4,core_plus_1bin_halo,1.0,0.2,200.0,12
realcartest_0_1570,20,4,core_plus_2bin_halo,1.0,0.2,200.0,12
realcartest_0_1570,20,4,full_window,0.5714285714285714,0.15,200.0,12
realcartest_0_1570,40,0,core_only,1.0,0.45,290.0,27
realcartest_0_1570,40,0,core_plus_positive_guard,1.0,0.45,290.0,27
realcartest_0_1570,40,0,core_plus_1bin_halo,1.0,0.45,380.0,27
realcartest_0_1570,40,0,core_plus_2bin_halo,1.0,0.45,380.0,27
realcartest_0_1570,40,0,full_window,0.5294117647058824,0.45,400.0,27
realcartest_0_1570,40,1,core_only,1.0,0.2,90.0,12
realcartest_0_1570,40,1,core_plus_positive_guard,1.0,0.2,90.0,12
realcartest_0_1570,40,1,core_plus_1bin_halo,1.0,0.2,130.0,12
realcartest_0_1570,40,1,core_plus_2bin_halo,1.0,0.2,130.0,12
realcartest_0_1570,40,1,full_window,0.36363636363636365,0.2,150.0,12
realcartest_0_1570,40,2,core_only,1.0,0.1,110.0,9
realcartest_0_1570,40,2,core_plus_positive_guard,1.0,0.1,110.0,9
realcartest_0_1570,40,2,core_plus_1bin_halo,1.0,0.1,130.0,9
realcartest_0_1570,40,2,core_plus_2bin_halo,1.0,0.1,130.0,9
realcartest_0_1570,40,2,full_window,0.42857142857142855,0.1,170.0,9
realcartest_0_1570,40,3,core_only,1.0,0.1,110.0,9
realcartest_0_1570,40,3,core_plus_positive_guard,1.0,0.1,110.0,9
realcartest_0_1570,40,3,core_plus_1bin_halo,1.0,0.1,130.0,9
realcartest_0_1570,40,3,core_plus_2bin_halo,1.0,0.1,130.0,9
realcartest_0_1570,40,3,full_window,0.42857142857142855,0.1,170.0,9
realcartest_0_1570,40,4,core_only,1.0,0.1,110.0,9
realcartest_0_1570,40,4,core_plus_positive_guard,1.0,0.1,110.0,9
realcartest_0_1570,40,4,core_plus_1bin_halo,1.0,0.1,120.0,9
realcartest_0_1570,40,4,core_plus_2bin_halo,1.0,0.1,120.0,9
realcartest_0_1570,40,4,full_window,0.375,0.1,170.0,9
realcartest_0_1570,60,0,core_only,1.0,0.25,240.0,21
realcartest_0_1570,60,0,core_plus_positive_guard,1.0,0.25,240.0,21
realcartest_0_1570,60,0,core_plus_1bin_halo,1.0,0.25,270.0,21
realcartest_0_1570,60,0,core_plus_2bin_halo,0.75,0.25,280.0,21
realcartest_0_1570,60,0,full_window,0.38461538461538464,0.2,270.0,21
realcartest_0_1570,60,1,core_only,1.0,0.35,220.0,22
realcartest_0_1570,60,1,core_plus_positive_guard,1.0,0.35,220.0,22
realcartest_0_1570,60,1,core_plus_1bin_halo,1.0,0.35,290.0,22
realcartest_0_1570,60,1,core_plus_2bin_halo,1.0,0.35,290.0,22
realcartest_0_1570,60,1,full_window,0.5,0.35,350.0,22
realcartest_0_1570,60,2,core_only,1.0,0.3,220.0,20
realcartest_0_1570,60,2,core_plus_positive_guard,1.0,0.3,220.0,20
realcartest_0_1570,60,2,core_plus_1bin_halo,1.0,0.3,260.0,20
realcartest_0_1570,60,2,core_plus_2bin_halo,0.8333333333333334,0.3,270.0,20
realcartest_0_1570,60,2,full_window,0.375,0.25,300.0,20
realcartest_0_1570,60,3,core_only,1.0,0.45,240.0,22
realcartest_0_1570,60,3,core_plus_positive_guard,1.0,0.45,240.0,22
realcartest_0_1570,60,3,core_plus_1bin_halo,1.0,0.45,370.0,22
realcartest_0_1570,60,3,core_plus_2bin_halo,1.0,0.45,370.0,22
realcartest_0_1570,60,3,full_window,0.6363636363636364,0.35,330.0,22
realcartest_0_1570,60,4,core_only,1.0,0.35,260.0,24
realcartest_0_1570,60,4,core_plus_positive_guard,1.0,0.35,260.0,24
realcartest_0_1570,60,4,core_plus_1bin_halo,1.0,0.35,330.0,24
realcartest_0_1570,60,4,core_plus_2bin_halo,1.0,0.35,330.0,24
realcartest_0_1570,60,4,full_window,0.375,0.3,330.0,24
realcartest_0_1570,80,0,core_only,1.0,0.6,330.0,21
realcartest_0_1570,80,0,core_plus_positive_guard,1.0,0.6,330.0,21
realcartest_0_1570,80,0,core_plus_1bin_halo,1.0,0.6,480.0,21
realcartest_0_1570,80,0,core_plus_2bin_halo,0.8571428571428571,0.6,500.0,21
realcartest_0_1570,80,0,full_window,0.3888888888888889,0.5,590.0,21
realcartest_0_1570,80,1,core_only,1.0,0.55,320.0,21
realcartest_0_1570,80,1,core_plus_positive_guard,1.0,0.55,320.0,21
realcartest_0_1570,80,1,core_plus_1bin_halo,1.0,0.55,450.0,21
realcartest_0_1570,80,1,core_plus_2bin_halo,1.0,0.55,450.0,21
realcartest_0_1570,80,1,full_window,0.42105263157894735,0.5,590.0,21
realcartest_0_1570,80,2,core_only,1.0,0.6,330.0,25
realcartest_0_1570,80,2,core_plus_positive_guard,1.0,0.6,330.0,25
realcartest_0_1570,80,2,core_plus_1bin_halo,1.0,0.6,470.0,25
realcartest_0_1570,80,2,core_plus_2bin_halo,0.7777777777777778,0.6,500.0,25
realcartest_0_1570,80,2,full_window,0.42105263157894735,0.5,550.0,25
realcartest_0_1570,80,3,core_only,1.0,0.6,290.0,28
realcartest_0_1570,80,3,core_plus_positive_guard,1.0,0.6,290.0,28
