segment_id,method,best_unique_events_hit_le30,best_long_event_recall_le30
realcartest_0_1570,B7-core,6.0,0.525
realcartest_0_1570,LATE-D0-core,6.8,0.6
realcartest_0_1570,LATE-D1-core-radius20,11.2,0.925
realcartest_0_1570,LATE-D2-core-q20-smass-rhighest,8.8,0.675
realcartest_0_1570,LATE-D3-core-chunk120,6.8,0.625
realcartest_0_1570,D3-norepair-core-chunk120,5.4,0.525
realcartest_2000_3200,B7-core,6.4,0.4333333333333333
realcartest_2000_3200,LATE-D0-core,7.2,0.5666666666666667
realcartest_2000_3200,LATE-D1-core-radius20,10.8,1.0
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,6.4,0.5666666666666667
realcartest_2000_3200,LATE-D3-core-chunk120,7.4,0.5333333333333333
realcartest_2000_3200,D3-norepair-core-chunk120,5.2,0.19999999999999996
realcartest_3200_3830,B7-core,0.8,0.15
realcartest_3200_3830,LATE-D0-core,1.4,0.25
realcartest_3200_3830,LATE-D1-core-radius20,3.0,0.55
realcartest_3200_3830,LATE-D2-core-q20-smass-rhighest,2.8,0.55
realcartest_3200_3830,LATE-D3-core-chunk120,2.6,0.35
realcartest_3200_3830,D3-norepair-core-chunk120,1.0,0.25
dataset3_0_1200,B7-core,2.2,0.4
dataset3_0_1200,LATE-D0-core,0.0,0.0
dataset3_0_1200,LATE-D1-core-radius20,2.2,0.4
dataset3_0_1200,LATE-D2-core-q20-smass-rhighest,0.0,0.0
dataset3_0_1200,LATE-D3-core-chunk120,0.8,0.2
dataset3_0_1200,D3-norepair-core-chunk120,2.0,0.6
dataset3_1200_2400,B7-core,4.6,0.6
dataset3_1200_2400,LATE-D0-core,2.0,0.5
dataset3_1200_2400,LATE-D1-core-radius20,1.4,0.5
dataset3_1200_2400,LATE-D2-core-q20-smass-rhighest,2.4,0.5
dataset3_1200_2400,LATE-D3-core-chunk120,1.8,0.6
dataset3_1200_2400,D3-norepair-core-chunk120,2.6,0.5
dataset3_2400_3462,B7-core,3.0,0.4
dataset3_2400_3462,LATE-D0-core,3.0,0.3333333333333333
dataset3_2400_3462,LATE-D1-core-radius20,2.8,0.4
dataset3_2400_3462,LATE-D2-core-q20-smass-rhighest,3.0,0.4
dataset3_2400_3462,LATE-D3-core-chunk120,1.4,0.26666666666666666
dataset3_2400_3462,D3-norepair-core-chunk120,2.0,0.26666666666666666
