bin_idx,local_t_start,local_t_end,label,is_positive,event_id,prior_score_max,prior_score_mean,t_start,t_end
0,0.0,10.0,negative,False,,1.0,0.620341,0.0,10.0
1,10.0,20.0,positive,True,realcartest_event_0000,1.0,0.6973584,10.0,20.0
2,20.0,30.0,positive,True,realcartest_event_0000,1.0,0.7351746,20.0,30.0
3,30.0,40.0,positive,True,realcartest_event_0000,1.0,0.6167933333333333,30.0,40.0
4,40.0,50.0,positive,True,realcartest_event_0000,0.965336,0.882591,40.0,50.0
5,50.0,60.0,positive,True,realcartest_event_0000,1.0,0.9740945,50.0,60.0
6,60.0,70.0,positive,True,realcartest_event_0000,1.0,0.9783855,60.0,70.0
7,70.0,80.0,positive,True,realcartest_event_0000,1.0,0.9501580000000001,70.0,80.0
8,80.0,90.0,positive,True,realcartest_event_0000,1.0,1.0,80.0,90.0
9,90.0,100.0,positive,True,realcartest_event_0000,1.0,1.0,90.0,100.0
10,100.0,110.0,positive,True,realcartest_event_0000,1.0,1.0,100.0,110.0
11,110.0,120.0,negative,False,,0.581723,0.560586,110.0,120.0
12,120.0,130.0,negative,False,,0.566842,0.40651075000000003,120.0,130.0
13,130.0,140.0,negative,False,,0.404167,0.3335135,130.0,140.0
14,140.0,150.0,negative,False,,0.404167,0.3464343333333333,140.0,150.0
15,150.0,160.0,negative,False,,0.437605,0.40738199999999997,150.0,160.0
16,160.0,170.0,positive,True,realcartest_event_0001,0.520098,0.447082,160.0,170.0
17,170.0,180.0,negative,False,,0.520098,0.4781155,170.0,180.0
18,180.0,190.0,negative,False,,1.0,0.9208423333333333,180.0,190.0
19,190.0,200.0,negative,False,,1.0,0.757427,190.0,200.0
20,200.0,210.0,negative,False,,0.507563,0.389922,200.0,210.0
21,210.0,220.0,negative,False,,0.461415,0.461415,210.0,220.0
22,220.0,230.0,negative,False,,0.611345,0.487325,220.0,230.0
23,230.0,240.0,negative,False,,0.611345,0.46404100000000004,230.0,240.0
24,240.0,250.0,negative,False,,0.379062,0.34789950000000003,240.0,250.0
25,250.0,260.0,negative,False,,0.312955,0.312955,250.0,260.0
26,260.0,270.0,positive,True,realcartest_event_0002,0.436975,0.32682100000000003,260.0,270.0
27,270.0,280.0,negative,False,,0.436975,0.344433,270.0,280.0
28,280.0,290.0,positive,True,realcartest_event_0003,0.423179,0.33753500000000003,280.0,290.0
29,290.0,300.0,negative,False,,0.561134,0.5170515,290.0,300.0
30,300.0,310.0,negative,False,,0.478641,0.475805,300.0,310.0
31,310.0,320.0,negative,False,,0.561064,0.5198525,310.0,320.0
32,320.0,330.0,negative,False,,0.572479,0.572479,320.0,330.0
33,330.0,340.0,negative,False,,0.636064,0.5888305,330.0,340.0
34,340.0,350.0,negative,False,,0.541597,0.532458,340.0,350.0
35,350.0,360.0,negative,False,,0.671289,0.5973040000000001,350.0,360.0
36,360.0,370.0,negative,False,,0.747479,0.747479,360.0,370.0
37,370.0,380.0,negative,False,,0.867787,0.8010155,370.0,380.0
38,380.0,390.0,negative,False,,0.867787,0.772059,380.0,390.0
39,390.0,400.0,negative,False,,0.79916,0.7377454999999999,390.0,400.0
40,400.0,410.0,negative,False,,0.903011,0.8309525,400.0,410.0
41,410.0,420.0,negative,False,,0.758894,0.7412464999999999,410.0,420.0
42,420.0,430.0,negative,False,,0.80042,0.7620095,420.0,430.0
43,430.0,440.0,negative,False,,0.77521,0.77521,430.0,440.0
