method,budget,event_subset,num_events,event_recall_mean,complete_event_coverage_mean,boundary_iou_03_mean,boundary_iou_05_mean
B6_ExSample,5,duration_ge_1s,6,0.10555555555555554,0.0,0.03888888888888889,0.01111111111111111
B6_ExSample,10,duration_ge_1s,6,0.16666666666666666,0.0,0.06666666666666667,0.016666666666666666
B6_ExSample,20,duration_ge_1s,6,0.38333333333333325,0.0,0.1833333333333333,0.08333333333333333
B6_ExSample,40,duration_ge_1s,6,0.5833333333333334,0.0,0.3833333333333334,0.20555555555555557
B6_ExSample,80,duration_ge_1s,6,0.8777777777777778,0.0,0.6944444444444445,0.40555555555555556
B6_ExSample,120,duration_ge_1s,6,1.0,0.0,0.8333333333333331,0.5
B7_ExSample_plus_expansion,5,duration_ge_1s,6,0.06805555555555555,0.0,0.04027777777777777,0.03333333333333333
B7_ExSample_plus_expansion,10,duration_ge_1s,6,0.1277777777777778,0.0,0.07222222222222222,0.047222222222222214
B7_ExSample_plus_expansion,20,duration_ge_1s,6,0.30277777777777776,0.0,0.19166666666666668,0.11944444444444444
B7_ExSample_plus_expansion,40,duration_ge_1s,6,0.5638888888888889,0.0,0.4069444444444444,0.25416666666666665
B7_ExSample_plus_expansion,80,duration_ge_1s,6,0.8611111111111112,0.0,0.6944444444444444,0.41805555555555546
B7_ExSample_plus_expansion,120,duration_ge_1s,6,1.0,0.0,0.8333333333333335,0.5
Ours_full_LATE_AQP,5,duration_ge_1s,6,0.18888888888888894,0.0,0.02222222222222222,0.0
Ours_full_LATE_AQP,10,duration_ge_1s,6,0.3555555555555557,0.0,0.17777777777777784,0.1666666666666667
Ours_full_LATE_AQP,20,duration_ge_1s,6,0.3944444444444445,0.0,0.2055555555555556,0.1666666666666667
Ours_full_LATE_AQP,40,duration_ge_1s,6,0.7277777777777777,0.0,0.43333333333333335,0.38888888888888895
Ours_full_LATE_AQP,80,duration_ge_1s,6,1.0,0.0,0.8333333333333331,0.5
Ours_full_LATE_AQP,120,duration_ge_1s,6,1.0,0.0,0.8333333333333331,0.5
B6_ExSample,5,duration_ge_2s,6,0.10555555555555554,0.0,0.03888888888888889,0.01111111111111111
B6_ExSample,10,duration_ge_2s,6,0.16666666666666666,0.0,0.06666666666666667,0.016666666666666666
B6_ExSample,20,duration_ge_2s,6,0.38333333333333325,0.0,0.1833333333333333,0.08333333333333333
B6_ExSample,40,duration_ge_2s,6,0.5833333333333334,0.0,0.3833333333333334,0.20555555555555557
B6_ExSample,80,duration_ge_2s,6,0.8777777777777778,0.0,0.6944444444444445,0.40555555555555556
B6_ExSample,120,duration_ge_2s,6,1.0,0.0,0.8333333333333331,0.5
B7_ExSample_plus_expansion,5,duration_ge_2s,6,0.06805555555555555,0.0,0.04027777777777777,0.03333333333333333
B7_ExSample_plus_expansion,10,duration_ge_2s,6,0.1277777777777778,0.0,0.07222222222222222,0.047222222222222214
B7_ExSample_plus_expansion,20,duration_ge_2s,6,0.30277777777777776,0.0,0.19166666666666668,0.11944444444444444
B7_ExSample_plus_expansion,40,duration_ge_2s,6,0.5638888888888889,0.0,0.4069444444444444,0.25416666666666665
B7_ExSample_plus_expansion,80,duration_ge_2s,6,0.8611111111111112,0.0,0.6944444444444444,0.41805555555555546
B7_ExSample_plus_expansion,120,duration_ge_2s,6,1.0,0.0,0.8333333333333335,0.5
Ours_full_LATE_AQP,5,duration_ge_2s,6,0.18888888888888894,0.0,0.02222222222222222,0.0
Ours_full_LATE_AQP,10,duration_ge_2s,6,0.3555555555555557,0.0,0.17777777777777784,0.1666666666666667
Ours_full_LATE_AQP,20,duration_ge_2s,6,0.3944444444444445,0.0,0.2055555555555556,0.1666666666666667
Ours_full_LATE_AQP,40,duration_ge_2s,6,0.7277777777777777,0.0,0.43333333333333335,0.38888888888888895
Ours_full_LATE_AQP,80,duration_ge_2s,6,1.0,0.0,0.8333333333333331,0.5
Ours_full_LATE_AQP,120,duration_ge_2s,6,1.0,0.0,0.8333333333333331,0.5
B6_ExSample,5,duration_ge_5s,6,0.10555555555555554,0.0,0.03888888888888889,0.01111111111111111
B6_ExSample,10,duration_ge_5s,6,0.16666666666666666,0.0,0.06666666666666667,0.016666666666666666
B6_ExSample,20,duration_ge_5s,6,0.38333333333333325,0.0,0.1833333333333333,0.08333333333333333
B6_ExSample,40,duration_ge_5s,6,0.5833333333333334,0.0,0.3833333333333334,0.20555555555555557
B6_ExSample,80,duration_ge_5s,6,0.8777777777777778,0.0,0.6944444444444445,0.40555555555555556
B6_ExSample,120,duration_ge_5s,6,1.0,0.0,0.8333333333333331,0.5
B7_ExSample_plus_expansion,5,duration_ge_5s,6,0.06805555555555555,0.0,0.04027777777777777,0.03333333333333333
B7_ExSample_plus_expansion,10,duration_ge_5s,6,0.1277777777777778,0.0,0.07222222222222222,0.047222222222222214
B7_ExSample_plus_expansion,20,duration_ge_5s,6,0.30277777777777776,0.0,0.19166666666666668,0.11944444444444444
B7_ExSample_plus_expansion,40,duration_ge_5s,6,0.5638888888888889,0.0,0.4069444444444444,0.25416666666666665
B7_ExSample_plus_expansion,80,duration_ge_5s,6,0.8611111111111112,0.0,0.6944444444444444,0.41805555555555546
B7_ExSample_plus_expansion,120,duration_ge_5s,6,1.0,0.0,0.8333333333333335,0.5
Ours_full_LATE_AQP,5,duration_ge_5s,6,0.18888888888888894,0.0,0.02222222222222222,0.0
Ours_full_LATE_AQP,10,duration_ge_5s,6,0.3555555555555557,0.0,0.17777777777777784,0.1666666666666667
Ours_full_LATE_AQP,20,duration_ge_5s,6,0.3944444444444445,0.0,0.2055555555555556,0.1666666666666667
Ours_full_LATE_AQP,40,duration_ge_5s,6,0.7277777777777777,0.0,0.43333333333333335,0.38888888888888895
Ours_full_LATE_AQP,80,duration_ge_5s,6,1.0,0.0,0.8333333333333331,0.5
Ours_full_LATE_AQP,120,duration_ge_5s,6,1.0,0.0,0.8333333333333331,0.5
