segment_id,method,best_recall_under_precision_ge_0.9,reached_90_90
realcartest_0_1570,B6,0.0,False
realcartest_0_1570,B6-core,0.13,False
realcartest_0_1570,B7,0.0,False
realcartest_0_1570,B7-core,0.31,False
realcartest_0_1570,LATE-AQP-core,0.24,False
realcartest_2000_3200,B6,0.0,False
realcartest_2000_3200,B6-core,0.21000000000000002,False
realcartest_2000_3200,B7,0.0,False
realcartest_2000_3200,B7-core,0.30999999999999994,False
realcartest_2000_3200,LATE-AQP-core,0.31,False
realcartest_3200_3830,B6,0.0,False
realcartest_3200_3830,B6-core,0.0,False
realcartest_3200_3830,B7,0.0,False
realcartest_3200_3830,B7-core,0.0,False
realcartest_3200_3830,LATE-AQP-core,0.2,False
