segment_id,method,failure_type,best_budget,best_precision,best_recall,diagnosis,notes
realcartest_0_1570,B6,both_failure,47,0.3099770114942529,0.39,discovery_miss,<=30% budget envelope
realcartest_0_1570,B6-core,recall_failure,47,1.0,0.13,release_over_conservative,<=30% budget envelope
realcartest_0_1570,B7,both_failure,47,0.2376366641240783,0.32999999999999996,discovery_miss,<=30% budget envelope
realcartest_0_1570,B7-core,recall_failure,47,1.0,0.31,release_over_conservative,<=30% budget envelope
realcartest_0_1570,LATE-AQP-core,recall_failure,47,1.0,0.24,LATE-specific (audit/repair/guard); needs non-core baseline,<=30% budget envelope
realcartest_2000_3200,B6,both_failure,36,0.2960200501253133,0.37,discovery_miss,<=30% budget envelope
realcartest_2000_3200,B6-core,recall_failure,20,1.0,0.21000000000000002,release_over_conservative,<=30% budget envelope
realcartest_2000_3200,B7,both_failure,36,0.29,0.37,discovery_miss,<=30% budget envelope
realcartest_2000_3200,B7-core,recall_failure,36,1.0,0.30999999999999994,release_over_conservative,<=30% budget envelope
realcartest_2000_3200,LATE-AQP-core,recall_failure,36,1.0,0.31,LATE-specific (audit/repair/guard); needs non-core baseline,<=30% budget envelope
realcartest_3200_3830,B6,both_failure,13,0.33999999999999997,0.3714285714285714,discovery_miss,<=30% budget envelope
realcartest_3200_3830,B6-core,both_failure,13,0.6,0.11428571428571428,release_over_conservative,<=30% budget envelope
realcartest_3200_3830,B7,both_failure,13,0.24238095238095236,0.34285714285714286,discovery_miss,<=30% budget envelope
realcartest_3200_3830,B7-core,both_failure,13,0.8,0.14285714285714285,release_over_conservative,<=30% budget envelope
realcartest_3200_3830,LATE-AQP-core,recall_failure,13,1.0,0.2,LATE-specific (audit/repair/guard); needs non-core baseline,<=30% budget envelope
