segment_id,budget,budget_ratio,seed,method,event_precision,event_recall,duration_precision,duration_recall,candidate_duration,core_duration,num_unique_events_hit,audit_calls,repair_calls,discovery_calls,guard_calls,total_used_calls,budget_accounting_error,halo_duration
realcartest_0_1570,5,0.03184713375796178,0,D3-core-chunk120,1.0,0.05,0.0,0.0,50.0,30.0,1,1,0,0,4,5,0,20.0
realcartest_0_1570,5,0.03184713375796178,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0.0
realcartest_0_1570,8,0.050955414012738856,0,D3-core-chunk120,1.0,0.15,0.0,0.0,80.0,70.0,3,1,0,0,7,8,0,10.0
realcartest_0_1570,8,0.050955414012738856,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,8,0.0
realcartest_0_1570,10,0.06369426751592357,0,D3-core-chunk120,1.0,0.15,0.0,0.0,100.0,80.0,3,1,0,0,9,10,0,20.0
realcartest_0_1570,10,0.06369426751592357,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0.0
realcartest_0_1570,16,0.10191082802547771,0,D3-core-chunk120,1.0,0.2,0.0,0.0,160.0,150.0,4,2,0,0,14,16,0,10.0
realcartest_0_1570,16,0.10191082802547771,0,D3-norepair-core-chunk120,1.0,0.1,0.0,0.0,120.0,90.0,2,0,0,12,4,16,0,30.0
realcartest_0_1570,20,0.12738853503184713,0,D3-core-chunk120,1.0,0.2,0.0,0.0,200.0,140.0,4,2,0,0,18,20,0,60.0
realcartest_0_1570,20,0.12738853503184713,0,D3-norepair-core-chunk120,1.0,0.3,0.0,0.0,160.0,90.0,6,0,0,16,4,20,0,70.0
realcartest_0_1570,31,0.19745222929936307,0,D3-core-chunk120,1.0,0.3,0.0,0.0,300.0,160.0,6,8,1,0,22,31,0,140.0
realcartest_0_1570,31,0.19745222929936307,0,D3-norepair-core-chunk120,1.0,0.1,0.0,0.0,190.0,110.0,2,0,0,19,4,23,8,80.0
realcartest_0_1570,40,0.25477707006369427,0,D3-core-chunk120,1.0,0.25,0.0,0.0,150.0,140.0,5,10,3,3,19,35,5,10.0
