source_dataset,session_id,source_sha256,model_split_role,video_id,query_id,unit_id,start_time,end_time,unit_score,top_track_id,top_class_id,candidate_count,top_track_evidence_json,verification_key,label_scope,witness_track_id,opportunity_id
nexar_collision_prediction,nexar:00056.mp4,14205f505a850f2df062a14a897374bf5fdc0e9c71856f4759cf9b25cb965e55,model_train,nexar:00056.mp4,Q1,0,0.0,10.0,0.7798160173160174,47.0,2.0,11,"{""approximate_ttc_urgency"": 0.5894748828897021, ""box_growth"": 1.153241460083579, ""front_region_occupancy"": 0.6232989855058824, ""path_directed_lateral_motion"": 0.6917284727096581, ""track_persistence"": 7.0}",nexar_collision_prediction|nexar:00056.mp4|Q1|0,UNIT_OUTCOME,47.0,nexar_collision_prediction|nexar:00056.mp4|Q1|0|track:47
nexar_collision_prediction,nexar:00056.mp4,14205f505a850f2df062a14a897374bf5fdc0e9c71856f4759cf9b25cb965e55,model_train,nexar:00056.mp4,Q1,1,10.0,20.0,0.7514989177489177,6.0,2.0,9,"{""approximate_ttc_urgency"": 0.3208548960419032, ""box_growth"": 0.59128478885074, ""front_region_occupancy"": 0.6483507395218071, ""path_directed_lateral_motion"": 0.021584391593932856, ""track_persistence"": 36.0}",nexar_collision_prediction|nexar:00056.mp4|Q1|1,UNIT_OUTCOME,6.0,nexar_collision_prediction|nexar:00056.mp4|Q1|1|track:6
nexar_collision_prediction,nexar:00056.mp4,14205f505a850f2df062a14a897374bf5fdc0e9c71856f4759cf9b25cb965e55,model_train,nexar:00056.mp4,Q1,2,20.0,30.0,0.5509036796536797,1.0,2.0,8,"{""approximate_ttc_urgency"": 0.24341629475848411, ""box_growth"": 0.4693042198338487, ""front_region_occupancy"": 0.0, ""path_directed_lateral_motion"": 0.009932041168213036, ""track_persistence"": 50.0}",nexar_collision_prediction|nexar:00056.mp4|Q1|2,UNIT_OUTCOME,1.0,nexar_collision_prediction|nexar:00056.mp4|Q1|2|track:1
nexar_collision_prediction,nexar:00056.mp4,14205f505a850f2df062a14a897374bf5fdc0e9c71856f4759cf9b25cb965e55,model_train,nexar:00056.mp4,Q1,3,30.0,40.0,0.5490909090909091,3.0,2.0,8,"{""approximate_ttc_urgency"": 0.18604125665391766, ""box_growth"": 0.3652480796297185, ""front_region_occupancy"": 0.0, ""path_directed_lateral_motion"": 0.05471217632293668, ""track_persistence"": 49.0}",nexar_collision_prediction|nexar:00056.mp4|Q1|3,UNIT_OUTCOME,3.0,nexar_collision_prediction|nexar:00056.mp4|Q1|3|track:3
nexar_collision_prediction,nexar:00056.mp4,14205f505a850f2df062a14a897374bf5fdc0e9c71856f4759cf9b25cb965e55,model_train,nexar:00056.mp4,Q1,4,35.366667,40.366667,0.3646536796536796,3.0,2.0,6,"{""approximate_ttc_urgency"": 0.056342402823831406, ""box_growth"": 0.23137244929333659, ""front_region_occupancy"": 0.0, ""path_directed_lateral_motion"": 0.060790657997130376, ""track_persistence"": 22.0}",nexar_collision_prediction|nexar:00056.mp4|Q1|4,UNIT_OUTCOME,3.0,nexar_collision_prediction|nexar:00056.mp4|Q1|4|track:3
nexar_collision_prediction,nexar:00056.mp4,14205f505a850f2df062a14a897374bf5fdc0e9c71856f4759cf9b25cb965e55,model_train,nexar:00056.mp4,Q2,0,0.0,10.0,0.0,,,0,{},nexar_collision_prediction|nexar:00056.mp4|Q2|0,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00056.mp4|Q2|0|track:NONE
nexar_collision_prediction,nexar:00056.mp4,14205f505a850f2df062a14a897374bf5fdc0e9c71856f4759cf9b25cb965e55,model_train,nexar:00056.mp4,Q2,1,10.0,20.0,0.0,,,0,{},nexar_collision_prediction|nexar:00056.mp4|Q2|1,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00056.mp4|Q2|1|track:NONE
nexar_collision_prediction,nexar:00056.mp4,14205f505a850f2df062a14a897374bf5fdc0e9c71856f4759cf9b25cb965e55,model_train,nexar:00056.mp4,Q2,2,20.0,30.0,0.0,,,0,{},nexar_collision_prediction|nexar:00056.mp4|Q2|2,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00056.mp4|Q2|2|track:NONE
nexar_collision_prediction,nexar:00056.mp4,14205f505a850f2df062a14a897374bf5fdc0e9c71856f4759cf9b25cb965e55,model_train,nexar:00056.mp4,Q2,3,30.0,40.0,0.0,,,0,{},nexar_collision_prediction|nexar:00056.mp4|Q2|3,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00056.mp4|Q2|3|track:NONE
nexar_collision_prediction,nexar:00056.mp4,14205f505a850f2df062a14a897374bf5fdc0e9c71856f4759cf9b25cb965e55,model_train,nexar:00056.mp4,Q2,4,35.366667,40.366667,0.2,5.0,0.0,1,"{""approximate_ttc_urgency"": 0.0, ""box_growth"": 0.0, ""front_region_occupancy"": 0.0, ""path_directed_lateral_motion"": 0.0, ""track_persistence"": 1.0}",nexar_collision_prediction|nexar:00056.mp4|Q2|4,UNIT_OUTCOME,5.0,nexar_collision_prediction|nexar:00056.mp4|Q2|4|track:5
