source_dataset,session_id,source_sha256,model_split_role,video_id,query_id,unit_id,start_time,end_time,unit_score,top_track_id,top_class_id,candidate_count,top_track_evidence_json,verification_key,label_scope,witness_track_id,opportunity_id
nexar_collision_prediction,nexar:00128.mp4,e784071c79ac420557d02b71f980cf2228e8d88b03ebb87013b9ae099a7f9c5c,model_train,nexar:00128.mp4,Q1,0,0.0,10.0,0.7571734089732334,73.0,2.0,24,"{""approximate_ttc_urgency"": 1.8017617694339019, ""box_growth"": 3.024818820775848, ""front_region_occupancy"": 0.26961239057670655, ""path_directed_lateral_motion"": 0.0248787999153137, ""track_persistence"": 13.0}",nexar_collision_prediction|nexar:00128.mp4|Q1|0,UNIT_OUTCOME,73.0,nexar_collision_prediction|nexar:00128.mp4|Q1|0|track:73
nexar_collision_prediction,nexar:00128.mp4,e784071c79ac420557d02b71f980cf2228e8d88b03ebb87013b9ae099a7f9c5c,model_train,nexar:00128.mp4,Q1,1,10.0,20.0,0.7212314495896586,4.0,2.0,14,"{""approximate_ttc_urgency"": 0.5708304184434089, ""box_growth"": 1.0794067546142223, ""front_region_occupancy"": 0.9934865207455004, ""path_directed_lateral_motion"": 0.01206441223621406, ""track_persistence"": 9.0}",nexar_collision_prediction|nexar:00128.mp4|Q1|1,UNIT_OUTCOME,4.0,nexar_collision_prediction|nexar:00128.mp4|Q1|1|track:4
nexar_collision_prediction,nexar:00128.mp4,e784071c79ac420557d02b71f980cf2228e8d88b03ebb87013b9ae099a7f9c5c,model_train,nexar:00128.mp4,Q1,2,20.0,30.0,0.5860721530607396,30.0,2.0,9,"{""approximate_ttc_urgency"": 0.15070621799362982, ""box_growth"": 0.3191059866011813, ""front_region_occupancy"": 0.4542658130111521, ""path_directed_lateral_motion"": 0.006152391433715842, ""track_persistence"": 38.0}",nexar_collision_prediction|nexar:00128.mp4|Q1|2,UNIT_OUTCOME,30.0,nexar_collision_prediction|nexar:00128.mp4|Q1|2|track:30
nexar_collision_prediction,nexar:00128.mp4,e784071c79ac420557d02b71f980cf2228e8d88b03ebb87013b9ae099a7f9c5c,model_train,nexar:00128.mp4,Q1,3,30.0,40.0,0.7561013434586744,7.0,2.0,10,"{""approximate_ttc_urgency"": 0.3585665743778177, ""box_growth"": 0.6851163774199255, ""front_region_occupancy"": 0.44820757625002833, ""path_directed_lateral_motion"": 0.03626346588134779, ""track_persistence"": 37.0}",nexar_collision_prediction|nexar:00128.mp4|Q1|3,UNIT_OUTCOME,7.0,nexar_collision_prediction|nexar:00128.mp4|Q1|3|track:7
nexar_collision_prediction,nexar:00128.mp4,e784071c79ac420557d02b71f980cf2228e8d88b03ebb87013b9ae099a7f9c5c,model_train,nexar:00128.mp4,Q1,4,35.266667,40.266667,0.6053110515797083,4.0,2.0,10,"{""approximate_ttc_urgency"": 1.1756078514573747, ""box_growth"": 2.0894821412899214, ""front_region_occupancy"": 0.0, ""path_directed_lateral_motion"": 0.00439143180847195, ""track_persistence"": 25.0}",nexar_collision_prediction|nexar:00128.mp4|Q1|4,UNIT_OUTCOME,4.0,nexar_collision_prediction|nexar:00128.mp4|Q1|4|track:4
nexar_collision_prediction,nexar:00128.mp4,e784071c79ac420557d02b71f980cf2228e8d88b03ebb87013b9ae099a7f9c5c,model_train,nexar:00128.mp4,Q2,0,0.0,10.0,0.8,47.0,0.0,4,"{""approximate_ttc_urgency"": 0.05011252229788505, ""box_growth"": 0.14070965912951378, ""front_region_occupancy"": 0.0, ""path_directed_lateral_motion"": 0.017793864011764454, ""track_persistence"": 5.0}",nexar_collision_prediction|nexar:00128.mp4|Q2|0,UNIT_OUTCOME,47.0,nexar_collision_prediction|nexar:00128.mp4|Q2|0|track:47
nexar_collision_prediction,nexar:00128.mp4,e784071c79ac420557d02b71f980cf2228e8d88b03ebb87013b9ae099a7f9c5c,model_train,nexar:00128.mp4,Q2,1,10.0,20.0,0.0,,,0,{},nexar_collision_prediction|nexar:00128.mp4|Q2|1,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00128.mp4|Q2|1|track:NONE
nexar_collision_prediction,nexar:00128.mp4,e784071c79ac420557d02b71f980cf2228e8d88b03ebb87013b9ae099a7f9c5c,model_train,nexar:00128.mp4,Q2,2,20.0,30.0,0.0,,,0,{},nexar_collision_prediction|nexar:00128.mp4|Q2|2,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00128.mp4|Q2|2|track:NONE
nexar_collision_prediction,nexar:00128.mp4,e784071c79ac420557d02b71f980cf2228e8d88b03ebb87013b9ae099a7f9c5c,model_train,nexar:00128.mp4,Q2,3,30.0,40.0,0.0,,,0,{},nexar_collision_prediction|nexar:00128.mp4|Q2|3,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00128.mp4|Q2|3|track:NONE
nexar_collision_prediction,nexar:00128.mp4,e784071c79ac420557d02b71f980cf2228e8d88b03ebb87013b9ae099a7f9c5c,model_train,nexar:00128.mp4,Q2,4,35.266667,40.266667,0.0,,,0,{},nexar_collision_prediction|nexar:00128.mp4|Q2|4,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00128.mp4|Q2|4|track:NONE
