source_dataset,session_id,source_sha256,model_split_role,video_id,query_id,unit_id,start_time,end_time,unit_score,top_track_id,top_class_id,candidate_count,top_track_evidence_json,verification_key,label_scope,witness_track_id,opportunity_id
nexar_collision_prediction,nexar:00776.mp4,d6034fe37ab3ec3f068d347a809871256d77fd802880d36b9d4f2d4294241e6b,model_train,nexar:00776.mp4,Q1,0,0.0,10.0,0.7920652680652681,1.0,5.0,11,"{""approximate_ttc_urgency"": 0.5712357217667366, ""box_growth"": 1.085313882666405, ""front_region_occupancy"": 0.5851714562767301, ""path_directed_lateral_motion"": 0.039959890445073636, ""track_persistence"": 33.0}",nexar_collision_prediction|nexar:00776.mp4|Q1|0,UNIT_OUTCOME,1.0,nexar_collision_prediction|nexar:00776.mp4|Q1|0|track:1
nexar_collision_prediction,nexar:00776.mp4,d6034fe37ab3ec3f068d347a809871256d77fd802880d36b9d4f2d4294241e6b,model_train,nexar:00776.mp4,Q1,1,10.0,20.0,0.7427132867132867,8.0,7.0,10,"{""approximate_ttc_urgency"": 0.5344766054873342, ""box_growth"": 0.9815557659552365, ""front_region_occupancy"": 0.29764851568396494, ""path_directed_lateral_motion"": 0.09800900022188844, ""track_persistence"": 26.0}",nexar_collision_prediction|nexar:00776.mp4|Q1|1,UNIT_OUTCOME,8.0,nexar_collision_prediction|nexar:00776.mp4|Q1|1|track:8
nexar_collision_prediction,nexar:00776.mp4,d6034fe37ab3ec3f068d347a809871256d77fd802880d36b9d4f2d4294241e6b,model_train,nexar:00776.mp4,Q1,2,20.0,30.0,0.6922564102564103,2.0,2.0,16,"{""approximate_ttc_urgency"": 0.9158580674964774, ""box_growth"": 1.6581722049161145, ""front_region_occupancy"": 0.0, ""path_directed_lateral_motion"": 0.057329692840576346, ""track_persistence"": 13.0}",nexar_collision_prediction|nexar:00776.mp4|Q1|2,UNIT_OUTCOME,2.0,nexar_collision_prediction|nexar:00776.mp4|Q1|2|track:2
nexar_collision_prediction,nexar:00776.mp4,d6034fe37ab3ec3f068d347a809871256d77fd802880d36b9d4f2d4294241e6b,model_train,nexar:00776.mp4,Q1,3,30.0,40.0,0.7006993006993006,8.0,2.0,26,"{""approximate_ttc_urgency"": 1.4954606762275895, ""box_growth"": 2.5514061325264477, ""front_region_occupancy"": 0.3915002768797826, ""path_directed_lateral_motion"": 0.0, ""track_persistence"": 20.0}",nexar_collision_prediction|nexar:00776.mp4|Q1|3,UNIT_OUTCOME,8.0,nexar_collision_prediction|nexar:00776.mp4|Q1|3|track:8
nexar_collision_prediction,nexar:00776.mp4,d6034fe37ab3ec3f068d347a809871256d77fd802880d36b9d4f2d4294241e6b,model_train,nexar:00776.mp4,Q1,4,35.108303,40.108303,0.5278368298368299,1.0,5.0,15,"{""approximate_ttc_urgency"": 0.11931902106028305, ""box_growth"": 0.236617723179319, ""front_region_occupancy"": 0.620467034638338, ""path_directed_lateral_motion"": 0.03953050772348984, ""track_persistence"": 23.0}",nexar_collision_prediction|nexar:00776.mp4|Q1|4,UNIT_OUTCOME,1.0,nexar_collision_prediction|nexar:00776.mp4|Q1|4|track:1
nexar_collision_prediction,nexar:00776.mp4,d6034fe37ab3ec3f068d347a809871256d77fd802880d36b9d4f2d4294241e6b,model_train,nexar:00776.mp4,Q2,0,0.0,10.0,0.0,,,0,{},nexar_collision_prediction|nexar:00776.mp4|Q2|0,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00776.mp4|Q2|0|track:NONE
nexar_collision_prediction,nexar:00776.mp4,d6034fe37ab3ec3f068d347a809871256d77fd802880d36b9d4f2d4294241e6b,model_train,nexar:00776.mp4,Q2,1,10.0,20.0,0.6,1.0,0.0,1,"{""approximate_ttc_urgency"": 0.0, ""box_growth"": 0.0, ""front_region_occupancy"": 0.012949785849001813, ""path_directed_lateral_motion"": 0.01716958522796614, ""track_persistence"": 2.0}",nexar_collision_prediction|nexar:00776.mp4|Q2|1,UNIT_OUTCOME,1.0,nexar_collision_prediction|nexar:00776.mp4|Q2|1|track:1
nexar_collision_prediction,nexar:00776.mp4,d6034fe37ab3ec3f068d347a809871256d77fd802880d36b9d4f2d4294241e6b,model_train,nexar:00776.mp4,Q2,2,20.0,30.0,0.0,,,0,{},nexar_collision_prediction|nexar:00776.mp4|Q2|2,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00776.mp4|Q2|2|track:NONE
nexar_collision_prediction,nexar:00776.mp4,d6034fe37ab3ec3f068d347a809871256d77fd802880d36b9d4f2d4294241e6b,model_train,nexar:00776.mp4,Q2,3,30.0,40.0,0.0,,,0,{},nexar_collision_prediction|nexar:00776.mp4|Q2|3,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00776.mp4|Q2|3|track:NONE
nexar_collision_prediction,nexar:00776.mp4,d6034fe37ab3ec3f068d347a809871256d77fd802880d36b9d4f2d4294241e6b,model_train,nexar:00776.mp4,Q2,4,35.108303,40.108303,0.0,,,0,{},nexar_collision_prediction|nexar:00776.mp4|Q2|4,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00776.mp4|Q2|4|track:NONE
