source_dataset,session_id,source_sha256,model_split_role,video_id,query_id,unit_id,start_time,end_time,unit_score,top_track_id,top_class_id,candidate_count,top_track_evidence_json,verification_key,label_scope,witness_track_id,opportunity_id
nexar_collision_prediction,nexar:00876.mp4,653ab13dcfc0899d4f00319ce48845f90d0eb316014bcb63a031d20b4fcef6ca,model_calibration,nexar:00876.mp4,Q1,0,0.0,10.0,0.9252335346123468,3.0,2.0,18,"{""approximate_ttc_urgency"": 1.532789232844787, ""box_growth"": 2.6176595171242645, ""front_region_occupancy"": 0.7034790599769621, ""path_directed_lateral_motion"": 0.13740087032318068, ""track_persistence"": 51.0}",nexar_collision_prediction|nexar:00876.mp4|Q1|0,UNIT_OUTCOME,3.0,nexar_collision_prediction|nexar:00876.mp4|Q1|0|track:3
nexar_collision_prediction,nexar:00876.mp4,653ab13dcfc0899d4f00319ce48845f90d0eb316014bcb63a031d20b4fcef6ca,model_calibration,nexar:00876.mp4,Q1,1,10.0,20.0,0.7488953603913475,3.0,2.0,15,"{""approximate_ttc_urgency"": 1.0449816571598671, ""box_growth"": 1.8885143458683378, ""front_region_occupancy"": 0.4987301942783636, ""path_directed_lateral_motion"": 0.032292673587799074, ""track_persistence"": 26.0}",nexar_collision_prediction|nexar:00876.mp4|Q1|1,UNIT_OUTCOME,3.0,nexar_collision_prediction|nexar:00876.mp4|Q1|1|track:3
nexar_collision_prediction,nexar:00876.mp4,653ab13dcfc0899d4f00319ce48845f90d0eb316014bcb63a031d20b4fcef6ca,model_calibration,nexar:00876.mp4,Q1,2,20.0,30.0,0.9250337078651686,76.0,2.0,28,"{""approximate_ttc_urgency"": 2.3458377409111693, ""box_growth"": 3.81163488024162, ""front_region_occupancy"": 0.5637596912954986, ""path_directed_lateral_motion"": 0.3896848368644725, ""track_persistence"": 27.0}",nexar_collision_prediction|nexar:00876.mp4|Q1|2,UNIT_OUTCOME,76.0,nexar_collision_prediction|nexar:00876.mp4|Q1|2|track:76
nexar_collision_prediction,nexar:00876.mp4,653ab13dcfc0899d4f00319ce48845f90d0eb316014bcb63a031d20b4fcef6ca,model_calibration,nexar:00876.mp4,Q1,3,30.0,40.0,0.9422129990573008,23.0,2.0,17,"{""approximate_ttc_urgency"": 2.0724767051707382, ""box_growth"": 3.530767221570812, ""front_region_occupancy"": 0.6282630405802048, ""path_directed_lateral_motion"": 0.25177327394485566, ""track_persistence"": 33.0}",nexar_collision_prediction|nexar:00876.mp4|Q1|3,UNIT_OUTCOME,23.0,nexar_collision_prediction|nexar:00876.mp4|Q1|3|track:23
nexar_collision_prediction,nexar:00876.mp4,653ab13dcfc0899d4f00319ce48845f90d0eb316014bcb63a031d20b4fcef6ca,model_calibration,nexar:00876.mp4,Q1,4,35.228758,40.228758,0.7677081199521008,1.0,2.0,11,"{""approximate_ttc_urgency"": 1.8073858282427282, ""box_growth"": 3.2372787984130458, ""front_region_occupancy"": 0.612707065244839, ""path_directed_lateral_motion"": 0.010969676971435699, ""track_persistence"": 19.0}",nexar_collision_prediction|nexar:00876.mp4|Q1|4,UNIT_OUTCOME,1.0,nexar_collision_prediction|nexar:00876.mp4|Q1|4|track:1
nexar_collision_prediction,nexar:00876.mp4,653ab13dcfc0899d4f00319ce48845f90d0eb316014bcb63a031d20b4fcef6ca,model_calibration,nexar:00876.mp4,Q2,0,0.0,10.0,0.0,,,0,{},nexar_collision_prediction|nexar:00876.mp4|Q2|0,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00876.mp4|Q2|0|track:NONE
nexar_collision_prediction,nexar:00876.mp4,653ab13dcfc0899d4f00319ce48845f90d0eb316014bcb63a031d20b4fcef6ca,model_calibration,nexar:00876.mp4,Q2,1,10.0,20.0,0.0,,,0,{},nexar_collision_prediction|nexar:00876.mp4|Q2|1,UNIT_OUTCOME,,nexar_collision_prediction|nexar:00876.mp4|Q2|1|track:NONE
nexar_collision_prediction,nexar:00876.mp4,653ab13dcfc0899d4f00319ce48845f90d0eb316014bcb63a031d20b4fcef6ca,model_calibration,nexar:00876.mp4,Q2,2,20.0,30.0,0.5,9.0,0.0,1,"{""approximate_ttc_urgency"": 0.26097263235181567, ""box_growth"": 0.5775581104059718, ""front_region_occupancy"": 0.0, ""path_directed_lateral_motion"": 0.004673749208450334, ""track_persistence"": 8.0}",nexar_collision_prediction|nexar:00876.mp4|Q2|2,UNIT_OUTCOME,9.0,nexar_collision_prediction|nexar:00876.mp4|Q2|2|track:9
nexar_collision_prediction,nexar:00876.mp4,653ab13dcfc0899d4f00319ce48845f90d0eb316014bcb63a031d20b4fcef6ca,model_calibration,nexar:00876.mp4,Q2,3,30.0,40.0,0.06666666666666667,7.0,0.0,1,"{""approximate_ttc_urgency"": 0.0, ""box_growth"": 0.0, ""front_region_occupancy"": 0.0, ""path_directed_lateral_motion"": 0.0, ""track_persistence"": 1.0}",nexar_collision_prediction|nexar:00876.mp4|Q2|3,UNIT_OUTCOME,7.0,nexar_collision_prediction|nexar:00876.mp4|Q2|3|track:7
nexar_collision_prediction,nexar:00876.mp4,653ab13dcfc0899d4f00319ce48845f90d0eb316014bcb63a031d20b4fcef6ca,model_calibration,nexar:00876.mp4,Q2,4,35.228758,40.228758,0.9333333333333332,50.0,0.0,1,"{""approximate_ttc_urgency"": 0.6328298308066601, ""box_growth"": 1.1256176977545036, ""front_region_occupancy"": 0.3372615324568809, ""path_directed_lateral_motion"": 0.007725563049316547, ""track_persistence"": 3.0}",nexar_collision_prediction|nexar:00876.mp4|Q2|4,UNIT_OUTCOME,50.0,nexar_collision_prediction|nexar:00876.mp4|Q2|4|track:50
