source_dataset,session_id,source_sha256,model_split_role,video_id,query_id,unit_id,start_time,end_time,unit_score,top_track_id,top_class_id,candidate_count,top_track_evidence_json,verification_key,label_scope,witness_track_id,opportunity_id
nexar_collision_prediction,nexar:01048.mp4,7dd3179650dd7d112e56df5b3382182cd4bdd1b805d45a188c5b8f330510d681,model_train,nexar:01048.mp4,Q1,0,0.0,10.0,0.7140685366083488,77.0,2.0,26,"{""approximate_ttc_urgency"": 2.3471010562266987, ""box_growth"": 3.7390391653362287, ""front_region_occupancy"": 0.2948489051519149, ""path_directed_lateral_motion"": 0.04073383112748489, ""track_persistence"": 10.0}",nexar_collision_prediction|nexar:01048.mp4|Q1|0,UNIT_OUTCOME,77.0,nexar_collision_prediction|nexar:01048.mp4|Q1|0|track:77
nexar_collision_prediction,nexar:01048.mp4,7dd3179650dd7d112e56df5b3382182cd4bdd1b805d45a188c5b8f330510d681,model_train,nexar:01048.mp4,Q1,1,10.0,20.0,0.7005929707287404,20.0,2.0,14,"{""approximate_ttc_urgency"": 1.015492096027821, ""box_growth"": 1.7849941511550111, ""front_region_occupancy"": 0.3683006660321553, ""path_directed_lateral_motion"": 0.002835625410079627, ""track_persistence"": 45.0}",nexar_collision_prediction|nexar:01048.mp4|Q1|1,UNIT_OUTCOME,20.0,nexar_collision_prediction|nexar:01048.mp4|Q1|1|track:20
nexar_collision_prediction,nexar:01048.mp4,7dd3179650dd7d112e56df5b3382182cd4bdd1b805d45a188c5b8f330510d681,model_train,nexar:01048.mp4,Q1,2,20.0,30.0,0.7509908425588294,7.0,2.0,25,"{""approximate_ttc_urgency"": 0.9573203356076648, ""box_growth"": 1.7358340576678994, ""front_region_occupancy"": 0.4299047224321596, ""path_directed_lateral_motion"": 0.021187625328700124, ""track_persistence"": 29.0}",nexar_collision_prediction|nexar:01048.mp4|Q1|2,UNIT_OUTCOME,7.0,nexar_collision_prediction|nexar:01048.mp4|Q1|2|track:7
nexar_collision_prediction,nexar:01048.mp4,7dd3179650dd7d112e56df5b3382182cd4bdd1b805d45a188c5b8f330510d681,model_train,nexar:01048.mp4,Q1,3,30.0,40.0,0.8236002921129504,5.0,2.0,27,"{""approximate_ttc_urgency"": 3.058723269812746, ""box_growth"": 4.810385916505391, ""front_region_occupancy"": 0.3562715020692445, ""path_directed_lateral_motion"": 0.09272659917672428, ""track_persistence"": 12.0}",nexar_collision_prediction|nexar:01048.mp4|Q1|3,UNIT_OUTCOME,5.0,nexar_collision_prediction|nexar:01048.mp4|Q1|3|track:5
nexar_collision_prediction,nexar:01048.mp4,7dd3179650dd7d112e56df5b3382182cd4bdd1b805d45a188c5b8f330510d681,model_train,nexar:01048.mp4,Q1,4,35.42623,40.42623,0.5076080361043612,3.0,7.0,12,"{""approximate_ttc_urgency"": 0.21900930336491606, ""box_growth"": 0.4281785505894289, ""front_region_occupancy"": 0.4796259568641188, ""path_directed_lateral_motion"": 0.0037219325701396133, ""track_persistence"": 26.0}",nexar_collision_prediction|nexar:01048.mp4|Q1|4,UNIT_OUTCOME,3.0,nexar_collision_prediction|nexar:01048.mp4|Q1|4|track:3
nexar_collision_prediction,nexar:01048.mp4,7dd3179650dd7d112e56df5b3382182cd4bdd1b805d45a188c5b8f330510d681,model_train,nexar:01048.mp4,Q2,0,0.0,10.0,0.0,,,0,{},nexar_collision_prediction|nexar:01048.mp4|Q2|0,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01048.mp4|Q2|0|track:NONE
nexar_collision_prediction,nexar:01048.mp4,7dd3179650dd7d112e56df5b3382182cd4bdd1b805d45a188c5b8f330510d681,model_train,nexar:01048.mp4,Q2,1,10.0,20.0,0.0,,,0,{},nexar_collision_prediction|nexar:01048.mp4|Q2|1,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01048.mp4|Q2|1|track:NONE
nexar_collision_prediction,nexar:01048.mp4,7dd3179650dd7d112e56df5b3382182cd4bdd1b805d45a188c5b8f330510d681,model_train,nexar:01048.mp4,Q2,2,20.0,30.0,0.0,,,0,{},nexar_collision_prediction|nexar:01048.mp4|Q2|2,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01048.mp4|Q2|2|track:NONE
nexar_collision_prediction,nexar:01048.mp4,7dd3179650dd7d112e56df5b3382182cd4bdd1b805d45a188c5b8f330510d681,model_train,nexar:01048.mp4,Q2,3,30.0,40.0,0.0,,,0,{},nexar_collision_prediction|nexar:01048.mp4|Q2|3,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01048.mp4|Q2|3|track:NONE
nexar_collision_prediction,nexar:01048.mp4,7dd3179650dd7d112e56df5b3382182cd4bdd1b805d45a188c5b8f330510d681,model_train,nexar:01048.mp4,Q2,4,35.42623,40.42623,0.0,,,0,{},nexar_collision_prediction|nexar:01048.mp4|Q2|4,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01048.mp4|Q2|4|track:NONE
