source_dataset,session_id,source_sha256,model_split_role,video_id,query_id,unit_id,track_id,class_id,observations,track_persistence,path_directed_lateral_motion,box_growth,front_region_occupancy,approximate_ttc_urgency,lane_relative_motion,boundary_crossing,ego_corridor_overlap,road_geometry_reliability,track_persistence_normalized,path_directed_lateral_motion_normalized,box_growth_normalized,front_region_occupancy_normalized,approximate_ttc_urgency_normalized,candidate_score,verification_key,label_scope,witness_track_id,opportunity_id
nexar_collision_prediction,nexar:01401.mp4,290b58a2eb5fc8eb6c6aa65e972d87eadfc1377ce03e85452499b81a0d9b710f,model_calibration,nexar:01401.mp4,Q1,0,1,2,51,51.0,0.11369889736175463,0.9126894516725695,0.6903257550959501,0.45592255150116007,0.0,0.0,0.0,0.0,1.0,0.95,0.55,1.0,0.5,0.8,nexar_collision_prediction|nexar:01401.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,1,nexar_collision_prediction|nexar:01401.mp4|Q1|0|track:1
nexar_collision_prediction,nexar:01401.mp4,290b58a2eb5fc8eb6c6aa65e972d87eadfc1377ce03e85452499b81a0d9b710f,model_calibration,nexar:01401.mp4,Q1,0,2,7,44,44.0,0.013276669979095332,0.18530896686094306,0.6150943485566112,0.0932831202450787,0.0,0.0,0.0,0.0,0.9795918367346939,0.25,0.05,0.925,0.05,0.4509183673469387,nexar_collision_prediction|nexar:01401.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,2,nexar_collision_prediction|nexar:01401.mp4|Q1|0|track:2
nexar_collision_prediction,nexar:01401.mp4,290b58a2eb5fc8eb6c6aa65e972d87eadfc1377ce03e85452499b81a0d9b710f,model_calibration,nexar:01401.mp4,Q1,0,3,2,1,1.0,0.0,0.0,0.6134102205573354,0.0,0.0,0.0,0.0,0.0,0.09183673469387756,0.0,0.0,0.9,0.0,0.1983673469387755,nexar_collision_prediction|nexar:01401.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,3,nexar_collision_prediction|nexar:01401.mp4|Q1|0|track:3
nexar_collision_prediction,nexar:01401.mp4,290b58a2eb5fc8eb6c6aa65e972d87eadfc1377ce03e85452499b81a0d9b710f,model_calibration,nexar:01401.mp4,Q1,0,4,2,1,1.0,0.0,0.0,0.6022364805019041,0.0,0.0,0.0,0.0,0.0,0.09183673469387756,0.0,0.0,0.825,0.0,0.1833673469387755,nexar_collision_prediction|nexar:01401.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,4,nexar_collision_prediction|nexar:01401.mp4|Q1|0|track:4
nexar_collision_prediction,nexar:01401.mp4,290b58a2eb5fc8eb6c6aa65e972d87eadfc1377ce03e85452499b81a0d9b710f,model_calibration,nexar:01401.mp4,Q1,0,5,2,10,10.0,0.014784793853759977,2.0504871711234602,0.608563186920914,1.1327572676889057,0.0,0.0,0.0,0.0,0.5918367346938775,0.3,0.875,0.875,0.875,0.7033673469387756,nexar_collision_prediction|nexar:01401.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,5,nexar_collision_prediction|nexar:01401.mp4|Q1|0|track:5
nexar_collision_prediction,nexar:01401.mp4,290b58a2eb5fc8eb6c6aa65e972d87eadfc1377ce03e85452499b81a0d9b710f,model_calibration,nexar:01401.mp4,Q1,0,10,2,3,3.0,0.0,0.32164987520980187,0.5905261929641549,0.17040802841188452,0.0,0.0,0.0,0.0,0.29591836734693877,0.0,0.075,0.775,0.075,0.24418367346938777,nexar_collision_prediction|nexar:01401.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,10,nexar_collision_prediction|nexar:01401.mp4|Q1|0|track:10
nexar_collision_prediction,nexar:01401.mp4,290b58a2eb5fc8eb6c6aa65e972d87eadfc1377ce03e85452499b81a0d9b710f,model_calibration,nexar:01401.mp4,Q1,0,13,2,23,23.0,0.14778422355651852,0.8534419071443888,0.6040054882215756,0.4266153784726125,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.45,0.85,0.35,0.7014285714285715,nexar_collision_prediction|nexar:01401.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,13,nexar_collision_prediction|nexar:01401.mp4|Q1|0|track:13
nexar_collision_prediction,nexar:01401.mp4,290b58a2eb5fc8eb6c6aa65e972d87eadfc1377ce03e85452499b81a0d9b710f,model_calibration,nexar:01401.mp4,Q1,0,28,7,4,4.0,0.0,0.47412276331616193,0.5380413444882045,0.23995830260154366,0.0,0.0,0.0,0.0,0.3673469387755102,0.0,0.125,0.675,0.1,0.2534693877551021,nexar_collision_prediction|nexar:01401.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,28,nexar_collision_prediction|nexar:01401.mp4|Q1|0|track:28
nexar_collision_prediction,nexar:01401.mp4,290b58a2eb5fc8eb6c6aa65e972d87eadfc1377ce03e85452499b81a0d9b710f,model_calibration,nexar:01401.mp4,Q1,0,30,2,3,3.0,0.0,0.7777942182108079,0.24084416123030264,0.3977156728780068,0.0,0.0,0.0,0.0,0.29591836734693877,0.0,0.275,0.325,0.275,0.2341836734693878,nexar_collision_prediction|nexar:01401.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,30,nexar_collision_prediction|nexar:01401.mp4|Q1|0|track:30
nexar_collision_prediction,nexar:01401.mp4,290b58a2eb5fc8eb6c6aa65e972d87eadfc1377ce03e85452499b81a0d9b710f,model_calibration,nexar:01401.mp4,Q1,1,1,2,6,6.0,0.0,0.8297424822761219,0.0,0.4314397884582347,0.0,0.0,0.0,0.0,0.3979591836734694,0.0,0.35,0.0,0.4,0.2295918367346939,nexar_collision_prediction|nexar:01401.mp4|Q1|1,UNIT_OUTCOME_WITH_TRACK_WITNESS,1,nexar_collision_prediction|nexar:01401.mp4|Q1|1|track:1
