source_dataset,session_id,source_sha256,model_split_role,video_id,query_id,unit_id,start_time,end_time,unit_score,top_track_id,top_class_id,candidate_count,top_track_evidence_json,verification_key,label_scope,witness_track_id,opportunity_id
nexar_collision_prediction,nexar:01415.mp4,4cfbefa8a90621fb74f83e122d12d29900e9e4a36e40121cfb32ab4f10b3daf5,model_calibration,nexar:01415.mp4,Q1,0,0.0,10.0,0.47135566659096073,2.0,2.0,7,"{""approximate_ttc_urgency"": 0.13905096848416096, ""box_growth"": 0.2693178521954258, ""front_region_occupancy"": 0.4956695525527821, ""path_directed_lateral_motion"": 0.009868399699528909, ""track_persistence"": 50.0}",nexar_collision_prediction|nexar:01415.mp4|Q1|0,UNIT_OUTCOME,2.0,nexar_collision_prediction|nexar:01415.mp4|Q1|0|track:2
nexar_collision_prediction,nexar:01415.mp4,4cfbefa8a90621fb74f83e122d12d29900e9e4a36e40121cfb32ab4f10b3daf5,model_calibration,nexar:01415.mp4,Q1,1,10.0,20.0,0.7007440381558029,18.0,2.0,24,"{""approximate_ttc_urgency"": 1.8351071485631447, ""box_growth"": 3.100376520427372, ""front_region_occupancy"": 0.5241269201022443, ""path_directed_lateral_motion"": 0.0, ""track_persistence"": 10.0}",nexar_collision_prediction|nexar:01415.mp4|Q1|1,UNIT_OUTCOME,18.0,nexar_collision_prediction|nexar:01415.mp4|Q1|1|track:18
nexar_collision_prediction,nexar:01415.mp4,4cfbefa8a90621fb74f83e122d12d29900e9e4a36e40121cfb32ab4f10b3daf5,model_calibration,nexar:01415.mp4,Q1,2,20.0,30.0,0.6961008403361344,3.0,2.0,28,"{""approximate_ttc_urgency"": 1.099044796155119, ""box_growth"": 1.8579299819510458, ""front_region_occupancy"": 0.0, ""path_directed_lateral_motion"": 0.09277126212914662, ""track_persistence"": 17.0}",nexar_collision_prediction|nexar:01415.mp4|Q1|2,UNIT_OUTCOME,3.0,nexar_collision_prediction|nexar:01415.mp4|Q1|2|track:3
nexar_collision_prediction,nexar:01415.mp4,4cfbefa8a90621fb74f83e122d12d29900e9e4a36e40121cfb32ab4f10b3daf5,model_calibration,nexar:01415.mp4,Q1,3,30.0,40.0,0.8718887122416534,2.0,2.0,5,"{""approximate_ttc_urgency"": 0.7748543124988914, ""box_growth"": 1.4211201953220305, ""front_region_occupancy"": 0.669051071323338, ""path_directed_lateral_motion"": 0.21715291221935917, ""track_persistence"": 28.0}",nexar_collision_prediction|nexar:01415.mp4|Q1|3,UNIT_OUTCOME,2.0,nexar_collision_prediction|nexar:01415.mp4|Q1|3|track:2
nexar_collision_prediction,nexar:01415.mp4,4cfbefa8a90621fb74f83e122d12d29900e9e4a36e40121cfb32ab4f10b3daf5,model_calibration,nexar:01415.mp4,Q1,4,35.167224,40.167224,0.4134658187599364,1.0,2.0,4,"{""approximate_ttc_urgency"": 0.6818123028432443, ""box_growth"": 1.2735117558139273, ""front_region_occupancy"": 0.22165894854203247, ""path_directed_lateral_motion"": 0.0, ""track_persistence"": 4.0}",nexar_collision_prediction|nexar:01415.mp4|Q1|4,UNIT_OUTCOME,1.0,nexar_collision_prediction|nexar:01415.mp4|Q1|4|track:1
nexar_collision_prediction,nexar:01415.mp4,4cfbefa8a90621fb74f83e122d12d29900e9e4a36e40121cfb32ab4f10b3daf5,model_calibration,nexar:01415.mp4,Q2,0,0.0,10.0,0.0,,,0,{},nexar_collision_prediction|nexar:01415.mp4|Q2|0,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01415.mp4|Q2|0|track:NONE
nexar_collision_prediction,nexar:01415.mp4,4cfbefa8a90621fb74f83e122d12d29900e9e4a36e40121cfb32ab4f10b3daf5,model_calibration,nexar:01415.mp4,Q2,1,10.0,20.0,0.0,,,0,{},nexar_collision_prediction|nexar:01415.mp4|Q2|1,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01415.mp4|Q2|1|track:NONE
nexar_collision_prediction,nexar:01415.mp4,4cfbefa8a90621fb74f83e122d12d29900e9e4a36e40121cfb32ab4f10b3daf5,model_calibration,nexar:01415.mp4,Q2,2,20.0,30.0,0.0,,,0,{},nexar_collision_prediction|nexar:01415.mp4|Q2|2,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01415.mp4|Q2|2|track:NONE
nexar_collision_prediction,nexar:01415.mp4,4cfbefa8a90621fb74f83e122d12d29900e9e4a36e40121cfb32ab4f10b3daf5,model_calibration,nexar:01415.mp4,Q2,3,30.0,40.0,0.4,3.0,0.0,1,"{""approximate_ttc_urgency"": 0.0, ""box_growth"": 0.0, ""front_region_occupancy"": 0.16033886187680751, ""path_directed_lateral_motion"": 0.0, ""track_persistence"": 1.0}",nexar_collision_prediction|nexar:01415.mp4|Q2|3,UNIT_OUTCOME,3.0,nexar_collision_prediction|nexar:01415.mp4|Q2|3|track:3
nexar_collision_prediction,nexar:01415.mp4,4cfbefa8a90621fb74f83e122d12d29900e9e4a36e40121cfb32ab4f10b3daf5,model_calibration,nexar:01415.mp4,Q2,4,35.167224,40.167224,0.0,,,0,{},nexar_collision_prediction|nexar:01415.mp4|Q2|4,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01415.mp4|Q2|4|track:NONE
