source_dataset,session_id,source_sha256,model_split_role,video_id,query_id,unit_id,start_time,end_time,unit_score,top_track_id,top_class_id,candidate_count,top_track_evidence_json,verification_key,label_scope,witness_track_id,opportunity_id
nexar_collision_prediction,nexar:01461.mp4,7ca69bd5d35b144bd31fa004e6897ea3ec4bf1bbdfc34dbd57743518ee5845d0,model_train,nexar:01461.mp4,Q1,0,0.0,10.0,0.7885925721640008,2.0,2.0,9,"{""approximate_ttc_urgency"": 1.2554980640868645, ""box_growth"": 2.263854822010077, ""front_region_occupancy"": 0.2962618309289166, ""path_directed_lateral_motion"": 0.08432507514953624, ""track_persistence"": 11.0}",nexar_collision_prediction|nexar:01461.mp4|Q1|0,UNIT_OUTCOME,2.0,nexar_collision_prediction|nexar:01461.mp4|Q1|0|track:2
nexar_collision_prediction,nexar:01461.mp4,7ca69bd5d35b144bd31fa004e6897ea3ec4bf1bbdfc34dbd57743518ee5845d0,model_train,nexar:01461.mp4,Q1,1,10.0,20.0,0.6610001838573267,1.0,2.0,2,"{""approximate_ttc_urgency"": 0.9267610193793111, ""box_growth"": 1.7520592168252316, ""front_region_occupancy"": 0.5214965347564431, ""path_directed_lateral_motion"": 0.0, ""track_persistence"": 17.0}",nexar_collision_prediction|nexar:01461.mp4|Q1|1,UNIT_OUTCOME,1.0,nexar_collision_prediction|nexar:01461.mp4|Q1|1|track:1
nexar_collision_prediction,nexar:01461.mp4,7ca69bd5d35b144bd31fa004e6897ea3ec4bf1bbdfc34dbd57743518ee5845d0,model_train,nexar:01461.mp4,Q1,2,20.0,30.0,0.7705102040816325,5.0,2.0,25,"{""approximate_ttc_urgency"": 0.7452845232423186, ""box_growth"": 1.352194209949571, ""front_region_occupancy"": 0.7442086837401681, ""path_directed_lateral_motion"": 0.01033115386962911, ""track_persistence"": 50.0}",nexar_collision_prediction|nexar:01461.mp4|Q1|2,UNIT_OUTCOME,5.0,nexar_collision_prediction|nexar:01461.mp4|Q1|2|track:5
nexar_collision_prediction,nexar:01461.mp4,7ca69bd5d35b144bd31fa004e6897ea3ec4bf1bbdfc34dbd57743518ee5845d0,model_train,nexar:01461.mp4,Q1,3,30.0,40.0,0.687046332046332,1.0,2.0,14,"{""approximate_ttc_urgency"": 0.5431672635153992, ""box_growth"": 1.0021846709191842, ""front_region_occupancy"": 0.74210441452063, ""path_directed_lateral_motion"": 0.006890416145324565, ""track_persistence"": 50.0}",nexar_collision_prediction|nexar:01461.mp4|Q1|3,UNIT_OUTCOME,1.0,nexar_collision_prediction|nexar:01461.mp4|Q1|3|track:1
nexar_collision_prediction,nexar:01461.mp4,7ca69bd5d35b144bd31fa004e6897ea3ec4bf1bbdfc34dbd57743518ee5845d0,model_train,nexar:01461.mp4,Q1,4,35.866667,40.866667,0.7621116013973157,1.0,2.0,10,"{""approximate_ttc_urgency"": 0.8822204119459419, ""box_growth"": 1.56595134450648, ""front_region_occupancy"": 0.7422412875856066, ""path_directed_lateral_motion"": 0.006722807884216452, ""track_persistence"": 25.0}",nexar_collision_prediction|nexar:01461.mp4|Q1|4,UNIT_OUTCOME,1.0,nexar_collision_prediction|nexar:01461.mp4|Q1|4|track:1
nexar_collision_prediction,nexar:01461.mp4,7ca69bd5d35b144bd31fa004e6897ea3ec4bf1bbdfc34dbd57743518ee5845d0,model_train,nexar:01461.mp4,Q2,0,0.0,10.0,0.0,,,0,{},nexar_collision_prediction|nexar:01461.mp4|Q2|0,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01461.mp4|Q2|0|track:NONE
nexar_collision_prediction,nexar:01461.mp4,7ca69bd5d35b144bd31fa004e6897ea3ec4bf1bbdfc34dbd57743518ee5845d0,model_train,nexar:01461.mp4,Q2,1,10.0,20.0,0.0,,,0,{},nexar_collision_prediction|nexar:01461.mp4|Q2|1,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01461.mp4|Q2|1|track:NONE
nexar_collision_prediction,nexar:01461.mp4,7ca69bd5d35b144bd31fa004e6897ea3ec4bf1bbdfc34dbd57743518ee5845d0,model_train,nexar:01461.mp4,Q2,2,20.0,30.0,0.0,,,0,{},nexar_collision_prediction|nexar:01461.mp4|Q2|2,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01461.mp4|Q2|2|track:NONE
nexar_collision_prediction,nexar:01461.mp4,7ca69bd5d35b144bd31fa004e6897ea3ec4bf1bbdfc34dbd57743518ee5845d0,model_train,nexar:01461.mp4,Q2,3,30.0,40.0,0.8666666666666666,15.0,0.0,2,"{""approximate_ttc_urgency"": 2.55991346987562, ""box_growth"": 4.082255857522288, ""front_region_occupancy"": 0.28813482000490104, ""path_directed_lateral_motion"": 0.08560407161712873, ""track_persistence"": 33.0}",nexar_collision_prediction|nexar:01461.mp4|Q2|3,UNIT_OUTCOME,15.0,nexar_collision_prediction|nexar:01461.mp4|Q2|3|track:15
nexar_collision_prediction,nexar:01461.mp4,7ca69bd5d35b144bd31fa004e6897ea3ec4bf1bbdfc34dbd57743518ee5845d0,model_train,nexar:01461.mp4,Q2,4,35.866667,40.866667,0.4333333333333333,4.0,0.0,1,"{""approximate_ttc_urgency"": 0.31530847487666314, ""box_growth"": 0.591196934075456, ""front_region_occupancy"": 0.2876391680380161, ""path_directed_lateral_motion"": 0.04372155666351389, ""track_persistence"": 25.0}",nexar_collision_prediction|nexar:01461.mp4|Q2|4,UNIT_OUTCOME,4.0,nexar_collision_prediction|nexar:01461.mp4|Q2|4|track:4
