source_dataset,session_id,source_sha256,model_split_role,video_id,query_id,unit_id,start_time,end_time,unit_score,top_track_id,top_class_id,candidate_count,top_track_evidence_json,verification_key,label_scope,witness_track_id,opportunity_id
nexar_collision_prediction,nexar:01473.mp4,bc2f6a250f12d7c4c73ba97e960d1605f2070235ee2e019620ff86a207cc2848,model_train,nexar:01473.mp4,Q1,0,0.0,10.0,0.8482107968900422,9.0,2.0,18,"{""approximate_ttc_urgency"": 1.4542840543104412, ""box_growth"": 2.49968016852784, ""front_region_occupancy"": 0.6692755479417611, ""path_directed_lateral_motion"": 0.01313829421997068, ""track_persistence"": 48.0}",nexar_collision_prediction|nexar:01473.mp4|Q1|0,UNIT_OUTCOME,9.0,nexar_collision_prediction|nexar:01473.mp4|Q1|0|track:9
nexar_collision_prediction,nexar:01473.mp4,bc2f6a250f12d7c4c73ba97e960d1605f2070235ee2e019620ff86a207cc2848,model_train,nexar:01473.mp4,Q1,1,10.0,20.0,0.7977548098302816,2.0,2.0,9,"{""approximate_ttc_urgency"": 1.5358484396586132, ""box_growth"": 2.673833962356836, ""front_region_occupancy"": 0.7058030899950729, ""path_directed_lateral_motion"": 0.005330105622609424, ""track_persistence"": 37.0}",nexar_collision_prediction|nexar:01473.mp4|Q1|1,UNIT_OUTCOME,2.0,nexar_collision_prediction|nexar:01473.mp4|Q1|1|track:2
nexar_collision_prediction,nexar:01473.mp4,bc2f6a250f12d7c4c73ba97e960d1605f2070235ee2e019620ff86a207cc2848,model_train,nexar:01473.mp4,Q1,2,20.0,30.0,0.8183608704363422,17.0,2.0,24,"{""approximate_ttc_urgency"": 1.551838229205335, ""box_growth"": 2.652402733867531, ""front_region_occupancy"": 0.3712964665898836, ""path_directed_lateral_motion"": 0.05375935700204617, ""track_persistence"": 13.0}",nexar_collision_prediction|nexar:01473.mp4|Q1|2,UNIT_OUTCOME,17.0,nexar_collision_prediction|nexar:01473.mp4|Q1|2|track:17
nexar_collision_prediction,nexar:01473.mp4,bc2f6a250f12d7c4c73ba97e960d1605f2070235ee2e019620ff86a207cc2848,model_train,nexar:01473.mp4,Q1,3,30.0,40.0,0.872655534542327,2.0,2.0,7,"{""approximate_ttc_urgency"": 1.328896468664868, ""box_growth"": 2.4491968719070547, ""front_region_occupancy"": 0.5764067892301358, ""path_directed_lateral_motion"": 0.05371473431587129, ""track_persistence"": 28.0}",nexar_collision_prediction|nexar:01473.mp4|Q1|3,UNIT_OUTCOME,2.0,nexar_collision_prediction|nexar:01473.mp4|Q1|3|track:2
nexar_collision_prediction,nexar:01473.mp4,bc2f6a250f12d7c4c73ba97e960d1605f2070235ee2e019620ff86a207cc2848,model_train,nexar:01473.mp4,Q1,4,35.135593,40.135593,0.6348621190130623,36.0,2.0,7,"{""approximate_ttc_urgency"": 1.3323211752585944, ""box_growth"": 2.4732304739448723, ""front_region_occupancy"": 0.46581793669044486, ""path_directed_lateral_motion"": 0.0, ""track_persistence"": 9.0}",nexar_collision_prediction|nexar:01473.mp4|Q1|4,UNIT_OUTCOME,36.0,nexar_collision_prediction|nexar:01473.mp4|Q1|4|track:36
nexar_collision_prediction,nexar:01473.mp4,bc2f6a250f12d7c4c73ba97e960d1605f2070235ee2e019620ff86a207cc2848,model_train,nexar:01473.mp4,Q2,0,0.0,10.0,0.0,,,0,{},nexar_collision_prediction|nexar:01473.mp4|Q2|0,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01473.mp4|Q2|0|track:NONE
nexar_collision_prediction,nexar:01473.mp4,bc2f6a250f12d7c4c73ba97e960d1605f2070235ee2e019620ff86a207cc2848,model_train,nexar:01473.mp4,Q2,1,10.0,20.0,0.4,4.0,0.0,1,"{""approximate_ttc_urgency"": 0.0, ""box_growth"": 0.0, ""front_region_occupancy"": 0.14714862544425877, ""path_directed_lateral_motion"": 0.0, ""track_persistence"": 1.0}",nexar_collision_prediction|nexar:01473.mp4|Q2|1,UNIT_OUTCOME,4.0,nexar_collision_prediction|nexar:01473.mp4|Q2|1|track:4
nexar_collision_prediction,nexar:01473.mp4,bc2f6a250f12d7c4c73ba97e960d1605f2070235ee2e019620ff86a207cc2848,model_train,nexar:01473.mp4,Q2,2,20.0,30.0,0.0,,,0,{},nexar_collision_prediction|nexar:01473.mp4|Q2|2,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01473.mp4|Q2|2|track:NONE
nexar_collision_prediction,nexar:01473.mp4,bc2f6a250f12d7c4c73ba97e960d1605f2070235ee2e019620ff86a207cc2848,model_train,nexar:01473.mp4,Q2,3,30.0,40.0,0.0,,,0,{},nexar_collision_prediction|nexar:01473.mp4|Q2|3,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01473.mp4|Q2|3|track:NONE
nexar_collision_prediction,nexar:01473.mp4,bc2f6a250f12d7c4c73ba97e960d1605f2070235ee2e019620ff86a207cc2848,model_train,nexar:01473.mp4,Q2,4,35.135593,40.135593,0.0,,,0,{},nexar_collision_prediction|nexar:01473.mp4|Q2|4,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01473.mp4|Q2|4|track:NONE
