source_dataset,session_id,source_sha256,model_split_role,video_id,query_id,unit_id,start_time,end_time,unit_score,top_track_id,top_class_id,candidate_count,top_track_evidence_json,verification_key,label_scope,witness_track_id,opportunity_id
nexar_collision_prediction,nexar:01708.mp4,8340474f29ac5b47af11a76dd8e01b6ff8fa5d39828e8900696753fc631c9d5f,model_train,nexar:01708.mp4,Q1,0,0.0,10.0,0.7857142857142858,32.0,2.0,5,"{""approximate_ttc_urgency"": 0.5842432022578204, ""box_growth"": 1.0898022550000168, ""front_region_occupancy"": 0.770852278612761, ""path_directed_lateral_motion"": 0.027027459939320278, ""track_persistence"": 9.0}",nexar_collision_prediction|nexar:01708.mp4|Q1|0,UNIT_OUTCOME,32.0,nexar_collision_prediction|nexar:01708.mp4|Q1|0|track:32
nexar_collision_prediction,nexar:01708.mp4,8340474f29ac5b47af11a76dd8e01b6ff8fa5d39828e8900696753fc631c9d5f,model_train,nexar:01708.mp4,Q1,1,10.0,20.0,0.7642857142857142,11.0,2.0,6,"{""approximate_ttc_urgency"": 2.3004333847145833, ""box_growth"": 3.7531998225648544, ""front_region_occupancy"": 0.6375349242880153, ""path_directed_lateral_motion"": 0.00429940174023291, ""track_persistence"": 17.0}",nexar_collision_prediction|nexar:01708.mp4|Q1|1,UNIT_OUTCOME,11.0,nexar_collision_prediction|nexar:01708.mp4|Q1|1|track:11
nexar_collision_prediction,nexar:01708.mp4,8340474f29ac5b47af11a76dd8e01b6ff8fa5d39828e8900696753fc631c9d5f,model_train,nexar:01708.mp4,Q1,2,20.0,30.0,0.4083333333333334,46.0,2.0,5,"{""approximate_ttc_urgency"": 0.27343076125811044, ""box_growth"": 0.5382854578560955, ""front_region_occupancy"": 0.5962241050821872, ""path_directed_lateral_motion"": 0.004371664921442782, ""track_persistence"": 5.0}",nexar_collision_prediction|nexar:01708.mp4|Q1|2,UNIT_OUTCOME,46.0,nexar_collision_prediction|nexar:01708.mp4|Q1|2|track:46
nexar_collision_prediction,nexar:01708.mp4,8340474f29ac5b47af11a76dd8e01b6ff8fa5d39828e8900696753fc631c9d5f,model_train,nexar:01708.mp4,Q1,3,30.0,40.0,0.7863095238095237,3.0,2.0,6,"{""approximate_ttc_urgency"": 0.8269108080343462, ""box_growth"": 1.4203179516267492, ""front_region_occupancy"": 0.5788108294739827, ""path_directed_lateral_motion"": 0.03658122817675252, ""track_persistence"": 9.0}",nexar_collision_prediction|nexar:01708.mp4|Q1|3,UNIT_OUTCOME,3.0,nexar_collision_prediction|nexar:01708.mp4|Q1|3|track:3
nexar_collision_prediction,nexar:01708.mp4,8340474f29ac5b47af11a76dd8e01b6ff8fa5d39828e8900696753fc631c9d5f,model_train,nexar:01708.mp4,Q1,4,35.622951,40.622951,0.6535714285714286,8.0,2.0,2,"{""approximate_ttc_urgency"": 0.3765412212880469, ""box_growth"": 0.7452091792349397, ""front_region_occupancy"": 0.7108298859895715, ""path_directed_lateral_motion"": 0.038013766209284934, ""track_persistence"": 7.0}",nexar_collision_prediction|nexar:01708.mp4|Q1|4,UNIT_OUTCOME,8.0,nexar_collision_prediction|nexar:01708.mp4|Q1|4|track:8
nexar_collision_prediction,nexar:01708.mp4,8340474f29ac5b47af11a76dd8e01b6ff8fa5d39828e8900696753fc631c9d5f,model_train,nexar:01708.mp4,Q2,0,0.0,10.0,0.0,,,0,{},nexar_collision_prediction|nexar:01708.mp4|Q2|0,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01708.mp4|Q2|0|track:NONE
nexar_collision_prediction,nexar:01708.mp4,8340474f29ac5b47af11a76dd8e01b6ff8fa5d39828e8900696753fc631c9d5f,model_train,nexar:01708.mp4,Q2,1,10.0,20.0,0.0,,,0,{},nexar_collision_prediction|nexar:01708.mp4|Q2|1,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01708.mp4|Q2|1|track:NONE
nexar_collision_prediction,nexar:01708.mp4,8340474f29ac5b47af11a76dd8e01b6ff8fa5d39828e8900696753fc631c9d5f,model_train,nexar:01708.mp4,Q2,2,20.0,30.0,0.0,,,0,{},nexar_collision_prediction|nexar:01708.mp4|Q2|2,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01708.mp4|Q2|2|track:NONE
nexar_collision_prediction,nexar:01708.mp4,8340474f29ac5b47af11a76dd8e01b6ff8fa5d39828e8900696753fc631c9d5f,model_train,nexar:01708.mp4,Q2,3,30.0,40.0,0.0,,,0,{},nexar_collision_prediction|nexar:01708.mp4|Q2|3,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01708.mp4|Q2|3|track:NONE
nexar_collision_prediction,nexar:01708.mp4,8340474f29ac5b47af11a76dd8e01b6ff8fa5d39828e8900696753fc631c9d5f,model_train,nexar:01708.mp4,Q2,4,35.622951,40.622951,0.0,,,0,{},nexar_collision_prediction|nexar:01708.mp4|Q2|4,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01708.mp4|Q2|4|track:NONE
