source_dataset,session_id,source_sha256,model_split_role,video_id,query_id,unit_id,start_time,end_time,unit_score,top_track_id,top_class_id,candidate_count,top_track_evidence_json,verification_key,label_scope,witness_track_id,opportunity_id
nexar_collision_prediction,nexar:01906.mp4,b3e16476de6097754709e3fb72620fd81568aac1d6b0dbe090595681dcb4ee22,model_train,nexar:01906.mp4,Q1,0,0.0,10.0,0.71612724525768,2.0,2.0,5,"{""approximate_ttc_urgency"": 1.281545748730779, ""box_growth"": 2.1953896250244127, ""front_region_occupancy"": 0.3423846383579075, ""path_directed_lateral_motion"": 0.0, ""track_persistence"": 52.0}",nexar_collision_prediction|nexar:01906.mp4|Q1|0,UNIT_OUTCOME,2.0,nexar_collision_prediction|nexar:01906.mp4|Q1|0|track:2
nexar_collision_prediction,nexar:01906.mp4,b3e16476de6097754709e3fb72620fd81568aac1d6b0dbe090595681dcb4ee22,model_train,nexar:01906.mp4,Q1,1,10.0,20.0,0.8331128644172123,1.0,2.0,12,"{""approximate_ttc_urgency"": 0.6573231806232425, ""box_growth"": 1.192945674604659, ""front_region_occupancy"": 0.39066608945299075, ""path_directed_lateral_motion"": 0.036111328124999884, ""track_persistence"": 42.0}",nexar_collision_prediction|nexar:01906.mp4|Q1|1,UNIT_OUTCOME,1.0,nexar_collision_prediction|nexar:01906.mp4|Q1|1|track:1
nexar_collision_prediction,nexar:01906.mp4,b3e16476de6097754709e3fb72620fd81568aac1d6b0dbe090595681dcb4ee22,model_train,nexar:01906.mp4,Q1,2,20.0,30.0,0.8363477141738012,4.0,7.0,12,"{""approximate_ttc_urgency"": 0.8992043605606213, ""box_growth"": 1.6182301255055704, ""front_region_occupancy"": 0.4460311614349485, ""path_directed_lateral_motion"": 0.0159930419921875, ""track_persistence"": 35.0}",nexar_collision_prediction|nexar:01906.mp4|Q1|2,UNIT_OUTCOME,4.0,nexar_collision_prediction|nexar:01906.mp4|Q1|2|track:4
nexar_collision_prediction,nexar:01906.mp4,b3e16476de6097754709e3fb72620fd81568aac1d6b0dbe090595681dcb4ee22,model_train,nexar:01906.mp4,Q1,3,30.0,40.0,0.7033084326562588,2.0,5.0,11,"{""approximate_ttc_urgency"": 0.564602611689597, ""box_growth"": 1.140776636790778, ""front_region_occupancy"": 0.27904301811271576, ""path_directed_lateral_motion"": 0.024786376953125, ""track_persistence"": 31.0}",nexar_collision_prediction|nexar:01906.mp4|Q1|3,UNIT_OUTCOME,2.0,nexar_collision_prediction|nexar:01906.mp4|Q1|3|track:2
nexar_collision_prediction,nexar:01906.mp4,b3e16476de6097754709e3fb72620fd81568aac1d6b0dbe090595681dcb4ee22,model_train,nexar:01906.mp4,Q1,4,35.078125,40.078125,0.6745961334004813,7.0,2.0,6,"{""approximate_ttc_urgency"": 0.3707534407736936, ""box_growth"": 0.7320472329559503, ""front_region_occupancy"": 0.30208944793227904, ""path_directed_lateral_motion"": 0.10847583007812489, ""track_persistence"": 10.0}",nexar_collision_prediction|nexar:01906.mp4|Q1|4,UNIT_OUTCOME,7.0,nexar_collision_prediction|nexar:01906.mp4|Q1|4|track:7
nexar_collision_prediction,nexar:01906.mp4,b3e16476de6097754709e3fb72620fd81568aac1d6b0dbe090595681dcb4ee22,model_train,nexar:01906.mp4,Q2,0,0.0,10.0,0.0,,,0,{},nexar_collision_prediction|nexar:01906.mp4|Q2|0,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01906.mp4|Q2|0|track:NONE
nexar_collision_prediction,nexar:01906.mp4,b3e16476de6097754709e3fb72620fd81568aac1d6b0dbe090595681dcb4ee22,model_train,nexar:01906.mp4,Q2,1,10.0,20.0,0.0,,,0,{},nexar_collision_prediction|nexar:01906.mp4|Q2|1,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01906.mp4|Q2|1|track:NONE
nexar_collision_prediction,nexar:01906.mp4,b3e16476de6097754709e3fb72620fd81568aac1d6b0dbe090595681dcb4ee22,model_train,nexar:01906.mp4,Q2,2,20.0,30.0,0.0,,,0,{},nexar_collision_prediction|nexar:01906.mp4|Q2|2,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01906.mp4|Q2|2|track:NONE
nexar_collision_prediction,nexar:01906.mp4,b3e16476de6097754709e3fb72620fd81568aac1d6b0dbe090595681dcb4ee22,model_train,nexar:01906.mp4,Q2,3,30.0,40.0,0.0,,,0,{},nexar_collision_prediction|nexar:01906.mp4|Q2|3,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01906.mp4|Q2|3|track:NONE
nexar_collision_prediction,nexar:01906.mp4,b3e16476de6097754709e3fb72620fd81568aac1d6b0dbe090595681dcb4ee22,model_train,nexar:01906.mp4,Q2,4,35.078125,40.078125,0.0,,,0,{},nexar_collision_prediction|nexar:01906.mp4|Q2|4,UNIT_OUTCOME,,nexar_collision_prediction|nexar:01906.mp4|Q2|4|track:NONE
