physical_call_id,source_dataset,session_id,source_sha256,model_split_role,unit_id,anchor_id,anchor_time,start_time,end_time,start_frame,end_frame,local_locator,sampling_tag_only,sampling_anchor_seconds,sampling_stratum,stratum_priority,within_stratum_split_rank,selection_hash,anchor_distance_seconds,q1_score,q2_score,q1_witness_track_id,q2_witness_track_id
mf_psvr_stage_a_001,nexar_collision_prediction,nexar:00031.mp4,9f8b8050adfc547b85c4e58c12dae3a45032227f13f7fd40faf618b4c0a032e3,model_calibration,3,center10_anchor_0003,35.0,30.0,40.0,900,1199,datasets/casq_external/nexar/videos_hf/train/positive/00031.mp4,collision_or_near_collision,17.733,Q2_Y8_HIGH,1,1,040f26cb0d1df20a72bbada848c5c1b0b5927b290131b56e2444e6eb51f09713,17.267,0.8405002457946871,1.0,20.0,129.0
mf_psvr_stage_a_002,nexar_collision_prediction,nexar:01401.mp4,290b58a2eb5fc8eb6c6aa65e972d87eadfc1377ce03e85452499b81a0d9b710f,model_calibration,2,center10_anchor_0002,25.0,20.0,30.0,612,917,datasets/casq_external/nexar/videos_hf/train/negative/01401.mp4,normal_driving,,Q2_Y8_HIGH,1,2,8f611b8c1a5d0b59ba21ff7c3e45bfa7c6e41558f767cd28a255c7313810085b,,0.7286734693877551,1.0,11.0,14.0
mf_psvr_stage_a_003,nexar_collision_prediction,nexar:01301.mp4,f78d9358a45ac8d558c59b11521ef17aba7b59f00d8e4024f8b16695e06b032e,model_calibration,1,center10_anchor_0001,15.0,10.0,19.0,300,569,datasets/casq_external/nexar/videos_hf/train/negative/01301.mp4,normal_driving,,Q2_Y8_HIGH,1,3,97e24bbe5c6983e40e92bb288cdebb63f3b5a33a75a988e3e48fba20c650524c,,0.6503406539032467,1.0,6.0,40.0
mf_psvr_stage_a_004,nexar_collision_prediction,nexar:00960.mp4,dc3c93001c2b39be4aaaa198220f946d3b477a552be8edf6fbd2f299effb282b,model_calibration,2,center10_anchor_0002,25.0,20.0,30.0,612,917,datasets/casq_external/nexar/videos_hf/train/positive/00960.mp4,collision_or_near_collision,17.898,Q2_Y8_HIGH,1,4,bfe37fa7d8e33009ac7f3ff48e32017667edc74cef4ca76fb902501dad2bddb3,7.102,0.7324561403508772,1.0,3.0,3.0
mf_psvr_stage_a_005,nexar_collision_prediction,nexar:00021.mp4,534021e279a9e51a309d8ab55452eb56986145598c8dd5e98c3d4c7154650410,pool_audit,3,center10_anchor_0003,35.0,30.0,39.966667,900,1198,datasets/casq_external/nexar/videos_hf/train/positive/00021.mp4,collision_or_near_collision,18.767,Q2_Y8_HIGH,1,1,0b151da2a1b82722a2a6170109f51ef55643f2632fb9db22e324d0ac0e779a4b,16.233,0.4386928104575163,1.0,1.0,4.0
mf_psvr_stage_a_006,nexar_collision_prediction,nexar:00006.mp4,c9117737cef3990cc27ed9413c85330cf53b0ec91c06840523fe491f2be2c14a,pool_audit,3,center10_anchor_0003,35.0,30.0,39.966667,900,1198,datasets/casq_external/nexar/videos_hf/train/positive/00006.mp4,collision_or_near_collision,17.133,Q2_Y8_HIGH,1,2,25469bd6bdbabb3d68d0d309065aec957ea5ef3100bfe50ea6f4c00cd662947a,17.867,0.7262500000000001,0.92,5.0,14.0
mf_psvr_stage_a_007,nexar_collision_prediction,nexar:01090.mp4,fba1834f7b522e16ec440e3ad73a8e72dc7cdd1a8478f156d1c03488cd4396d8,pool_audit,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/negative/01090.mp4,normal_driving,,Q2_Y8_HIGH,1,3,5e7162ac5f2d6c76456af55433128182bff4a83bd47a2b8141389ec764cee86f,,0.8571372458663857,0.917948717948718,1.0,42.0
mf_psvr_stage_a_008,nexar_collision_prediction,nexar:00645.mp4,1058215dea35fc8b22cb840eb644dc4a28e652d704deace1754de59271260c98,pool_audit,3,center10_anchor_0003,35.0,30.0,40.0,900,1199,datasets/casq_external/nexar/videos_hf/train/positive/00645.mp4,collision_or_near_collision,18.867,Q2_Y8_HIGH,1,4,6d44142bc7dadeb361206ef01a8ce57fdd36699a6618d228bc4fc83b291c4dd0,16.133,0.7817694568090137,0.9,78.0,2.0
mf_psvr_stage_a_009,nexar_collision_prediction,nexar:00109.mp4,01bbf1ec399de2bb8c89a0ea544d8b3da8309c1bd8bede8a971a9cbf647b0627,model_train,3,center10_anchor_0003,35.0,30.0,40.0,900,1199,datasets/casq_external/nexar/videos_hf/train/positive/00109.mp4,collision_or_near_collision,16.167,Q2_Y8_HIGH,1,1,118d203e4517a96982665d4dc25eb391cb73eb9d65bc326c0145a6a246aef12c,18.833,0.5851190476190476,1.0,35.0,10.0
mf_psvr_stage_a_010,nexar_collision_prediction,nexar:00181.mp4,9a07329ee7d0c5bcf7789ec0a8445c556d108f25bb77b205f30379f5bc30520e,model_train,3,center10_anchor_0003,31.380471,26.380471,31.380471,783,931,datasets/casq_external/nexar/videos_hf/train/positive/00181.mp4,collision_or_near_collision,17.934,Q2_Y8_HIGH,1,2,1b7b4122c485da240d4cd3ab4567d5ec9c8f5331b3ee8cb5031ba5aa6908d86f,13.446470999999999,0.0,1.0,,1.0
