video_id,query_id,proxy_id,budget,verified_positive_count,match_type,trace_count,policy_count,region_min,region_max,region_contrast,dispersion_range,coverage_range,largest_gap_range
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,0,EXACT_YIELD,2,2,8,10,2,0.0975872795357206,0.3618369455855973,1240.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,3,EXACT_YIELD,3,3,9,10,1,0.10624972388719087,0.2753490902992839,1050.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,3,EXACT_YIELD,4,4,18,20,2,0.066569158415338,0.17748284564444705,740.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,6,EXACT_YIELD,2,2,19,20,1,0.004796081886288106,0.02824093233838809,170.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,6,EXACT_YIELD,3,3,44,47,3,0.007911442665434698,0.0317710488806866,150.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,7,EXACT_YIELD,2,2,41,46,5,0.030897742383438842,0.06177703949022395,50.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,20,EXACT_YIELD,3,3,29,33,4,0.010151715408835943,0.14473477823423897,460.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,9,EXACT_YIELD,2,2,70,80,10,0.013724016033083819,0.04157335876595436,170.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,11,EXACT_YIELD,2,2,65,67,2,0.004957361650965442,0.038831281965283626,160.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,13,EXACT_YIELD,2,2,7,67,60,0.2347413961934644,0.47656573321029894,2540.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,28,EXACT_YIELD,2,2,40,41,1,0.0012149509074037002,0.0,420.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,29,EXACT_YIELD,2,2,40,47,7,0.003981712175722268,0.07766256393056725,120.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,11,EXACT_YIELD,2,2,84,85,1,0.012129022759037544,0.01686254296986478,130.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,13,EXACT_YIELD,2,2,82,100,18,0.015852772944184468,0.04157335876595436,190.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,15,EXACT_YIELD,3,3,80,81,1,0.01947469438858257,0.0317710488806866,130.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,16,EXACT_YIELD,2,2,5,87,82,0.2212418101173905,0.4695055001257019,2480.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,31,EXACT_YIELD,3,3,50,57,7,0.007268345492914968,0.07766256393056725,120.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,5,1,EXACT_YIELD,9,9,4,5,1,0.24347780333645525,0.5171620734467317,1900.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,10,0,EXACT_YIELD,2,2,8,10,2,0.0975872795357206,0.3618369455855973,1240.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,10,1,EXACT_YIELD,4,4,8,10,2,0.021121155086564203,0.1280612140522679,1470.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,10,2,EXACT_YIELD,5,5,9,10,1,0.11544991867778509,0.24534309968974655,1310.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,10,3,EXACT_YIELD,2,2,9,10,1,0.10624972388719087,0.19062629328411962,270.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,20,2,EXACT_YIELD,2,2,7,19,12,0.18087099328683903,0.40419834409317945,2250.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,20,3,EXACT_YIELD,4,4,18,20,2,0.066569158415338,0.17748284564444705,740.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,20,4,EXACT_YIELD,4,4,16,20,4,0.02433539854953448,0.05295174813447767,790.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,20,6,EXACT_YIELD,2,2,19,20,1,0.004796081886288106,0.02824093233838809,170.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,50,6,EXACT_YIELD,3,3,44,47,3,0.007911442665434698,0.0317710488806866,150.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,50,7,EXACT_YIELD,2,2,41,46,5,0.030897742383438842,0.06177703949022395,50.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,50,8,EXACT_YIELD,2,2,38,46,8,0.027912776726552513,0.02471081579608958,90.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,80,9,EXACT_YIELD,2,2,70,80,10,0.013724016033083819,0.04157335876595436,170.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,80,11,EXACT_YIELD,3,3,58,67,9,0.02285978628435842,0.04236139850758214,160.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,80,12,EXACT_YIELD,4,4,58,73,15,0.020292683313881343,0.02471081579608958,140.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,80,13,EXACT_YIELD,2,2,7,67,60,0.2347413961934644,0.47656573321029894,2540.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,100,11,EXACT_YIELD,2,2,84,85,1,0.012129022759037544,0.01686254296986478,130.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,100,13,EXACT_YIELD,2,2,82,100,18,0.015852772944184468,0.04157335876595436,190.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,100,15,EXACT_YIELD,3,3,80,81,1,0.01947469438858257,0.0317710488806866,130.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,100,16,EXACT_YIELD,6,6,5,87,82,0.24061572066155765,0.4942163159217915,2500.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,3,EXACT_YIELD,5,5,9,10,1,0.11675176366384524,0.322217623878686,1320.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,3,EXACT_YIELD,2,2,18,20,2,0.026474683858891623,0.060011981219074695,260.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,6,EXACT_YIELD,4,4,18,20,2,0.06283956947317854,0.07863958246008873,770.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,11,EXACT_YIELD,3,3,14,16,2,0.064484317040332,0.3177104888068659,440.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,9,EXACT_YIELD,2,2,41,44,3,0.019532317224703444,0.05392876666399915,60.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,10,EXACT_YIELD,2,2,46,50,4,0.019664636935094237,0.011567368156417013,370.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,12,EXACT_YIELD,2,2,46,47,1,0.00586215405914875,0.007060233084597023,80.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,26,EXACT_YIELD,2,2,29,30,1,0.004177700273867352,0.10413843799780609,0.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,13,EXACT_YIELD,2,2,65,67,2,0.004957361650965442,0.038831281965283626,160.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,20,EXACT_YIELD,2,2,67,73,6,0.005666759660934884,0.007060233084597023,60.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,37,EXACT_YIELD,2,2,40,41,1,0.0012149509074037002,0.0,420.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,38,EXACT_YIELD,2,2,40,47,7,0.003981712175722268,0.07766256393056725,120.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,24,EXACT_YIELD,2,2,81,82,1,0.025750930078820067,0.026475874067238836,30.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,43,EXACT_YIELD,2,2,52,57,5,0.0041174597400638335,0.07766256393056725,120.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,5,1,EXACT_YIELD,8,8,4,5,1,0.17087715497956693,0.3335960132472092,1490.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,10,1,EXACT_YIELD,3,3,9,10,1,0.0770061468707729,0.04236139850758214,830.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,10,3,EXACT_YIELD,7,7,8,10,2,0.13534335034382913,0.322217623878686,1470.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,20,3,EXACT_YIELD,3,3,18,20,2,0.029594339447625573,0.08295773874401502,450.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,20,6,EXACT_YIELD,4,4,18,20,2,0.06283956947317854,0.07863958246008873,770.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,20,7,EXACT_YIELD,4,4,16,20,4,0.0635170315856628,0.019415640982641813,1410.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,50,9,EXACT_YIELD,2,2,41,44,3,0.019532317224703444,0.05392876666399915,60.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,50,10,EXACT_YIELD,2,2,46,50,4,0.019664636935094237,0.011567368156417013,370.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,50,12,EXACT_YIELD,3,3,38,47,9,0.01574685329007025,0.0158855244403433,130.0
