split,heldout,representation,model,n_train,n_test,R2,MAE
LOVO,DALI,REFERENCE_DIAGNOSTIC,linear,432,216,0.054346401983110804,0.013397861463373044
LOVO,DALI,REFERENCE_DIAGNOSTIC,ridge,432,216,0.055137262031635825,0.01340268119025654
LOVO,DALI,REFERENCE_DIAGNOSTIC,depth2_tree,432,216,-0.056375729759613025,0.010680503491646951
LOVO,HANGZHOU,REFERENCE_DIAGNOSTIC,linear,432,216,0.034774555810867414,0.014151831770432489
LOVO,HANGZHOU,REFERENCE_DIAGNOSTIC,ridge,432,216,0.03662563012149789,0.014126994425138262
LOVO,HANGZHOU,REFERENCE_DIAGNOSTIC,depth2_tree,432,216,0.04220270158817985,0.011614959273882938
LOVO,WUHAN,REFERENCE_DIAGNOSTIC,linear,432,216,-14.889982632842173,0.08981152624787299
LOVO,WUHAN,REFERENCE_DIAGNOSTIC,ridge,432,216,-0.02605609160032829,0.0203972269487203
LOVO,WUHAN,REFERENCE_DIAGNOSTIC,depth2_tree,432,216,0.08520649808610636,0.014514729825279658
LOVQ,DALI::Q_DRIVER_RESPONSE_V1,REFERENCE_DIAGNOSTIC,linear,540,108,-0.029575015146765082,0.00954557212351135
LOVQ,DALI::Q_DRIVER_RESPONSE_V1,REFERENCE_DIAGNOSTIC,ridge,540,108,-0.0250676740960305,0.009513851307761475
LOVQ,DALI::Q_DRIVER_RESPONSE_V1,REFERENCE_DIAGNOSTIC,depth2_tree,540,108,-0.2616617867773601,0.011371781304970015
LOVQ,DALI::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,REFERENCE_DIAGNOSTIC,linear,540,108,0.051068307940492996,0.016029874257783336
LOVQ,DALI::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,REFERENCE_DIAGNOSTIC,ridge,540,108,0.05137043516043127,0.01606751141403617
LOVQ,DALI::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,REFERENCE_DIAGNOSTIC,depth2_tree,540,108,-0.03846153846153855,0.009259259259259259
LOVQ,HANGZHOU::Q_DRIVER_RESPONSE_V1,REFERENCE_DIAGNOSTIC,linear,540,108,-0.3849760268967475,0.013906630246160675
LOVQ,HANGZHOU::Q_DRIVER_RESPONSE_V1,REFERENCE_DIAGNOSTIC,ridge,540,108,-0.3819206788313194,0.013896068096173449
LOVQ,HANGZHOU::Q_DRIVER_RESPONSE_V1,REFERENCE_DIAGNOSTIC,depth2_tree,540,108,-0.35298170297238274,0.012731303811558204
LOVQ,HANGZHOU::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,REFERENCE_DIAGNOSTIC,linear,540,108,0.08710419964574878,0.015607727935378353
LOVQ,HANGZHOU::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,REFERENCE_DIAGNOSTIC,ridge,540,108,0.08889485017943177,0.01556187339504387
LOVQ,HANGZHOU::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,REFERENCE_DIAGNOSTIC,depth2_tree,540,108,-0.018774839265571774,0.013146438913248692
LOVQ,WUHAN::Q_DRIVER_RESPONSE_V1,REFERENCE_DIAGNOSTIC,linear,540,108,-0.7385176353133978,0.027208961686698802
LOVQ,WUHAN::Q_DRIVER_RESPONSE_V1,REFERENCE_DIAGNOSTIC,ridge,540,108,-0.7318283967547943,0.02715709940029794
LOVQ,WUHAN::Q_DRIVER_RESPONSE_V1,REFERENCE_DIAGNOSTIC,depth2_tree,540,108,-0.30184401791825466,0.022529657183683785
LOVQ,WUHAN::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,REFERENCE_DIAGNOSTIC,linear,540,108,0.0,0.026526341790676516
LOVQ,WUHAN::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,REFERENCE_DIAGNOSTIC,ridge,540,108,0.0,0.026425484940566055
LOVQ,WUHAN::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,REFERENCE_DIAGNOSTIC,depth2_tree,540,108,0.0,0.025261688749874858
LOVO,MACRO_MEAN,REFERENCE_DIAGNOSTIC,depth2_tree,1296,648,0.02367782330489106,0.012270064196936515
LOVO,MACRO_MEAN,REFERENCE_DIAGNOSTIC,linear,1296,648,-4.933620558349398,0.03912040649389284
LOVO,MACRO_MEAN,REFERENCE_DIAGNOSTIC,ridge,1296,648,0.021902266850935142,0.01597563418803837
LOVQ,MACRO_MEAN,REFERENCE_DIAGNOSTIC,depth2_tree,3240,648,-0.16228731423251797,0.015716688203765802
LOVQ,MACRO_MEAN,REFERENCE_DIAGNOSTIC,linear,3240,648,-0.16914936162844474,0.018137518006701506
LOVQ,MACRO_MEAN,REFERENCE_DIAGNOSTIC,ridge,3240,648,-0.16642524405704687,0.01810364809231316
