split,heldout,representation,model,n_train,n_test,R2,MAE
LOVO,DALI,YIELD_ONLY,linear,432,216,-0.03339151293294029,0.01750029688486072
LOVO,DALI,YIELD_ONLY,ridge,432,216,-0.0333046351151729,0.017497075363145827
LOVO,DALI,YIELD_ONLY,depth2_tree,432,216,-0.02337061911250138,0.014684173295604083
LOVO,HANGZHOU,YIELD_ONLY,linear,432,216,-0.004138844224095495,0.014347854402937102
LOVO,HANGZHOU,YIELD_ONLY,ridge,432,216,-0.004101824556042022,0.014348174910258674
LOVO,HANGZHOU,YIELD_ONLY,depth2_tree,432,216,-0.09364329810052907,0.01355718418458091
LOVO,WUHAN,YIELD_ONLY,linear,432,216,-0.018464629345877448,0.017227804854795963
LOVO,WUHAN,YIELD_ONLY,ridge,432,216,-0.018475717608672282,0.01722801397700186
LOVO,WUHAN,YIELD_ONLY,depth2_tree,432,216,-0.12657752001816935,0.017238815734699795
LOVQ,DALI::Q_DRIVER_RESPONSE_V1,YIELD_ONLY,linear,540,108,-0.21079430021071022,0.01187520386013677
LOVQ,DALI::Q_DRIVER_RESPONSE_V1,YIELD_ONLY,ridge,540,108,-0.2105005396738966,0.011874616998074294
LOVQ,DALI::Q_DRIVER_RESPONSE_V1,YIELD_ONLY,depth2_tree,540,108,-0.05544935281676655,0.009895339762413937
LOVQ,DALI::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,YIELD_ONLY,linear,540,108,-0.0038563794827832787,0.020974207900722592
LOVQ,DALI::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,YIELD_ONLY,ridge,540,108,-0.003845370816530247,0.02097187586278813
LOVQ,DALI::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,YIELD_ONLY,depth2_tree,540,108,-0.025912075901692866,0.019353528349408098
LOVQ,HANGZHOU::Q_DRIVER_RESPONSE_V1,YIELD_ONLY,linear,540,108,0.0382028277001244,0.010858775490182302
LOVQ,HANGZHOU::Q_DRIVER_RESPONSE_V1,YIELD_ONLY,ridge,540,108,0.03815615530066663,0.010858693549646059
LOVQ,HANGZHOU::Q_DRIVER_RESPONSE_V1,YIELD_ONLY,depth2_tree,540,108,0.14122961688290026,0.01027865948404949
LOVQ,HANGZHOU::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,YIELD_ONLY,linear,540,108,-0.022943492338702853,0.01784817823042956
LOVQ,HANGZHOU::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,YIELD_ONLY,ridge,540,108,-0.02288745010967319,0.01784876573932966
LOVQ,HANGZHOU::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,YIELD_ONLY,depth2_tree,540,108,-0.160891783550545,0.01831583331361734
LOVQ,WUHAN::Q_DRIVER_RESPONSE_V1,YIELD_ONLY,linear,540,108,-0.4619271330034773,0.02503947004209419
LOVQ,WUHAN::Q_DRIVER_RESPONSE_V1,YIELD_ONLY,ridge,540,108,-0.46195573638414644,0.025039846836166564
LOVQ,WUHAN::Q_DRIVER_RESPONSE_V1,YIELD_ONLY,depth2_tree,540,108,-0.4944245473766453,0.02413790456755234
LOVQ,WUHAN::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,YIELD_ONLY,linear,540,108,0.0,0.012598137590595592
LOVQ,WUHAN::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,YIELD_ONLY,ridge,540,108,0.0,0.012599141833977647
LOVQ,WUHAN::Q_VULNERABLE_ROAD_USER_CONFLICT_V1,YIELD_ONLY,depth2_tree,540,108,0.0,0.013446063531727715
LOVO,MACRO_MEAN,YIELD_ONLY,depth2_tree,1296,648,-0.08119714574373327,0.01516005773829493
LOVO,MACRO_MEAN,YIELD_ONLY,linear,1296,648,-0.018664995500971077,0.01635865204753126
LOVO,MACRO_MEAN,YIELD_ONLY,ridge,1296,648,-0.01862739242662907,0.016357754750135452
LOVQ,MACRO_MEAN,YIELD_ONLY,depth2_tree,3240,648,-0.09924135712712491,0.01590455483479482
LOVQ,MACRO_MEAN,YIELD_ONLY,linear,3240,648,-0.11021974622259155,0.016532328852360167
LOVQ,MACRO_MEAN,YIELD_ONLY,ridge,3240,648,-0.1101721569472633,0.01653215680333039
