video_id,query_id,proxy_family,budget,verified_positive_count,policy_a,policy_b,geometry_delta,delta_EventF1,delta_EventRecall,delta_offline_C1_coverage
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,20,StaticProxyRank,ProxyTemporalCoverage_L050,4.0,0.03242835595776766,0.02439024390243902,0.02439024390243902
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,28,StaticProxyRank,ProxyTemporalCoverage_L050,1.0,0.01989708404802748,0.024390243902439046,0.024390243902439046
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,5,1,StaticProxyRank,ProxyTemporalCoverage_L050,1.0,0.0,0.0,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,20,4,StaticProxyRank,ProxyTemporalCoverage_L050,0.0,0.0,0.0,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,80,12,StaticProxyRank,ProxyTemporalCoverage_L050,0.0,0.0,0.0,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,100,16,StaticProxyRank,ProxyTemporalCoverage_L050,0.0,0.0,0.0,0.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,3,StaticProxyRank,ProxyTemporalCoverage_L050,0.0,0.034482758620689655,0.01818181818181818,0.01818181818181818
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,11,StaticProxyRank,ProxyTemporalCoverage_L050,2.0,0.05932864949258393,0.03636363636363636,0.03636363636363636
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,37,StaticProxyRank,ProxyTemporalCoverage_L050,1.0,0.016592706926490453,0.018181818181818188,0.018181818181818188
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,5,1,StaticProxyRank,ProxyTemporalCoverage_L050,1.0,0.0,0.0,0.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,20,7,StaticProxyRank,ProxyTemporalCoverage_L050,0.0,0.0,0.0,0.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,80,19,StaticProxyRank,ProxyTemporalCoverage_L050,0.0,0.0,0.0,0.0
DALI,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,100,24,StaticProxyRank,ProxyTemporalCoverage_L050,0.0,0.0,0.0,0.0
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,8,StaticProxyRank,ProxyTemporalCoverage_L050,2.0,0.0,0.0,0.0
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,23,StaticProxyRank,ProxyTemporalCoverage_L050,2.0,0.0,0.0,0.0
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,29,StaticProxyRank,ProxyTemporalCoverage_L050,3.0,0.0,0.0,0.0
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,50,6,StaticProxyRank,ProxyTemporalCoverage_L050,0.0,0.0,0.0,0.0
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,100,13,StaticProxyRank,ProxyTemporalCoverage_L050,0.0,0.0,0.0,0.0
HANGZHOU,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,6,StaticProxyRank,ProxyTemporalCoverage_L050,2.0,0.0,0.0,0.0
HANGZHOU,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,80,20,StaticProxyRank,ProxyTemporalCoverage_L050,2.0,0.0,0.0,0.0
HANGZHOU,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,23,StaticProxyRank,ProxyTemporalCoverage_L050,3.0,0.0,0.0,0.0
HANGZHOU,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,5,1,StaticProxyRank,ProxyTemporalCoverage_L050,0.0,0.0,0.0,0.0
HANGZHOU,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,50,8,StaticProxyRank,ProxyTemporalCoverage_L050,0.0,0.0,0.0,0.0
HANGZHOU,Q_VULNERABLE_ROAD_USER_CONFLICT_V1,PROXY_B_OPTICAL_FLOW_VISUAL_DYNAMICS,100,19,StaticProxyRank,ProxyTemporalCoverage_L050,0.0,0.0,0.0,0.0
