session_id,vehicle_id,session_label,start_unix,end_unix,duration_sec,n_frames,n_camera_params,n_action_params,weather,location,time_of_day,dataset_type,tag,remark
061613_s20-147_1704411595.0_1704411615.0,061613,s20-147,1704411595.0,1704411615.0,20.0,99,98,98,WEATHER_NORMAL,beijing,DAY,['drivingdojo-interplay'],pnc_risk,
063035_s20-420_1711497938.0_1711497958.0,063035,s20-420,1711497938.0,1711497958.0,20.0,99,98,98,WEATHER_NORMAL,beijing,DAY,['drivingdojo-interplay'],intention,Misjudgment of intent. cut-across-cyclist. Intentional understanding error. 
063711_s20-446_1706227302.0_1706227322.0,063711,s20-446,1706227302.0,1706227322.0,20.0,99,98,98,WEATHER_NORMAL,beijing,DAY,['drivingdojo-interplay'],other issues,Open the car door. 
065603_s20-285_1696039104.0_1696039124.0,065603,s20-285,1696039104.0,1696039124.0,20.0,99,98,98,WEATHER_NORMAL,beijing,DAY,['drivingdojo-open'],vehicle,Vehicle missed inspection. 
065843_s20-406_1709768106.0_1709768126.0,065843,s20-406,1709768106.0,1709768126.0,20.0,99,98,98,WEATHER_NORMAL,beijing,DAY,['drivingdojo-open'],detection,collision detection . 
070225_s20-302_1692584743.0_1692584763.0,070225,s20-302,1692584743.0,1692584763.0,20.0,99,98,98,WEATHER_NORMAL,beijing,DAY,['drivingdojo-open'],vulnerable road users,Non intersection straight traffic. pedestrian. Obstacle crossing ahead. Should yield. 
070505_s20-390_1701658868.0_1701658878.0,070505,s20-390,1701658868.0,1701658878.0,10.0,49,48,48,WEATHER_NORMAL,beijing,DAY,['drivingdojo-interplay'],pedestrian_cutin,
070945_s20-292_1701651772.0_1701651782.0,070945,s20-292,1701651772.0,1701651782.0,10.0,49,48,48,WEATHER_NORMAL,beijing,DAY,['drivingdojo-interplay'],pedestrian_cutin,
071144_s20-292_1699402078.0_1699402098.0,071144,s20-292,1699402078.0,1699402098.0,20.0,99,98,98,WEATHER_NORMAL,beijing,DAY,['drivingdojo-open'],detection,Other missed detections. 
080456_s20-396_1698982201.0_1698982221.0,080456,s20-396,1698982201.0,1698982221.0,20.0,90,89,89,WEATHER_NORMAL,beijing,DAY,['drivingdojo-action'],crossing_turn_straight,
080620_s20-190_1703389625.0_1703389641.0,080620,s20-190,1703389625.0,1703389641.0,16.0,55,54,54,WEATHER_NORMAL,shenzhen,DAY,['drivingdojo-action'],crossing_turn_straight,
081246_s20-471_1701396396.0_1701396416.0,081246,s20-471,1701396396.0,1701396416.0,20.0,99,98,98,WEATHER_NORMAL,beijing,DAY,['drivingdojo-interplay'],detection,Other missed detections. 
082457_s20-134_1707615978.0_1707615992.0,082457,s20-134,1707615978.0,1707615992.0,14.0,69,68,68,WEATHER_NORMAL,shenzhen,DAY,['drivingdojo-action'],crossing_turn_left,
083858_s20-392_1687827411.0_1687827427.0,083858,s20-392,1687827411.0,1687827427.0,16.0,79,78,78,WEATHER_NORMAL,beijing,DAY,['drivingdojo-action'],lane_change,
084618_s20-183_1689388042.0_1689388062.0,084618,s20-183,1689388042.0,1689388062.0,20.0,99,98,98,WEATHER_NORMAL,shenzhen,DAY,['drivingdojo-open'],foreign obstacle,Ground foreign object missed detection. 
084809_s20-199_1686015349.0_1686015360.0,084809,s20-199,1686015349.0,1686015360.0,11.0,54,53,53,WEATHER_NORMAL,beijing,DAY,['drivingdojo-action'],crossing_turn_right,
091231_s20-307_1699948116.0_1699948136.0,091231,s20-307,1699948116.0,1699948136.0,20.0,100,99,99,WEATHER_NORMAL,beijing,DAY,['drivingdojo-interplay'],prediction,vehicle. Turn around prediction error. 
092307_s20-237_1706755453.0_1706755473.0,092307,s20-237,1706755453.0,1706755473.0,20.0,99,98,98,WEATHER_NORMAL,shenzhen,DAY,['drivingdojo-interplay'],vulnerable road users,Detection instability. Within 50 meters. Unstable detection of pedestrians or non motorized vehicles with occupants. 
094935_s20-466_1680591862.0_1680591882.0,094935,s20-466,1680591862.0,1680591882.0,20.0,99,98,98,WEATHER_NORMAL,beijing,DAY,['drivingdojo-open'],detection,No obstacles detected on the tree branches on the car. 
095107_s20-141_1672888359.0_1672888379.0,095107,s20-141,1672888359.0,1672888379.0,20.0,85,84,84,WEATHER_NORMAL,beijing,DAY,['drivingdojo-open'],moving_foreign_obstacle,
100529_s20-142_1679810784.0_1679810804.0,100529,s20-142,1679810784.0,1679810804.0,20.0,99,98,98,WEATHER_NORMAL,beijing,DAY,['drivingdojo-open'],other issues,Moving but no speed given. 
102302_s20-186_1656211595.0_1656211615.0,102302,s20-186,1656211595.0,1656211615.0,20.0,99,98,98,WEATHER_NORMAL,xuzhou,DAY,['drivingdojo-interplay'],pnc_risk,
113010_s20-411_1691132622.0_1691132634.0,113010,s20-411,1691132622.0,1691132634.0,12.0,59,58,58,WEATHER_NORMAL,beijing,DAY,['drivingdojo-action'],crossing_turn_left,
132505_s20-268_1704547519.0_1704547539.0,132505,s20-268,1704547519.0,1704547539.0,20.0,40,40,40,WEATHER_UNKNOWN,beijing,NIGHT,['drivingdojo-interplay'],foreign obstacle,Ground foreign object missed detection. 
132542_s20-437_1698039521.0_1698039541.0,132542,s20-437,1698039521.0,1698039541.0,20.0,99,98,98,WEATHER_NORMAL,beijing,DAY,['drivingdojo-interplay'],heading,Attribute recognition error. Heading. 
133522_s20-498_1702622445.0_1702622462.0,133522,s20-498,1702622445.0,1702622462.0,17.0,84,83,83,WEATHER_NORMAL,shenzhen,DAY,['drivingdojo-action'],lane_change,
133925_s20-417_1668497741.0_1668497759.0,133925,s20-417,1668497741.0,1668497759.0,18.0,89,88,88,WEATHER_NORMAL,beijing,DAY,['drivingdojo-interplay'],pnc_risk,
134330_s20-183_1702455272.0_1702455289.0,134330,s20-183,1702455272.0,1702455289.0,17.0,84,83,83,WEATHER_NORMAL,shenzhen,DAY,['drivingdojo-action'],crossing_turn_right,
135632_s20-335_1695105084.0_1695105110.0,135632,s20-335,1695105084.0,1695105110.0,26.0,116,115,115,WEATHER_NORMAL,beijing,DAY,['drivingdojo-open'],traffic_light_green_to_red,
161503_s20-190_1706615315.0_1706615335.0,161503,s20-190,1706615315.0,1706615335.0,20.0,99,98,98,WEATHER_UNKNOWN,shenzhen,NIGHT,['drivingdojo-action'],crossing_turn_straight,
185507_s20-243_1671796035.0_1671796061.0,185507,s20-243,1671796035.0,1671796061.0,26.0,130,129,129,WEATHER_UNKNOWN,beijing,NIGHT,['drivingdojo-open'],traffic_light_red_to_green,
190801_s20-411_1700569625.0_1700569645.0,190801,s20-411,1700569625.0,1700569645.0,20.0,99,98,98,WEATHER_UNKNOWN,beijing,NIGHT,['drivingdojo-interplay'],prediction,Pedestrian prediction error. 
