run_id,method,method_label,deadline_name,deadline_seconds,replicate,deadline_met,AnytimeAUC_F1,F1_at_deadline,precision,recall,time_to_first_candidate,time_to_first_confirmed_event,confirmed_events,unique_confirmed_events,proxy_coverage,max_unobserved_gap,max_unobserved_gap_auc_fraction,physical_oracle_calls,GPU_seconds,proxy_GPU_seconds,oracle_GPU_seconds,redundant_oracle_queries,cache_replay_calls,future_proxy_accesses,candidate_observation_violations,snapshot_elapsed_seconds,unused_deadline_seconds,time_to_first_event_cell_scan,time_to_first_positive_proxy_exposure,time_to_candidate_creation,time_to_first_physical_VERIFY,positive_cells_touched,positive_candidate_exposure_per_scan,positive_frontier_scan_states,distinct_cells_refined,repeat_refinements,global_gap_integral,semantic_event_set,time_to_confirmation,scan_actions,verify_actions,verify_rejected,action_signature
C0__T_transition__r00__attempt_001,S0,C0 S0+A0,T_transition,121.747711537,0,True,0.0,0.0,0.0,0.0,15.709080089,,0,0,0.3333333333333333,20.0,0.07060557561960999,5,74.147626681,0.5647501370000001,73.582876544,0,0,0,0,100.212734101,21.534977436000005,7.933419632,7.933419632,,15.712150114,10,0.3448275862068966,0,116,0,0.04769262904106184,,,29,5,1,"(('scan', (1, 4, 7, 10), None), ('scan', (13, 16, 19, 22), None), ('scan', (25, 28, 31, 34), None), ('scan', (37, 40, 43, 46), None), ('scan', (49, 52, 55, 58), None), ('scan', (61, 64, 67, 70), None), ('scan', (73, 76, 79, 82), None), ('scan', (85, 88, 91, 94), None), ('scan', (97, 100, 103, 106), None), ('scan', (109, 112, 115, 118), None), ('scan', (121, 124, 127, 130), None), ('scan', (133, 136, 139, 142), None), ('scan', (145, 148, 151, 154), None), ('scan', (157, 160, 163, 166), None), ('scan', (169, 172, 175, 178), None), ('scan', (181, 184, 187, 190), None), ('scan', (193, 196, 199, 202), None), ('scan', (205, 208, 211, 214), None), ('scan', (217, 220, 223, 226), None), ('scan', (229, 232, 235, 238), None), ('scan', (241, 244, 247, 250), None), ('scan', (253, 256, 259, 262), None), ('scan', (265, 268, 271, 274), None), ('scan', (277, 280, 283, 286), None), ('scan', (289, 292, 295, 298), None), ('scan', (301, 304, 307, 310), None), ('scan', (313, 316, 319, 322), None), ('scan', (325, 328, 331, 334), None), ('scan', (337, 340, 343, 346), None), ('query', (), 316), ('query', (), 250), ('query', (), 256), ('query', (), 205), ('query', (), 259))"
C0__T_transition__r01__attempt_001,S0,C0 S0+A0,T_transition,121.747711537,1,True,0.0,0.0,0.0,0.0,15.92739352,,0,0,0.3333333333333333,20.0,0.07196753292461315,5,74.28440494499999,0.4727124649999999,73.81169247999999,0,0,0,0,101.69373681,20.053974726999996,8.103800761,8.103800761,,15.931008812,10,0.3448275862068966,0,116,0,0.04896434881715167,,,29,5,1,"(('scan', (1, 4, 7, 10), None), ('scan', (13, 16, 19, 22), None), ('scan', (25, 28, 31, 34), None), ('scan', (37, 40, 43, 46), None), ('scan', (49, 52, 55, 58), None), ('scan', (61, 64, 67, 70), None), ('scan', (73, 76, 79, 82), None), ('scan', (85, 88, 91, 94), None), ('scan', (97, 100, 103, 106), None), ('scan', (109, 112, 115, 118), None), ('scan', (121, 124, 127, 130), None), ('scan', (133, 136, 139, 142), None), ('scan', (145, 148, 151, 154), None), ('scan', (157, 160, 163, 166), None), ('scan', (169, 172, 175, 178), None), ('scan', (181, 184, 187, 190), None), ('scan', (193, 196, 199, 202), None), ('scan', (205, 208, 211, 214), None), ('scan', (217, 220, 223, 226), None), ('scan', (229, 232, 235, 238), None), ('scan', (241, 244, 247, 250), None), ('scan', (253, 256, 259, 262), None), ('scan', (265, 268, 271, 274), None), ('scan', (277, 280, 283, 286), None), ('scan', (289, 292, 295, 298), None), ('scan', (301, 304, 307, 310), None), ('scan', (313, 316, 319, 322), None), ('scan', (325, 328, 331, 334), None), ('scan', (337, 340, 343, 346), None), ('query', (), 316), ('query', (), 250), ('query', (), 256), ('query', (), 205), ('query', (), 259))"
C0__T_transition__r02__attempt_001,S0,C0 S0+A0,T_transition,121.747711537,2,True,0.0,0.0,0.0,0.0,15.78116746,,0,0,0.3333333333333333,20.0,0.07117780528085486,5,74.65700166,0.48419511499999995,74.172806545,0,0,0,0,101.356813748,20.390897789000007,7.999391764,7.999391764,,15.78445449,10,0.3448275862068966,0,116,0,0.048323694266350505,,,29,5,1,"(('scan', (1, 4, 7, 10), None), ('scan', (13, 16, 19, 22), None), ('scan', (25, 28, 31, 34), None), ('scan', (37, 40, 43, 46), None), ('scan', (49, 52, 55, 58), None), ('scan', (61, 64, 67, 70), None), ('scan', (73, 76, 79, 82), None), ('scan', (85, 88, 91, 94), None), ('scan', (97, 100, 103, 106), None), ('scan', (109, 112, 115, 118), None), ('scan', (121, 124, 127, 130), None), ('scan', (133, 136, 139, 142), None), ('scan', (145, 148, 151, 154), None), ('scan', (157, 160, 163, 166), None), ('scan', (169, 172, 175, 178), None), ('scan', (181, 184, 187, 190), None), ('scan', (193, 196, 199, 202), None), ('scan', (205, 208, 211, 214), None), ('scan', (217, 220, 223, 226), None), ('scan', (229, 232, 235, 238), None), ('scan', (241, 244, 247, 250), None), ('scan', (253, 256, 259, 262), None), ('scan', (265, 268, 271, 274), None), ('scan', (277, 280, 283, 286), None), ('scan', (289, 292, 295, 298), None), ('scan', (301, 304, 307, 310), None), ('scan', (313, 316, 319, 322), None), ('scan', (325, 328, 331, 334), None), ('scan', (337, 340, 343, 346), None), ('query', (), 316), ('query', (), 250), ('query', (), 256), ('query', (), 205), ('query', (), 259))"
C0__T_high__r00__attempt_001,S0,C0 S0+A0,T_high,123.9524739725,0,True,0.0,0.0,0.0,0.0,15.729903996,,0,0,0.3333333333333333,20.0,0.06945528037980947,5,75.309729663,0.46274022,74.846989443,0,0,0,0,102.777561617,21.1749123555,7.900686737,7.900686737,,15.733106789,10,0.3448275862068966,0,116,0,0.04701426397038133,,,29,5,1,"(('scan', (1, 4, 7, 10), None), ('scan', (13, 16, 19, 22), None), ('scan', (25, 28, 31, 34), None), ('scan', (37, 40, 43, 46), None), ('scan', (49, 52, 55, 58), None), ('scan', (61, 64, 67, 70), None), ('scan', (73, 76, 79, 82), None), ('scan', (85, 88, 91, 94), None), ('scan', (97, 100, 103, 106), None), ('scan', (109, 112, 115, 118), None), ('scan', (121, 124, 127, 130), None), ('scan', (133, 136, 139, 142), None), ('scan', (145, 148, 151, 154), None), ('scan', (157, 160, 163, 166), None), ('scan', (169, 172, 175, 178), None), ('scan', (181, 184, 187, 190), None), ('scan', (193, 196, 199, 202), None), ('scan', (205, 208, 211, 214), None), ('scan', (217, 220, 223, 226), None), ('scan', (229, 232, 235, 238), None), ('scan', (241, 244, 247, 250), None), ('scan', (253, 256, 259, 262), None), ('scan', (265, 268, 271, 274), None), ('scan', (277, 280, 283, 286), None), ('scan', (289, 292, 295, 298), None), ('scan', (301, 304, 307, 310), None), ('scan', (313, 316, 319, 322), None), ('scan', (325, 328, 331, 334), None), ('scan', (337, 340, 343, 346), None), ('query', (), 316), ('query', (), 250), ('query', (), 256), ('query', (), 205), ('query', (), 259))"
C0__T_high__r01__attempt_001,S0,C0 S0+A0,T_high,123.9524739725,1,True,0.0,0.0,0.0,0.0,15.583789256,,0,0,0.3333333333333333,20.0,0.06902788666444676,5,74.229368385,0.4773731020000001,73.751995283,0,0,0,0,100.674220844,23.278253128499998,7.882097282,7.882097282,,15.586980958,10,0.3448275862068966,0,116,0,0.046612382315334606,,,29,5,1,"(('scan', (1, 4, 7, 10), None), ('scan', (13, 16, 19, 22), None), ('scan', (25, 28, 31, 34), None), ('scan', (37, 40, 43, 46), None), ('scan', (49, 52, 55, 58), None), ('scan', (61, 64, 67, 70), None), ('scan', (73, 76, 79, 82), None), ('scan', (85, 88, 91, 94), None), ('scan', (97, 100, 103, 106), None), ('scan', (109, 112, 115, 118), None), ('scan', (121, 124, 127, 130), None), ('scan', (133, 136, 139, 142), None), ('scan', (145, 148, 151, 154), None), ('scan', (157, 160, 163, 166), None), ('scan', (169, 172, 175, 178), None), ('scan', (181, 184, 187, 190), None), ('scan', (193, 196, 199, 202), None), ('scan', (205, 208, 211, 214), None), ('scan', (217, 220, 223, 226), None), ('scan', (229, 232, 235, 238), None), ('scan', (241, 244, 247, 250), None), ('scan', (253, 256, 259, 262), None), ('scan', (265, 268, 271, 274), None), ('scan', (277, 280, 283, 286), None), ('scan', (289, 292, 295, 298), None), ('scan', (301, 304, 307, 310), None), ('scan', (313, 316, 319, 322), None), ('scan', (325, 328, 331, 334), None), ('scan', (337, 340, 343, 346), None), ('query', (), 316), ('query', (), 250), ('query', (), 256), ('query', (), 205), ('query', (), 259))"
C0__T_high__r02__attempt_001,S0,C0 S0+A0,T_high,123.9524739725,2,True,0.0,0.0,0.0,0.0,15.691670179,,0,0,0.3333333333333333,20.0,0.070348754855857,5,77.04351255099999,0.497267825,76.546244726,0,0,0,0,103.745549836,20.206924136500007,8.046459235,8.046459235,,15.694769468,10,0.3448275862068966,0,116,0,0.04790344943409548,,,29,5,1,"(('scan', (1, 4, 7, 10), None), ('scan', (13, 16, 19, 22), None), ('scan', (25, 28, 31, 34), None), ('scan', (37, 40, 43, 46), None), ('scan', (49, 52, 55, 58), None), ('scan', (61, 64, 67, 70), None), ('scan', (73, 76, 79, 82), None), ('scan', (85, 88, 91, 94), None), ('scan', (97, 100, 103, 106), None), ('scan', (109, 112, 115, 118), None), ('scan', (121, 124, 127, 130), None), ('scan', (133, 136, 139, 142), None), ('scan', (145, 148, 151, 154), None), ('scan', (157, 160, 163, 166), None), ('scan', (169, 172, 175, 178), None), ('scan', (181, 184, 187, 190), None), ('scan', (193, 196, 199, 202), None), ('scan', (205, 208, 211, 214), None), ('scan', (217, 220, 223, 226), None), ('scan', (229, 232, 235, 238), None), ('scan', (241, 244, 247, 250), None), ('scan', (253, 256, 259, 262), None), ('scan', (265, 268, 271, 274), None), ('scan', (277, 280, 283, 286), None), ('scan', (289, 292, 295, 298), None), ('scan', (301, 304, 307, 310), None), ('scan', (313, 316, 319, 322), None), ('scan', (325, 328, 331, 334), None), ('scan', (337, 340, 343, 346), None), ('query', (), 316), ('query', (), 250), ('query', (), 256), ('query', (), 205), ('query', (), 259))"
C1__T_transition__r00__attempt_001,S1,C1 S1+A0,T_transition,121.747711537,0,True,0.0204710991699845,0.07407407407407407,1.0,0.038461538461538464,16.152435213,88.101533603,1,1,0.3347763347763348,40.0,0.01955043804747024,5,78.12134928100001,0.508302494,77.613046787,0,0,0,0,105.801787424,15.945924113000004,0.493075859,0.493075859,67.923719727,16.155621525,17,0.5862068965517241,0,116,0,0.01246626863455641,3170.000:3180.000:317,88.101533603,29,5,1,"(('scan', (173, 86, 260, 42), None), ('scan', (303, 216, 129, 238), None), ('scan', (325, 281, 64, 151), None), ('scan', (107, 194, 20, 249), None), ('scan', (140, 162, 292, 314), None), ('scan', (270, 227, 31, 75), None), ('scan', (118, 205, 53, 336), None), ('scan', (183, 9, 96, 210), None), ('scan', (199, 156, 308, 254), None), ('scan', (145, 297, 243, 265), None), ('scan', (101, 232, 14, 25), None), ('scan', (80, 69, 134, 112), None), ('scan', (167, 221, 341, 286), None), ('scan', (330, 275, 36, 188), None), ('scan', (319, 58, 91, 178), None), ('scan', (47, 4, 123, 170), None), ('scan', (168, 202, 207, 126), None), ('scan', (257, 262, 148, 300), None), ('scan', (164, 153, 305, 235), None), ('scan', (322, 28, 159, 120), None), ('scan', (124, 240, 17, 39), None), ('scan', (72, 137, 213, 344), None), ('scan', (345, 73, 98, 311), None), ('scan', (104, 83, 289, 333), None), ('scan', (115, 165, 166, 50), None), ('scan', (61, 278, 11, 22), None), ('scan', (77, 142, 316, 246), None), ('scan', (317, 247, 315, 251), None), ('scan', (252, 191, 224, 338), None), ('query', (), 316), ('query', (), 167), ('query', (), 251), ('query', (), 317), ('query', (), 344))"
C1__T_transition__r01__attempt_001,S1,C1 S1+A0,T_transition,121.747711537,1,True,0.017674581403875806,0.07407407407407407,1.0,0.038461538461538464,16.015845401,92.69787372,1,1,0.3347763347763348,40.0,0.0196844940262789,5,84.05925187,0.5124207639999999,83.546831106,0,0,0,0,111.782364945,9.965346592000003,0.533221869,0.533221869,71.039187312,16.018974897,17,0.5862068965517241,0,116,0,0.012616939221970328,3170.000:3180.000:317,92.69787372,29,5,1,"(('scan', (173, 86, 260, 42), None), ('scan', (303, 216, 129, 238), None), ('scan', (325, 281, 64, 151), None), ('scan', (107, 194, 20, 249), None), ('scan', (140, 162, 292, 314), None), ('scan', (270, 227, 31, 75), None), ('scan', (118, 205, 53, 336), None), ('scan', (183, 9, 96, 210), None), ('scan', (199, 156, 308, 254), None), ('scan', (145, 297, 243, 265), None), ('scan', (101, 232, 14, 25), None), ('scan', (80, 69, 134, 112), None), ('scan', (167, 221, 341, 286), None), ('scan', (330, 275, 36, 188), None), ('scan', (319, 58, 91, 178), None), ('scan', (47, 4, 123, 170), None), ('scan', (168, 202, 207, 126), None), ('scan', (257, 262, 148, 300), None), ('scan', (164, 153, 305, 235), None), ('scan', (322, 28, 159, 120), None), ('scan', (124, 240, 17, 39), None), ('scan', (72, 137, 213, 344), None), ('scan', (345, 73, 98, 311), None), ('scan', (104, 83, 289, 333), None), ('scan', (115, 165, 166, 50), None), ('scan', (61, 278, 11, 22), None), ('scan', (77, 142, 316, 246), None), ('scan', (317, 247, 315, 251), None), ('scan', (252, 191, 224, 338), None), ('query', (), 316), ('query', (), 167), ('query', (), 251), ('query', (), 317), ('query', (), 344))"
C1__T_transition__r02__attempt_001,S1,C1 S1+A0,T_transition,121.747711537,2,True,0.020577569310871374,0.07407407407407407,1.0,0.038461538461538464,16.148995968,87.926539907,1,1,0.3347763347763348,40.0,0.019497781799750463,5,78.843360406,0.500495797,78.342864609,0,0,0,0,106.092044207,15.65566733,0.521386579,0.521386579,67.406764771,16.152056245,17,0.5862068965517241,0,116,0,0.012427715149727661,3170.000:3180.000:317,87.926539907,29,5,1,"(('scan', (173, 86, 260, 42), None), ('scan', (303, 216, 129, 238), None), ('scan', (325, 281, 64, 151), None), ('scan', (107, 194, 20, 249), None), ('scan', (140, 162, 292, 314), None), ('scan', (270, 227, 31, 75), None), ('scan', (118, 205, 53, 336), None), ('scan', (183, 9, 96, 210), None), ('scan', (199, 156, 308, 254), None), ('scan', (145, 297, 243, 265), None), ('scan', (101, 232, 14, 25), None), ('scan', (80, 69, 134, 112), None), ('scan', (167, 221, 341, 286), None), ('scan', (330, 275, 36, 188), None), ('scan', (319, 58, 91, 178), None), ('scan', (47, 4, 123, 170), None), ('scan', (168, 202, 207, 126), None), ('scan', (257, 262, 148, 300), None), ('scan', (164, 153, 305, 235), None), ('scan', (322, 28, 159, 120), None), ('scan', (124, 240, 17, 39), None), ('scan', (72, 137, 213, 344), None), ('scan', (345, 73, 98, 311), None), ('scan', (104, 83, 289, 333), None), ('scan', (115, 165, 166, 50), None), ('scan', (61, 278, 11, 22), None), ('scan', (77, 142, 316, 246), None), ('scan', (317, 247, 315, 251), None), ('scan', (252, 191, 224, 338), None), ('query', (), 316), ('query', (), 167), ('query', (), 251), ('query', (), 317), ('query', (), 344))"
C1__T_high__r00__attempt_001,S1,C1 S1+A0,T_high,123.9524739725,0,True,0.021367327450473216,0.07407407407407407,1.0,0.038461538461538464,16.170859808,88.197277127,1,1,0.3347763347763348,40.0,0.019200973711041288,5,78.88189141699999,0.515947977,78.36594344,0,0,0,0,106.096271206,17.856202766500004,0.501244524,0.501244524,67.533509019,16.1743784,17,0.5862068965517241,0,116,0,0.012149842882149906,3170.000:3180.000:317,88.197277127,29,5,1,"(('scan', (173, 86, 260, 42), None), ('scan', (303, 216, 129, 238), None), ('scan', (325, 281, 64, 151), None), ('scan', (107, 194, 20, 249), None), ('scan', (140, 162, 292, 314), None), ('scan', (270, 227, 31, 75), None), ('scan', (118, 205, 53, 336), None), ('scan', (183, 9, 96, 210), None), ('scan', (199, 156, 308, 254), None), ('scan', (145, 297, 243, 265), None), ('scan', (101, 232, 14, 25), None), ('scan', (80, 69, 134, 112), None), ('scan', (167, 221, 341, 286), None), ('scan', (330, 275, 36, 188), None), ('scan', (319, 58, 91, 178), None), ('scan', (47, 4, 123, 170), None), ('scan', (168, 202, 207, 126), None), ('scan', (257, 262, 148, 300), None), ('scan', (164, 153, 305, 235), None), ('scan', (322, 28, 159, 120), None), ('scan', (124, 240, 17, 39), None), ('scan', (72, 137, 213, 344), None), ('scan', (345, 73, 98, 311), None), ('scan', (104, 83, 289, 333), None), ('scan', (115, 165, 166, 50), None), ('scan', (61, 278, 11, 22), None), ('scan', (77, 142, 316, 246), None), ('scan', (317, 247, 315, 251), None), ('scan', (252, 191, 224, 338), None), ('query', (), 316), ('query', (), 167), ('query', (), 251), ('query', (), 317), ('query', (), 344))"
