method,family,task_id,AnytimeAUC_F1,F1_at_deadline,precision,recall,unique_confirmed_events,TTFC_censored,time_to_second_unique_event,positive_units_scanned,unique_reference_events_touched,time_to_first_positive_unit_scan_censored,temporal_coverage,max_unobserved_gap_seconds,positive_exposure_per_scan_action,positive_unit_to_candidate_conversion,positive_candidate_frontier_entry,positive_candidate_survival,positive_candidate_to_VERIFY_conversion,unique_temporal_cells_verified,negative_VERIFY_before_first_TP,redundant_VERIFY,queries_per_unique_event,deadline_miss,proxy_GPU_seconds,oracle_GPU_seconds,scheduler_CPU_seconds,total_GPU_seconds,total_wall_clock
C00,Y8,V0_Q1,0.11141405995102331,0.13333333333333333,1.0,0.07142857142857142,1.0,20.2372786185,,1.0,1.0,0.97712726,0.008658008658008658,870.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,84.752918022,94.31574754100001,0.023228867,179.068665563,132.452471056
C00,Y8,V0_Q2,0.07008015989837259,0.08333333333333333,1.0,0.043478260869565216,1.0,19.680654236499997,,1.0,1.0,0.9528536285,0.008658008658008658,870.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,70.634007917,87.993088052,0.022106099,158.627095969,117.53854697999999
C00,Y8,V1_Q1,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,0.0,0.0,200.99340027272873,0.021180699253791062,710.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,92.31814768000001,357.21034056,0.14932257100000002,449.52848824,485.14691974000004
C00,Y8,V1_Q2,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,0.0,0.0,200.99340027272873,0.021180699253791062,710.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,98.224809162,350.847275984,0.141169155,449.072085146,489.427900656
C01,Y8,V0_Q1,0.11201462718220881,0.13333333333333333,1.0,0.07142857142857142,1.0,19.651359743500002,,1.0,1.0,0.953074651,0.008658008658008658,870.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,75.544201841,87.969444748,0.058053019,163.513646589,118.051916047
C01,Y8,V0_Q2,0.07012890502400845,0.08333333333333333,1.0,0.043478260869565216,1.0,19.5519429405,,1.0,1.0,0.8807755625,0.008658008658008658,870.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,75.089777892,87.945369233,0.025771950000000002,163.035147125,116.89844725
C01,Y8,V1_Q1,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,0.0,0.0,200.99340027272873,0.021180699253791062,710.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,97.371198922,356.785510021,0.154189468,454.156708943,486.300160497
C01,Y8,V1_Q2,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,0.0,0.0,200.99340027272873,0.021180699253791062,710.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,97.890184598,352.550126938,0.155626704,450.440311536,479.23494299
C10,Y8,V0_Q1,0.11223583940132514,0.13333333333333333,1.0,0.07142857142857142,1.0,19.5236326765,,1.0,1.0,1.5138549430000001,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,74.75803534799999,87.652423818,0.023980137999999998,162.410459166,117.122078884
C10,Y8,V0_Q2,0.07016009095079143,0.08333333333333333,1.0,0.043478260869565216,1.0,19.5498053035,,1.0,1.0,1.537861204,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,74.479265275,87.630499992,0.022281298,162.109765267,117.507151912
C10,Y8,V1_Q1,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,0.0,0.0,200.99340027272873,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,96.559308136,353.23617196,0.136153821,449.795480096,484.901183888
C10,Y8,V1_Q2,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,0.0,0.0,200.99340027272873,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,96.494142041,343.525705576,0.145094685,440.019847617,478.547130257
C11,Y8,V0_Q1,0.11216906110550068,0.13333333333333333,1.0,0.07142857142857142,1.0,19.5396450665,,1.0,1.0,1.566142184,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,75.125041613,87.817012898,0.027586541,162.94205451099998,118.040563899
C11,Y8,V0_Q2,0.07014371091244637,0.08333333333333333,1.0,0.043478260869565216,1.0,19.5273514205,,1.0,1.0,1.556351898,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,73.87966065,87.468749815,0.025878387000000003,161.348410465,118.546475137
C11,Y8,V1_Q1,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,0.0,0.0,200.99340027272873,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,95.193576916,351.808576183,0.14429059,447.002153099,487.767865313
C11,Y8,V1_Q2,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,0.0,0.0,200.99340027272873,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,95.476151864,343.88689856499997,0.142186445,439.363050429,475.190166051
