run_id,method,family,task_id,video_id,query_id,deadline_name,deadline_seconds,replicate,deadline_met,planned_schedule_complete,AnytimeAUC_F1,F1_at_deadline,precision,recall,unique_confirmed_events,TTFC,TTFC_censored,time_to_second_unique_event,candidate_precision_at_admission,physical_oracle_calls,redundant_VERIFY,queries_per_unique_event,false_positive_candidates_before_hit,candidate_survival_time_mean,candidate_to_VERIFY_conversion,unique_temporal_cells_in_frontier_mean,frontier_temporal_entropy_mean,positive_candidate_exposure,positive_candidate_to_VERIFY,proxy_GPU_seconds,oracle_GPU_seconds,total_GPU_seconds,scheduler_CPU_seconds,total_wall_clock,deadline_miss,cache_replay_calls,future_proxy_accesses,visibility_violations,snapshot_exists,action_ledger_valid,scan_actions,verify_opportunities,verify_rejected,scan_signature,query_signature,positive_units_scanned,unique_reference_events_touched,time_to_first_positive_unit_scan,time_to_first_positive_unit_scan_censored,temporal_coverage,max_unobserved_gap_seconds,positive_exposure_per_scan_action,positive_unit_to_candidate_conversion,positive_candidate_frontier_entry,positive_candidate_survival,positive_candidate_to_VERIFY_conversion,unique_temporal_cells_verified,negative_VERIFY_before_first_TP,first_TP_censored,reference_visibility
F0__Y8__V0_Q1__T_high__r00__attempt_001,F0,Y8,V0_Q1,V0,Q1,T_high,123.9524739725,0,True,True,0.11137146888569606,0.13333333333333333,1.0,0.07142857142857142,1,20.416705735,20.416705735,,1.0,1,0,1.0,0,18.184777341,0.3333333333333333,1.6,0.6,1,1,12.732639115000001,14.730321029,27.462960144,0.003811517,20.416705735,False,0,0,0,True,True,3,1,0,"(173, 0, 346)","(173,)",1,1,1.568668023,1.568668023,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1,0,False,evaluator_only
F0__Y8__V0_Q1__T_high__r01__attempt_001,F0,Y8,V0_Q1,V0,Q1,T_high,123.9524739725,1,True,True,0.1113975544524436,0.13333333333333333,1.0,0.07142857142857142,1,20.392455456,20.392455456,,1.0,1,0,1.0,0,18.018443969666667,0.3333333333333333,1.6,0.6,1,1,13.330361284,14.720396035,28.050757319,0.003788504,20.392455456,False,0,0,0,True,True,3,1,0,"(173, 0, 346)","(173,)",1,1,1.654690309,1.654690309,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1,0,False,evaluator_only
F0__Y8__V0_Q1__T_high__r02__attempt_001,F0,Y8,V0_Q1,V0,Q1,T_high,123.9524739725,2,True,True,0.11072976733145642,0.13333333333333333,1.0,0.07142857142857142,1,21.013259449,21.013259449,,1.0,1,0,1.0,0,18.570367687,0.3333333333333333,1.6,0.6,1,1,12.463325328,15.078556734,27.541882062,0.003939927,21.013259449,False,0,0,0,True,True,3,1,0,"(173, 0, 346)","(173,)",1,1,1.749042278,1.749042278,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1,0,False,evaluator_only
F0__Y8__V0_Q1__T_transition__r00__attempt_001,F0,Y8,V0_Q1,V0,Q1,T_transition,122.2528144965554,0,True,True,0.10878839400720261,0.13333333333333333,1.0,0.07142857142857142,1,22.505159357,22.505159357,,1.0,1,0,1.0,0,19.931003796000002,0.3333333333333333,1.6,0.6,1,1,14.445222029,15.52045637,29.965678398999998,0.003728943,22.505159357,False,0,0,0,True,True,3,1,0,"(173, 0, 346)","(173,)",1,1,1.952014543,1.952014543,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1,0,False,evaluator_only
F0__Y8__V0_Q1__T_transition__r01__attempt_001,F0,Y8,V0_Q1,V0,Q1,T_transition,122.2528144965554,1,True,True,0.10869663668573565,0.13333333333333333,1.0,0.07142857142857142,1,22.589291288,22.589291288,,1.0,1,0,1.0,0,19.520823169999996,0.3333333333333333,1.6,0.6,1,1,16.975608948999998,15.298937603,32.274546552,0.004321909,22.589291288,False,0,0,0,True,True,3,1,0,"(173, 0, 346)","(173,)",1,1,2.394257631,2.394257631,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1,0,False,evaluator_only
F0__Y8__V0_Q1__T_transition__r02__attempt_001,F0,Y8,V0_Q1,V0,Q1,T_transition,122.2528144965554,2,True,True,0.1109794903068646,0.13333333333333333,1.0,0.07142857142857142,1,20.496151686,20.496151686,,1.0,1,0,1.0,0,17.996985266,0.3333333333333333,1.6,0.6,1,1,12.818167403,15.111629476,27.929796879,0.003696629,20.496151686,False,0,0,0,True,True,3,1,0,"(173, 0, 346)","(173,)",1,1,1.721969335,1.721969335,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1,0,False,evaluator_only
F0__Y8__V0_Q2__T_high__r00__attempt_001,F0,Y8,V0_Q2,V0,Q2,T_high,123.9524739725,0,True,True,0.06978838002023942,0.08333333333333333,1.0,0.043478260869565216,1,20.147165676,20.147165676,,1.0,1,0,1.0,0,18.649557277,1.0,0.6,0.0,1,1,12.550317741999999,15.348751534,27.899069276,0.0041739640000000005,20.147165676,False,0,0,0,True,True,3,1,0,"(173, 0, 346)","(173,)",1,1,1.527919544,1.527919544,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1,0,False,evaluator_only
F0__Y8__V0_Q2__T_high__r01__attempt_001,F0,Y8,V0_Q2,V0,Q2,T_high,123.9524739725,1,True,True,0.06953484552504541,0.08333333333333333,1.0,0.043478260869565216,1,20.524280411,20.524280411,,1.0,1,0,1.0,0,18.735412823,1.0,0.6,0.0,1,1,12.615554178,15.51079804,28.126352218,0.003694669,20.524280411,False,0,0,0,True,True,3,1,0,"(173, 0, 346)","(173,)",1,1,1.818748191,1.818748191,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1,0,False,evaluator_only
F0__Y8__V0_Q2__T_high__r02__attempt_001,F0,Y8,V0_Q2,V0,Q2,T_high,123.9524739725,2,True,True,0.06930544623321436,0.08333333333333333,1.0,0.043478260869565216,1,20.865495728,20.865495728,,1.0,1,0,1.0,0,19.328253707,1.0,0.6,0.0,1,1,12.517557638000001,14.766659406,27.284217044000002,0.004360333,20.865495728,False,0,0,0,True,True,3,1,0,"(173, 0, 346)","(173,)",1,1,1.568446916,1.568446916,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1,0,False,evaluator_only
F0__Y8__V0_Q2__T_transition__r00__attempt_001,F0,Y8,V0_Q2,V0,Q2,T_transition,122.2528144965554,0,True,True,0.06943847359742221,0.08333333333333333,1.0,0.043478260869565216,1,20.384228517,20.384228517,,1.0,1,0,1.0,0,18.944026634,1.0,0.6,0.0,1,1,14.254999208000001,15.643627578,29.898626786,0.0036655940000000003,20.384228517,False,0,0,0,True,True,3,1,0,"(173, 0, 346)","(173,)",1,1,1.471018365,1.471018365,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1,0,False,evaluator_only
