configuration_id,in_original_390,in_runtime_570,a5_classification,authorized_scientific,reason
cfg-00,true,true,ORIGINAL_FROZEN_REGISTRY,true,original registry
cfg-01,true,true,ORIGINAL_FROZEN_REGISTRY,true,original registry
cfg-02,true,true,ORIGINAL_FROZEN_REGISTRY,true,original registry
cfg-03,true,true,ORIGINAL_FROZEN_REGISTRY,true,original registry
cfg-04,true,true,ORIGINAL_FROZEN_REGISTRY,true,original registry
cfg-05,true,true,ORIGINAL_FROZEN_REGISTRY,true,original registry
cfg-06,true,true,ORIGINAL_FROZEN_REGISTRY,true,original registry
cfg-07,true,true,ORIGINAL_FROZEN_REGISTRY,true,original registry
cfg-08,true,true,ORIGINAL_FROZEN_REGISTRY,true,original registry
cfg-09,true,true,ORIGINAL_FROZEN_REGISTRY,true,original registry
cfg-10,true,true,ORIGINAL_FROZEN_REGISTRY,true,original registry
cfg-11,true,true,ORIGINAL_FROZEN_REGISTRY,true,original registry
cfg-12,true,true,ORIGINAL_FROZEN_REGISTRY,true,original registry
ic1-cfg-13,false,true,UNAUTHORIZED_POSTHOC_CONFIGURATION,false,post-attempt runtime append without pre-result authorization
ic1-cfg-14,false,true,UNAUTHORIZED_POSTHOC_CONFIGURATION,false,post-attempt runtime append without pre-result authorization
ic1-cfg-15,false,true,UNAUTHORIZED_POSTHOC_CONFIGURATION,false,post-attempt runtime append without pre-result authorization
ic1-cfg-16,false,true,UNAUTHORIZED_POSTHOC_CONFIGURATION,false,post-attempt runtime append without pre-result authorization
ic1-cfg-17,false,true,UNAUTHORIZED_POSTHOC_CONFIGURATION,false,post-attempt runtime append without pre-result authorization
ic1-cfg-18,false,true,UNAUTHORIZED_POSTHOC_CONFIGURATION,false,post-attempt runtime append without pre-result authorization
