unit_id,physical_oracle_invocation,cache_replay,logical_oracle_call,latency_seconds,inference_seconds,parse_status,raw_sha256
50,True,False,True,22.736316257,20.667895376,ok,74da3dc29c71ed8ad1917dcb23366295ea12f90272426385325eef928b3f599e
0,True,False,True,14.260202207,13.356433704,ok,646f41b848a2bb1be4ca07934ae1c5d34281df2673b4ec53363c0dbe08726984
57,True,False,True,15.00025121,13.406869338,ok,b35b452b80e83082d40b3887ce2d79db1b8b46e667f3ce482734bfb33a2536f7
64,True,False,True,16.569933117,15.486589593,ok,bf9b3def0d16284daf9a823c0bc954a3a2d513c2eae25696d19518ae2fe03d86
60,True,False,True,17.605670854,16.430683008,ok,55f7df35aa02e2b33dd2b2b2431073cf466dd0d5f00e1a245ab9ff0eaed269a6
131,True,False,True,18.275147344,17.045675128,ok,a5c6210fb505e3c87985b49ff34f309f5d8c07a40d29b88b910262926c2d9066
68,True,False,True,16.433776745,15.216900811,ok,8d3c57e4f02b85c150741b9c6681654b899349848a8cfca76e3d591f8640b264
207,True,False,True,16.063142536,14.958154824,ok,cff8e9d666cdff2d7a3aee75e3c340dcef8a33e230afdf9d88e0f15a8663673f
69,True,False,True,17.774065451,16.602244641,ok,d316dcc4d4dbe6125cf8838c61a30a44274c907794cbb4df66a2d1a7b821f4af
275,True,False,True,14.942380987,13.766473905,ok,8b35bf6b12ad9f62dc8a5bcef6e2d060a5d8eb99751b67292a3905af93c8baf5
