run_id,method,family,task_id,deadline_name,replicate,action,checkpoint_index,confirmed_events,elapsed_seconds,frontier_candidates,frontier_temporal_entropy,frontier_unique_temporal_cells,observed_units,physical_oracle_calls,snapshot_path,temporal_coverage,event_precision,event_recall,event_f1,unique_confirmed_events
exposure_temporal_nms__Y8__V0_Q1__T_high__r00__attempt_001,exposure_temporal_nms,Y8,V0_Q1,T_high,0,initial_commit,0,0,0.03047412,0,0.0,0,0,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_two_video_loop/h_expose2/revision_exposure_temporal_nms/raw/exposure_temporal_nms__Y8__V0_Q1__T_high__replicate_00/attempt_001/checkpoint_000_snapshot.json,0.0,0.0,0.0,0.0,0
exposure_temporal_nms__Y8__V0_Q1__T_high__r00__attempt_001,exposure_temporal_nms,Y8,V0_Q1,T_high,0,scan,1,0,0.968208174,1,0.0,1,1,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_two_video_loop/h_expose2/revision_exposure_temporal_nms/raw/exposure_temporal_nms__Y8__V0_Q1__T_high__replicate_00/attempt_001/checkpoint_001_snapshot.json,0.002886002886002886,0.0,0.0,0.0,0
exposure_temporal_nms__Y8__V0_Q1__T_high__r00__attempt_001,exposure_temporal_nms,Y8,V0_Q1,T_high,0,scan,2,0,1.912361276,2,1.0,2,2,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_two_video_loop/h_expose2/revision_exposure_temporal_nms/raw/exposure_temporal_nms__Y8__V0_Q1__T_high__replicate_00/attempt_001/checkpoint_002_snapshot.json,0.005772005772005772,0.0,0.0,0.0,0
exposure_temporal_nms__Y8__V0_Q1__T_high__r00__attempt_001,exposure_temporal_nms,Y8,V0_Q1,T_high,0,scan,3,0,2.874380472,3,0.9999999999999998,3,3,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_two_video_loop/h_expose2/revision_exposure_temporal_nms/raw/exposure_temporal_nms__Y8__V0_Q1__T_high__replicate_00/attempt_001/checkpoint_003_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
exposure_temporal_nms__Y8__V0_Q1__T_high__r00__attempt_001,exposure_temporal_nms,Y8,V0_Q1,T_high,0,query,4,0,19.12972334,2,1.0,2,3,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_two_video_loop/h_expose2/revision_exposure_temporal_nms/raw/exposure_temporal_nms__Y8__V0_Q1__T_high__replicate_00/attempt_001/checkpoint_004_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
exposure_temporal_nms__Y8__V0_Q1__T_high__r01__attempt_001,exposure_temporal_nms,Y8,V0_Q1,T_high,1,initial_commit,0,0,0.02584859,0,0.0,0,0,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_two_video_loop/h_expose2/revision_exposure_temporal_nms/raw/exposure_temporal_nms__Y8__V0_Q1__T_high__replicate_01/attempt_001/checkpoint_000_snapshot.json,0.0,0.0,0.0,0.0,0
exposure_temporal_nms__Y8__V0_Q1__T_high__r01__attempt_001,exposure_temporal_nms,Y8,V0_Q1,T_high,1,scan,1,0,0.908024621,1,0.0,1,1,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_two_video_loop/h_expose2/revision_exposure_temporal_nms/raw/exposure_temporal_nms__Y8__V0_Q1__T_high__replicate_01/attempt_001/checkpoint_001_snapshot.json,0.002886002886002886,0.0,0.0,0.0,0
exposure_temporal_nms__Y8__V0_Q1__T_high__r01__attempt_001,exposure_temporal_nms,Y8,V0_Q1,T_high,1,scan,2,0,1.810083311,2,1.0,2,2,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_two_video_loop/h_expose2/revision_exposure_temporal_nms/raw/exposure_temporal_nms__Y8__V0_Q1__T_high__replicate_01/attempt_001/checkpoint_002_snapshot.json,0.005772005772005772,0.0,0.0,0.0,0
exposure_temporal_nms__Y8__V0_Q1__T_high__r01__attempt_001,exposure_temporal_nms,Y8,V0_Q1,T_high,1,scan,3,0,2.696622242,3,0.9999999999999998,3,3,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_two_video_loop/h_expose2/revision_exposure_temporal_nms/raw/exposure_temporal_nms__Y8__V0_Q1__T_high__replicate_01/attempt_001/checkpoint_003_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
exposure_temporal_nms__Y8__V0_Q1__T_high__r01__attempt_001,exposure_temporal_nms,Y8,V0_Q1,T_high,1,query,4,0,19.004103421,2,1.0,2,3,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_two_video_loop/h_expose2/revision_exposure_temporal_nms/raw/exposure_temporal_nms__Y8__V0_Q1__T_high__replicate_01/attempt_001/checkpoint_004_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
