method,family,task_id,AnytimeAUC_F1,F1_at_deadline,precision,recall,unique_confirmed_events,TTFC_censored,time_to_second_unique_event,candidate_survival_time_mean,candidate_to_VERIFY_conversion,frontier_temporal_entropy_mean,positive_candidate_exposure,false_positive_candidates_before_hit,redundant_VERIFY,queries_per_unique_event,deadline_miss,proxy_GPU_seconds,oracle_GPU_seconds,scheduler_CPU_seconds,total_GPU_seconds,total_wall_clock
exposure_temporal_nms,Y8,V0_Q1,0.0,0.0,0.0,0.0,0.0,123.1026442345277,,17.372154380555553,0.3333333333333333,0.6,1.0,1.0,0.0,1.0,0.0,76.998991471,85.626108915,0.032118819,162.625100386,115.729512192
exposure_temporal_nms,Y8,V0_Q2,0.06980196981509988,0.08333333333333333,1.0,0.043478260869565216,1.0,19.987976432666667,,18.212256963,0.5,0.20000000000000004,1.0,0.0,0.0,1.0,0.0,77.343743581,91.021110782,0.032308052999999996,168.364854363,119.927858596
exposure_temporal_nms,Y8,V1_Q1,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,39.14816261147222,0.3333333333333333,0.8823529411764706,0.0,4.0,0.0,4.0,0.0,100.89887785900001,366.55878232,0.20969437800000001,467.457660179,494.08415815800004
exposure_temporal_nms,Y8,V1_Q2,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,36.612942884703706,0.4444444444444444,0.7647058823529411,0.0,4.0,0.0,4.0,0.0,99.87105373700001,364.754323964,0.18875571700000002,464.62537770099993,492.840088235
fifo,Y8,V0_Q1,0.11019602790886174,0.13333333333333333,1.0,0.07142857142857142,1.0,21.351098584166664,,18.321110279555555,0.3333333333333333,0.6,1.0,0.0,0.0,1.0,0.0,84.827910339,91.061909276,0.023808874,175.889819615,128.10659150499998
fifo,Y8,V0_Q2,0.06983048260253187,0.08333333333333333,1.0,0.043478260869565216,1.0,19.945681713000003,,18.085921561083335,0.5,0.20000000000000004,1.0,0.0,0.0,1.0,0.0,77.878225107,90.24731536,0.027282965,168.125540467,119.67409027800001
fifo,Y8,V1_Q1,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,38.90774697863889,0.3333333333333333,0.8823529411764706,0.0,4.0,0.0,4.0,0.0,100.342382836,365.938764356,0.138931576,466.281147192,492.25775215
fifo,Y8,V1_Q2,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,36.21982267851852,0.4444444444444444,0.7647058823529411,0.0,4.0,0.0,4.0,0.0,100.82072182499999,360.778331607,0.161766046,461.599053432,489.006513391
score_only,Y8,V0_Q1,0.0,0.0,0.0,0.0,0.0,123.1026442345277,,17.23097051577778,0.3333333333333333,0.6,1.0,1.0,0.0,1.0,0.0,77.136145187,84.866607853,0.029073804999999998,162.00275304,114.17541534
score_only,Y8,V0_Q2,0.0696438567468242,0.08333333333333333,1.0,0.043478260869565216,1.0,20.221075999,,18.290248041833333,0.5,0.20000000000000004,1.0,0.0,0.0,1.0,0.0,77.13208109799999,90.387952657,0.028839762999999997,167.520033755,121.326455994
score_only,Y8,V1_Q1,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,39.37392529534722,0.3333333333333333,0.8823529411764706,0.0,4.0,0.0,4.0,0.0,99.62397876200001,364.197085777,0.16455474,463.82106453899996,495.162300188
score_only,Y8,V1_Q2,0.0,0.0,0.0,0.0,0.0,200.99340027272873,,37.098525288240744,0.4444444444444444,0.7647058823529411,0.0,4.0,0.0,4.0,0.0,99.294478674,371.533534003,0.154124316,470.828012677,494.722643039
