step_idx,action_type,target_id,reason,action_cost,spent_after_commit,remaining_after_commit,scanned_cells,scanned_units,verify_count,verified_positive_units,returned_event_count,event_precision,event_recall,event_f1,public_state_hash,label_revealed_only_for_verify
0,SCAN,7,dynamic_proxy_value_v1_scan_value=0.478600,0.1,0.1,49.9,1,10,0,0,0,0.0,0.0,0.0,5081ce1abbb0b52bcc68456679f4b6ba4cf7ddacb92d242bc420d68d6060119d,True
1,VERIFY,74,dynamic_proxy_value_v1_verify_value=0.649004,1.0,1.1,48.9,1,10,1,1,1,1.0,0.05,0.09523809523809523,099bd31817b85541c0847242acaa439fea2530de0672e8bb88a189657d3992bc,True
2,VERIFY,79,dynamic_proxy_value_v1_verify_value=0.649004,1.0,2.1,47.9,1,10,2,1,1,1.0,0.05,0.09523809523809523,997df24ee8b0c5453e9b53a45ae7c0be1b6139842f72f940ce11fd403932075b,True
3,VERIFY,75,dynamic_proxy_value_v1_verify_value=0.643300,1.0,3.1,46.9,1,10,3,1,1,1.0,0.05,0.09523809523809523,15287bfdb4c9089440ce3a27e74fae968b9cdfe44e2d3b1e0c0a2dedcfcda7a8,True
4,VERIFY,70,dynamic_proxy_value_v1_verify_value=0.639661,1.0,4.1,45.9,1,10,4,2,2,1.0,0.1,0.18181818181818182,45fc438ac96cce7639e725f9576f9c24d1f69eb83c4d6f5e4d283b7ebd2742e9,True
5,VERIFY,73,dynamic_proxy_value_v1_verify_value=0.633668,1.0,5.1,44.9,1,10,5,3,2,1.0,0.1,0.18181818181818182,37d7e4d06538b36f38210fc7528176db4b4307f022b218c64ed749fca52441b6,True
6,VERIFY,76,dynamic_proxy_value_v1_verify_value=0.630210,1.0,6.1,43.9,1,10,6,4,3,1.0,0.15,0.2608695652173913,bc79318a1d2f9b3dbf6958e922c3c8a041ea776de31168dba702e7f32da0d93f,True
7,VERIFY,77,dynamic_proxy_value_v1_verify_value=0.598952,1.0,7.1,42.9,1,10,7,4,3,1.0,0.15,0.2608695652173913,360823ecc9b828eadc0093d04fbcae7cdedd6ebd2c7cfed597b17158e8f1c617,True
8,VERIFY,71,dynamic_proxy_value_v1_verify_value=0.593299,1.0,8.1,41.9,1,10,8,4,3,1.0,0.15,0.2608695652173913,9e909940d77c433aa4175aaee2bbdf17a8c0cb5ee974504bd02e5a81049afbc1,True
9,VERIFY,72,dynamic_proxy_value_v1_verify_value=0.568998,1.0,9.1,40.9,1,10,9,4,3,1.0,0.15,0.2608695652173913,b75fae1172cc5d8cb4cae074f2ed05b014c59ea6536e557658b12208222f94fd,True
10,VERIFY,78,dynamic_proxy_value_v1_verify_value=0.544217,1.0,10.1,39.9,1,10,10,4,3,1.0,0.15,0.2608695652173913,859dca2cb6dd0e73bb3cb13ec964f1eac3596835388491dd8a40cf93517e33ee,True
11,SCAN,3,dynamic_proxy_value_v1_scan_value=0.478600,0.1,10.2,39.8,2,20,10,4,3,1.0,0.15,0.2608695652173913,ceeab0f714c7c6b95a8fec9f892f8677fde9c57304f1512cbdd4a45a7abd6223,True
12,VERIFY,37,dynamic_proxy_value_v1_verify_value=0.621094,1.0,11.2,38.8,2,20,11,4,3,1.0,0.15,0.2608695652173913,352a36dae1f47b9bc888bd932d0d4927e9da2734d44b9cc7f0d0e7ccea105585,True
13,VERIFY,38,dynamic_proxy_value_v1_verify_value=0.621094,1.0,12.2,37.8,2,20,12,4,3,1.0,0.15,0.2608695652173913,04564792a6dda2a91150bb4bad880a092478a438754ead3707b647f698805a9b,True
14,VERIFY,39,dynamic_proxy_value_v1_verify_value=0.606271,1.0,13.2,36.8,2,20,13,4,3,1.0,0.15,0.2608695652173913,19046af3e495a838e5fbc983d62941d8c7b1c288232c9185a8eaff98711adf33,True
15,VERIFY,36,dynamic_proxy_value_v1_verify_value=0.594976,1.0,14.2,35.8,2,20,14,4,3,1.0,0.15,0.2608695652173913,ad374e658be056930f4db4bbc05f30ffda318606d5a33703c69c3cbe14f03b2e,True
16,VERIFY,35,dynamic_proxy_value_v1_verify_value=0.578143,1.0,15.2,34.8,2,20,15,4,3,1.0,0.15,0.2608695652173913,e6422403ff6c2b14fe3816a73ef33471897c89941f0028819421c036435c21bd,True
17,VERIFY,33,dynamic_proxy_value_v1_verify_value=0.570296,1.0,16.2,33.8,2,20,16,4,3,1.0,0.15,0.2608695652173913,fe8ca35652180e0cc79b56779b31b63dcdaaca4b230746abc307c47d09999da6,True
18,VERIFY,32,dynamic_proxy_value_v1_verify_value=0.556044,1.0,17.2,32.8,2,20,17,4,3,1.0,0.15,0.2608695652173913,c2cb8b0bbc408abf4023dc5d9b883bc8a4bdbc3fa5dfcf30f6b54fb9749fdaf6,True
19,VERIFY,31,dynamic_proxy_value_v1_verify_value=0.553475,1.0,18.2,31.8,2,20,18,4,3,1.0,0.15,0.2608695652173913,1cb9221920725a7ce640f4a544d73f5c8d7110656a68160ac17dec96e67235cf,True
20,VERIFY,34,dynamic_proxy_value_v1_verify_value=0.549087,1.0,19.2,30.8,2,20,19,4,3,1.0,0.15,0.2608695652173913,eed6a8a6311147a9fb960e32309928dde1e0a5ec697b70c1e09b8aa818e48804,True
