step_idx,action_type,target_id,reason,action_cost,spent_after_commit,remaining_after_commit,scanned_cells,scanned_units,verify_count,verified_positive_units,returned_event_count,event_precision,event_recall,event_f1,public_state_hash,label_revealed_only_for_verify
0,SCAN,7,fixed_cycle_scan,0.1,0.1,19.9,1,10,0,0,0,0.0,0.0,0.0,62d5694b5efbcb5ebe2c930052d63de8dd1270042edfb5fdf377ab77ccff98a0,True
1,VERIFY,74,fixed_cycle_proxy_verify,1.0,1.1,18.9,1,10,1,1,1,1.0,0.05,0.09523809523809523,b3980190279f96a881301d43a028ade9018ae1b8642bcdc34b1280cd00062af7,True
2,SCAN,3,fixed_cycle_scan,0.1,1.2,18.8,2,20,1,1,1,1.0,0.05,0.09523809523809523,6eb4e0d3830e6ab50fd5ea96c1fad366a173351be723fe673862f070567cc35f,True
3,VERIFY,79,fixed_cycle_proxy_verify,1.0,2.2,17.8,2,20,2,1,1,1.0,0.05,0.09523809523809523,0d67dd66a64cb704a853cab82302bacb12556b9217a240bd818623bc45833d31,True
4,SCAN,11,fixed_cycle_scan,0.1,2.3,17.7,3,30,2,1,1,1.0,0.05,0.09523809523809523,e3c5e2728c41621d3655aa2bc011932522a8bf75657e2208080f935038d58dbe,True
5,VERIFY,110,fixed_cycle_proxy_verify,1.0,3.3,16.7,3,30,3,1,1,1.0,0.05,0.09523809523809523,42e8dd9a4c8c3fd61a0a2bbce547834f4c5b5b259a464c82dad5004e635052bc,True
6,SCAN,1,fixed_cycle_scan,0.1,3.4,16.6,4,40,3,1,1,1.0,0.05,0.09523809523809523,3c87d31d630f1b640d27c87d56052272bbfda2cffe413dec324209c91d96443b,True
7,VERIFY,10,fixed_cycle_proxy_verify,1.0,4.4,15.6,4,40,4,2,2,1.0,0.1,0.18181818181818182,9e8b09989b002c08d646c42a0cee55d5ef1b982a835ec5b619ab58e9557fc0d6,True
8,SCAN,5,fixed_cycle_scan,0.1,4.5,15.5,5,50,4,2,2,1.0,0.1,0.18181818181818182,db2b446e435a3e9acd221345b7147b7e609df9e78ff1181e1073d20bd37dd0e1,True
9,VERIFY,18,fixed_cycle_proxy_verify,1.0,5.5,14.5,5,50,5,2,2,1.0,0.1,0.18181818181818182,f54dfdcb8f33557fae000f01a003d512fd9b17f81d00915fb8c9985b9e2983e1,True
10,SCAN,9,fixed_cycle_scan,0.1,5.6,14.4,6,60,5,2,2,1.0,0.1,0.18181818181818182,c0b04f2f82f35f88e25684891b8c9027bf0698b9e0b2e1f1c468fd36f6bb8db7,True
11,VERIFY,19,fixed_cycle_proxy_verify,1.0,6.6,13.4,6,60,6,2,2,1.0,0.1,0.18181818181818182,af549e9bac5ae85cb8cafb51faea2e74ace3b855789db91d2947d3260fe4fbe1,True
12,SCAN,13,fixed_cycle_scan,0.1,6.7,13.3,7,70,6,2,2,1.0,0.1,0.18181818181818182,28c00329c5ab69c46f7e412e2ad5dde52b4fe4a1ce65972f239665fb37a7d9ac,True
13,VERIFY,50,fixed_cycle_proxy_verify,1.0,7.7,12.3,7,70,7,3,3,1.0,0.15,0.2608695652173913,e2debb2c772cc26f57abb06a2be49419229097edad1fe5a781ab6d356baa5d4d,True
14,SCAN,0,fixed_cycle_scan,0.1,7.8,12.2,8,80,7,3,3,1.0,0.15,0.2608695652173913,577c29a3830d7e8bef83bd808f7b9c263a056af27d149c295a39d5c36645b1a6,True
15,VERIFY,0,fixed_cycle_proxy_verify,1.0,8.8,11.2,8,80,8,3,3,1.0,0.15,0.2608695652173913,3d0d56689b846847989afd33690792b035c02ee7c2f7a207b66b82d39715a899,True
16,SCAN,2,fixed_cycle_scan,0.1,8.9,11.1,9,90,8,3,3,1.0,0.15,0.2608695652173913,ba4479fc4127ebe37fe94b8affbeb622a1d12e032018b492e5cae625752d5055,True
17,VERIFY,1,fixed_cycle_proxy_verify,1.0,9.9,10.1,9,90,9,4,4,0.75,0.15,0.24999999999999997,40f686152f9f65be9410a7e9ff76de5d7cc7805b5bed9326fb476a04cebbf54b,True
18,SCAN,4,fixed_cycle_scan,0.1,10.0,10.0,10,100,9,4,4,0.75,0.15,0.24999999999999997,e9dd7d7120fb1df4dae5d5d97999b73771e1919cc9da80cf5abb2a81c6fe7302,True
19,VERIFY,2,fixed_cycle_proxy_verify,1.0,11.0,9.0,10,100,10,5,4,0.75,0.15,0.24999999999999997,e73416e15b666eb48dba79c2bfbd70b2ce3240eb9b6bc369709b95ce870ecdab,True
20,SCAN,6,fixed_cycle_scan,0.1,11.1,8.9,11,110,10,5,4,0.75,0.15,0.24999999999999997,0a40fc37522000102fa5fac7aa47eae99bae940fa713d630e086af4c005bb678,True
21,VERIFY,3,fixed_cycle_proxy_verify,1.0,12.1,7.9,11,110,11,6,4,0.75,0.15,0.24999999999999997,b62bc82fd790a5d5124a9e090a047881d9ab01aaa506cbc5c72cbec0427c6eaa,True
