step_idx,action_type,target_id,reason,action_cost,spent_after_commit,remaining_after_commit,scanned_cells,scanned_units,verify_count,verified_positive_units,returned_event_count,event_precision,event_recall,event_f1,public_state_hash,label_revealed_only_for_verify
0,SCAN,17,fixed_cycle_scan,0.1,0.1,49.9,1,10,0,0,0,0.0,0.0,0.0,9ba877ee73e49d766e1e6f8b43a01cfa8a71ed2d15f10b09849a45920513e67d,True
1,VERIFY,171,fixed_cycle_proxy_verify,1.0,1.1,48.9,1,10,1,1,1,1.0,0.038461538461538464,0.07407407407407407,a600270f9b6a5fcad14563afb881fb4f3bbfa527198f7d0cf4122f5636e2b7dc,True
2,SCAN,8,fixed_cycle_scan,0.1,1.2,48.8,2,20,1,1,1,1.0,0.038461538461538464,0.07407407407407407,d05c40937fa612b10cd2047e4a1b83b1d8c39994f99238645ac9efd4f3982830,True
3,VERIFY,83,fixed_cycle_proxy_verify,1.0,2.2,47.8,2,20,2,2,2,1.0,0.07692307692307693,0.14285714285714288,a4e1488bbda227d47e93ba08e37dcad1d7dba3f1d5a2e52ea9b26b3f5913f1d0,True
4,SCAN,26,fixed_cycle_scan,0.1,2.3,47.7,3,30,2,2,2,1.0,0.07692307692307693,0.14285714285714288,121a7fac84a6dfd65ceb85430664e1b659a034cfc07a15b9491ebfe2f792ca59,True
5,VERIFY,267,fixed_cycle_proxy_verify,1.0,3.3,46.7,3,30,3,2,2,1.0,0.07692307692307693,0.14285714285714288,cfaaeed4e6b710571edf1b8a7aaf2fa8aa652d7e0c1a4b6609622aaee3b324f6,True
6,SCAN,3,fixed_cycle_scan,0.1,3.4,46.6,4,40,3,2,2,1.0,0.07692307692307693,0.14285714285714288,3dd1c095ea77117a78d99f703901c4acbefe7bd9ce887daa3eccf6485e930750,True
7,VERIFY,35,fixed_cycle_proxy_verify,1.0,4.4,45.6,4,40,4,2,2,1.0,0.07692307692307693,0.14285714285714288,802096ea6b5db9fb4673c13ae8ee6b213a0f113158ecdc90a6893b6172d34749,True
8,SCAN,12,fixed_cycle_scan,0.1,4.5,45.5,5,50,4,2,2,1.0,0.07692307692307693,0.14285714285714288,d94007e48f3e230341e8daf7e9a77c691b5e3e449ef065605c81a239fc038911,True
9,VERIFY,123,fixed_cycle_proxy_verify,1.0,5.5,44.5,5,50,5,2,2,1.0,0.07692307692307693,0.14285714285714288,dab13c6a7187dd9b7dbbc9e62fce06b06ecc65369d668fd22c17584cc16760b4,True
10,SCAN,21,fixed_cycle_scan,0.1,5.6,44.4,6,60,5,2,2,1.0,0.07692307692307693,0.14285714285714288,bba82f9578f19c4df99b323394189febad14dac56ef505ecdbda28d3f58b7a6b,True
11,VERIFY,219,fixed_cycle_proxy_verify,1.0,6.6,43.4,6,60,6,3,3,1.0,0.11538461538461539,0.20689655172413793,94f3d0f56948a170a171d2846cdfda69cbf5ba45cf1c942f0885b47785c1c9c3,True
12,SCAN,30,fixed_cycle_scan,0.1,6.7,43.3,7,70,6,3,3,1.0,0.11538461538461539,0.20689655172413793,c3e2df46ca703c5f317182217c7138fd9c9c2ee6c623938210f0ef17d255224b,True
13,VERIFY,214,fixed_cycle_proxy_verify,1.0,7.7,42.3,7,70,7,3,3,1.0,0.11538461538461539,0.20689655172413793,09308940f92e6ce29cf9ab0729c3e48f6648c894adf21c97cac9daf8df83f9d9,True
14,SCAN,1,fixed_cycle_scan,0.1,7.8,42.2,8,80,7,3,3,1.0,0.11538461538461539,0.20689655172413793,f51470deaabdf43ab131ac2409e441e63965d2b1f4783553ccbae74cc6956c10,True
15,VERIFY,212,fixed_cycle_proxy_verify,1.0,8.8,41.2,8,80,8,3,3,1.0,0.11538461538461539,0.20689655172413793,0d359496b78712135cccf3e801375159f07e30b369916bf7e704611456a957d8,True
16,SCAN,5,fixed_cycle_scan,0.1,8.9,41.1,9,90,8,3,3,1.0,0.11538461538461539,0.20689655172413793,d23134a1925d31b6315377ff020fd38028a40510b9b90635f2e48a67d323b4e6,True
17,VERIFY,11,fixed_cycle_proxy_verify,1.0,9.9,40.1,9,90,9,3,3,1.0,0.11538461538461539,0.20689655172413793,1b3e25a37e22e1b5a39b4e1130387bfc010f33d7939d392085e8b515478218a4,True
18,SCAN,10,fixed_cycle_scan,0.1,10.0,40.0,10,100,9,3,3,1.0,0.11538461538461539,0.20689655172413793,71173b19995c8b96be38c366fb196af60dbc37448aa43ed2aeafdf97e8b90dc3,True
19,VERIFY,305,fixed_cycle_proxy_verify,1.0,11.0,39.0,10,100,10,3,3,1.0,0.11538461538461539,0.20689655172413793,1020f89ccee1e13609fb32b2108866f8359b8acf5b425e093ffeba7e1b2e6d0d,True
20,SCAN,14,fixed_cycle_scan,0.1,11.1,38.9,11,110,10,3,3,1.0,0.11538461538461539,0.20689655172413793,331f27194476ed3449df9cc89d7c0518ea902198ac5499835f0e4f7dee2dff13,True
21,VERIFY,147,fixed_cycle_proxy_verify,1.0,12.1,37.9,11,110,11,3,3,1.0,0.11538461538461539,0.20689655172413793,856e8b53282f0be5cea026bf6ba21e284e06e628a07e8255758898e83cd07186,True
22,SCAN,19,fixed_cycle_scan,0.1,12.2,37.8,12,120,11,3,3,1.0,0.11538461538461539,0.20689655172413793,6eba4c2a6e8cf225c0d4bb82635790158d4697685f77cb44db52df36df5c5a24,True
23,VERIFY,17,fixed_cycle_proxy_verify,1.0,13.2,36.8,12,120,12,3,3,1.0,0.11538461538461539,0.20689655172413793,e8367f1c741ac60b292c031d88323e07e678d332f3bf4e60396e2df1f5db5d85,True
24,SCAN,23,fixed_cycle_scan,0.1,13.3,36.7,13,130,12,3,3,1.0,0.11538461538461539,0.20689655172413793,66a538d6df118202ff6115d7b076e10e57f34619d83087daaae4eb9bb18da460,True
25,VERIFY,236,fixed_cycle_proxy_verify,1.0,14.3,35.7,13,130,13,3,3,1.0,0.11538461538461539,0.20689655172413793,b213d1e1306b8b7a0566ac4993022badc4adf75d4f15d2843ba6d68732fdbbfc,True
26,SCAN,28,fixed_cycle_scan,0.1,14.4,35.6,14,140,13,3,3,1.0,0.11538461538461539,0.20689655172413793,9c92d4dc160eb53b94d1c1106592332e97aa1ad02ba4d2c9c017e2306c522f97,True
27,VERIFY,230,fixed_cycle_proxy_verify,1.0,15.4,34.6,14,140,14,3,3,1.0,0.11538461538461539,0.20689655172413793,499dc063a88af724c6506a0fea395bc08089f1c61b2c5136a72cc47f3e707fdd,True
28,SCAN,32,fixed_cycle_scan,0.1,15.5,34.5,15,150,14,3,3,1.0,0.11538461538461539,0.20689655172413793,eea11db5300794afbdd98ebc14cf1501b6d2b9cc12d614b6b6722239b2467a01,True
29,VERIFY,320,fixed_cycle_proxy_verify,1.0,16.5,33.5,15,150,15,3,3,1.0,0.11538461538461539,0.20689655172413793,183289c85cc4cf7c5ded532dcd9ef3c9a635924c2d2f31ad208e8c1668e1006d,True
30,SCAN,0,fixed_cycle_scan,0.1,16.6,33.4,16,160,15,3,3,1.0,0.11538461538461539,0.20689655172413793,a6a8e524e131f1e1a764367f49e91d4afb6d9f70cf6888e79b1a67f2f337ec1b,True
31,VERIFY,4,fixed_cycle_proxy_verify,1.0,17.6,32.4,16,160,16,3,3,1.0,0.11538461538461539,0.20689655172413793,f338da141bac577979174e099d3ac50aac6e7caa52a39b3d2af3db6fc2917e85,True
32,SCAN,2,fixed_cycle_scan,0.1,17.7,32.3,17,170,16,3,3,1.0,0.11538461538461539,0.20689655172413793,16617952a8b829dd6afc2528e3dab57432ed292283395f2d801d1e8b00a73c94,True
33,VERIFY,322,fixed_cycle_proxy_verify,1.0,18.7,31.3,17,170,17,4,4,1.0,0.15384615384615385,0.2666666666666667,8d8d93ae9af06f4d4d9e1ff77f4d02dc122e79adf71ec87fd6d211064b20ce6d,True
34,SCAN,4,fixed_cycle_scan,0.1,18.8,31.2,18,180,17,4,4,1.0,0.15384615384615385,0.2666666666666667,4af41060db9034c74c1390bd63892608eb4dcc9ab7b93f9ea57421e5c79bfb06,True
35,VERIFY,24,fixed_cycle_proxy_verify,1.0,19.8,30.2,18,180,18,4,4,1.0,0.15384615384615385,0.2666666666666667,b2f11a38efa4e7096d8da63ec6f38caeae7fbf87478a57690810a31b14d3aadc,True
36,SCAN,6,fixed_cycle_scan,0.1,19.9,30.1,19,190,18,4,4,1.0,0.15384615384615385,0.2666666666666667,99bcd5a4bd05b3c0d6291283926a33fc42eac33b8c98dbb5b9f8d5ea985d2eed,True
37,VERIFY,329,fixed_cycle_proxy_verify,1.0,20.9,29.1,19,190,19,4,4,1.0,0.15384615384615385,0.2666666666666667,93e5782c7f29685911348aa806de552fa72371b5a43e48fbb4c8101329739922,True
38,SCAN,9,fixed_cycle_scan,0.1,21.0,29.0,20,200,19,4,4,1.0,0.15384615384615385,0.2666666666666667,cf9214778d1b903b8ddb7c8b60403f8bf41d525857b9ae4ad14bfc2e5c0388de,True
39,VERIFY,231,fixed_cycle_proxy_verify,1.0,22.0,28.0,20,200,20,4,4,1.0,0.15384615384615385,0.2666666666666667,130dc38cc1d1f17f9b97d2228c84b2b721dd2813b4646b492ff24d482fd7c927,True
40,SCAN,11,fixed_cycle_scan,0.1,22.1,27.9,21,210,20,4,4,1.0,0.15384615384615385,0.2666666666666667,43c9cde2e5879e5645f055855a7c2544148b93dd814808fc9b8a47995fb7bcc9,True
41,VERIFY,234,fixed_cycle_proxy_verify,1.0,23.1,26.9,21,210,21,4,4,1.0,0.15384615384615385,0.2666666666666667,465e109b00ac3f3613bad52193d4d0299ce70fba71effd1920b3f2fe6b5bfb69,True
42,SCAN,13,fixed_cycle_scan,0.1,23.2,26.8,22,220,21,4,4,1.0,0.15384615384615385,0.2666666666666667,5f25793945574b959599ea7b5876e34f621e970ce62e325d085555b669d449bb,True
43,VERIFY,280,fixed_cycle_proxy_verify,1.0,24.2,25.8,22,220,22,4,4,1.0,0.15384615384615385,0.2666666666666667,b6884694c8d4bc6b2f9012c358d86eae75837ed849102533b621998b4f3cb5e3,True
44,SCAN,15,fixed_cycle_scan,0.1,24.3,25.7,23,230,22,4,4,1.0,0.15384615384615385,0.2666666666666667,1de83a16cea1e56e7f439732817672fb30858a4a44894eebd5645a7449328060,True
45,VERIFY,158,fixed_cycle_proxy_verify,1.0,25.3,24.7,23,230,23,4,4,1.0,0.15384615384615385,0.2666666666666667,f24ce25ea3625cea14b471457b7733fd4edff2804cef4c7a10ed99da67b33a3c,True
46,SCAN,18,fixed_cycle_scan,0.1,25.4,24.6,24,240,23,4,4,1.0,0.15384615384615385,0.2666666666666667,8f2c0a9ed52b3e9051499f57a4332296d626180b4ac9af257cda19e38d77a5f5,True
47,VERIFY,152,fixed_cycle_proxy_verify,1.0,26.4,23.6,24,240,24,4,4,1.0,0.15384615384615385,0.2666666666666667,cfb144102284b9e24d935d357579ccb7b0f183e5dff8ed9025c4cfdc3c5127cc,True
48,SCAN,20,fixed_cycle_scan,0.1,26.5,23.5,25,250,24,4,4,1.0,0.15384615384615385,0.2666666666666667,b4cc643f0c68362255e5b51365bb7f29770e9f79245a17e9fe8ec3d79e12e908,True
49,VERIFY,206,fixed_cycle_proxy_verify,1.0,27.5,22.5,25,250,25,4,4,1.0,0.15384615384615385,0.2666666666666667,f229c8b54c73a7e18aa7b5de3b3fda55e66cee411be356a5f6a5926f08b9066b,True
50,SCAN,22,fixed_cycle_scan,0.1,27.6,22.4,26,260,25,4,4,1.0,0.15384615384615385,0.2666666666666667,ba13da1d1bd0bc373f1e907682680d67495b3df51e273e2a2d8bcd6b0bb61a1a,True
51,VERIFY,209,fixed_cycle_proxy_verify,1.0,28.6,21.4,26,260,26,4,4,1.0,0.15384615384615385,0.2666666666666667,3b16bae5a1ce8cd5b02153c0eee7107c87da98d02ef298c20ae975aa33769d25,True
52,SCAN,24,fixed_cycle_scan,0.1,28.7,21.3,27,270,26,4,4,1.0,0.15384615384615385,0.2666666666666667,6e0081236ea4cbebf54ded2559d397daa5e596863d219b5e4d5b685b9c6caaf2,True
53,VERIFY,247,fixed_cycle_proxy_verify,1.0,29.7,20.3,27,270,27,5,5,1.0,0.19230769230769232,0.32258064516129037,7acb26f5f682718ce8cbbe8fd23d0e43c5ba96d2c9ad3c13841eb6dd9fd7bfaa,True
54,SCAN,27,fixed_cycle_scan,0.1,29.8,20.2,28,280,27,5,5,1.0,0.19230769230769232,0.32258064516129037,ffc93a1e3148a1bbf19fd4dbc96e90cc0a9c7219d7d5c185af07e400c88fb1e2,True
55,VERIFY,244,fixed_cycle_proxy_verify,1.0,30.8,19.2,28,280,28,5,5,1.0,0.19230769230769232,0.32258064516129037,03f97d73253e54d06b2a11eb427a8384ee0f775a702be2ef63c0fdabeb1f89a0,True
56,SCAN,29,fixed_cycle_scan,0.1,30.9,19.1,29,290,28,5,5,1.0,0.19230769230769232,0.32258064516129037,ad1348570d9ace72553f3f7438bbe376bdc19c6b5eeac10bd74f7ec9c05914fc,True
57,VERIFY,154,fixed_cycle_proxy_verify,1.0,31.9,18.1,29,290,29,5,5,1.0,0.19230769230769232,0.32258064516129037,e97043129c2a541285fd43a01086f0a225d33ede7d64080107072f6fdfa665a2,True
58,SCAN,31,fixed_cycle_scan,0.1,32.0,18.0,30,300,29,5,5,1.0,0.19230769230769232,0.32258064516129037,7b149bf2fafed915829730f608cf669410177bafa5cdf3f1293e16eea9f94d1d,True
59,VERIFY,207,fixed_cycle_proxy_verify,1.0,33.0,17.0,30,300,30,5,5,1.0,0.19230769230769232,0.32258064516129037,577d6f971b9e353f7866cf22e4ed35b001ba199d1faf86d213cfb6faed3a6cfb,True
60,SCAN,33,fixed_cycle_scan,0.1,33.1,16.9,31,310,30,5,5,1.0,0.19230769230769232,0.32258064516129037,1670fd1bb1bd22540448a0163508f42be9d50e8c404a8f5ade51471455c62a8e,True
61,VERIFY,336,fixed_cycle_proxy_verify,1.0,34.1,15.899999999999999,31,310,31,5,5,1.0,0.19230769230769232,0.32258064516129037,40c95a672400414ad6eb2923a12cb3f28ac575df0176dff6553092f93932f320,True
62,SCAN,7,fixed_cycle_scan,0.1,34.2,15.799999999999997,32,320,31,5,5,1.0,0.19230769230769232,0.32258064516129037,25980b82419b9c12960bd5d58d8e7f757a1e5d71a5cc69dab9e958bd84b1904b,True
63,VERIFY,72,fixed_cycle_proxy_verify,1.0,35.2,14.799999999999997,32,320,32,5,5,1.0,0.19230769230769232,0.32258064516129037,27648bc561a7c2dc19197810591e7dd05b188803ab8a632e9862961a790c5ba7,True
64,SCAN,16,fixed_cycle_scan,0.1,35.3,14.700000000000003,33,330,32,5,5,1.0,0.19230769230769232,0.32258064516129037,06e3205557cb70f4e5636a136f43f4605fa24bf087974a80ebef73e9c02d8fd5,True
65,VERIFY,73,fixed_cycle_proxy_verify,1.0,36.3,13.700000000000003,33,330,33,5,5,1.0,0.19230769230769232,0.32258064516129037,8298ef7c5382857595dc58ded8825b8650465f23a5bc80df9717f2a440ddf4d0,True
66,SCAN,25,fixed_cycle_scan,0.1,36.4,13.600000000000001,34,340,33,5,5,1.0,0.19230769230769232,0.32258064516129037,682ad90f62881ab2cb4fbdba2576ec25ba3abb3f2f9cace0b49c89619ed4c4aa,True
67,VERIFY,257,fixed_cycle_proxy_verify,1.0,37.4,12.600000000000001,34,340,34,5,5,1.0,0.19230769230769232,0.32258064516129037,f16f4a96602f27f4d401b5ca42f1c42fc586495c97ef0021e39528deb210ecc1,True
68,SCAN,34,fixed_cycle_scan,0.1,37.5,12.5,35,347,34,5,5,1.0,0.19230769230769232,0.32258064516129037,b01512e2b6441a96ed75fe6639817f4cac3dbe52cb1d90ca72ee626ef03fe103,True
69,VERIFY,251,fixed_cycle_proxy_verify,1.0,38.5,11.5,35,347,35,5,5,1.0,0.19230769230769232,0.32258064516129037,06af9ba2fa2faf9d79137b6bea79887c2622a4baf483c3a09fc109c4ae8f7acc,True
70,VERIFY,256,fixed_cycle_proxy_verify,1.0,39.5,10.5,35,347,36,5,5,1.0,0.19230769230769232,0.32258064516129037,f3a9cf417f97e4adbe203c1979687ca570cd011d23266878c2735f6eb26d084f,True
71,VERIFY,250,fixed_cycle_proxy_verify,1.0,40.5,9.5,35,347,37,5,5,1.0,0.19230769230769232,0.32258064516129037,af874268bbf9c7aeb95e711ce848a4355a249ead9568a5d1abd6cffe4737a8c6,True
72,VERIFY,335,fixed_cycle_proxy_verify,1.0,41.5,8.5,35,347,38,5,5,1.0,0.19230769230769232,0.32258064516129037,5abe9841574622ba7f73ea9a0878f6150d06ac74a1385ad6bad497aeee4135c7,True
73,VERIFY,182,fixed_cycle_proxy_verify,1.0,42.5,7.5,35,347,39,5,5,1.0,0.19230769230769232,0.32258064516129037,7dbf53bb1f53e5e96ba85ac10bd1201ee20058e736bf938c9dfbf1eba2bb0e97,True
74,VERIFY,71,fixed_cycle_proxy_verify,1.0,43.5,6.5,35,347,40,5,5,1.0,0.19230769230769232,0.32258064516129037,da7b4f8394396f9ca036c9a756d762c152ad3fb8d34824503d8af38b8f85d350,True
75,VERIFY,168,fixed_cycle_proxy_verify,1.0,44.5,5.5,35,347,41,5,5,1.0,0.19230769230769232,0.32258064516129037,1ce359e90604fa32c9585377d4af7601367996deee0374e4bd02429a514c43ec,True
76,VERIFY,319,fixed_cycle_proxy_verify,1.0,45.5,4.5,35,347,42,5,5,1.0,0.19230769230769232,0.32258064516129037,26ce8a757d288cfdfd1db20aaa2771a1b7691bb58b13b351a30e35b0dd513c60,True
77,VERIFY,165,fixed_cycle_proxy_verify,1.0,46.5,3.5,35,347,43,5,5,1.0,0.19230769230769232,0.32258064516129037,f270c16af5cfc053d7f4d4f3b99a3a674597847721c5055eb8e6ac82dff1e3b5,True
78,VERIFY,220,fixed_cycle_proxy_verify,1.0,47.5,2.5,35,347,44,5,5,1.0,0.19230769230769232,0.32258064516129037,612a38133dc9b79676f1f63fb858e3c18d9275d53969535e907fd830a1cf6659,True
79,VERIFY,339,fixed_cycle_proxy_verify,1.0,48.5,1.5,35,347,45,5,5,1.0,0.19230769230769232,0.32258064516129037,bb54e4c5872c4bab58fe4e9bb2910d5186065094717be8c928d673dfbea809fc,True
80,VERIFY,333,fixed_cycle_proxy_verify,1.0,49.5,0.5,35,347,46,5,5,1.0,0.19230769230769232,0.32258064516129037,a8c2f92585b496b321f99878c1623beecbf70624efdb855c65425c81cd3ab31a,True
