step_idx,action_type,target_id,reason,action_cost,spent_after_commit,remaining_after_commit,scanned_cells,scanned_units,verify_count,verified_positive_units,returned_event_count,event_precision,event_recall,event_f1,public_state_hash,label_revealed_only_for_verify
0,SCAN,5,fixed_cycle_scan,0.1,0.1,79.9,1,10,0,0,0,0.0,0.0,0.0,d5464192c698c3bf4af0f5ea33cec994c5fd0a4904250461e80c9f7477cd34c8,True
1,VERIFY,51,fixed_cycle_proxy_verify,1.0,1.1,78.9,1,10,1,0,0,0.0,0.0,0.0,52739b5ec06889e5f2f2bd010e12d027868b4a290d1fca7e5eda4d85fb49a1f5,True
2,VERIFY,50,fixed_cycle_proxy_verify,1.0,2.1,77.9,1,10,2,1,1,1.0,0.05,0.09523809523809523,cdd8227002f9b76c0b7ecdb99c675ebca81f72effadbe58ba3aa85fd19cff666,True
3,VERIFY,55,fixed_cycle_proxy_verify,1.0,3.1,76.9,1,10,3,1,1,1.0,0.05,0.09523809523809523,17392a142dcc7f7dd09661b7fcf7ed627704dc53c930a9babfc93f6ac39faf70,True
4,SCAN,2,fixed_cycle_scan,0.1,3.2,76.8,2,20,3,1,1,1.0,0.05,0.09523809523809523,56b7a7c044e8a1ae7ceb9036150574985afd4c68d9205582383f0f2ab60587e4,True
5,VERIFY,27,fixed_cycle_proxy_verify,1.0,4.2,75.8,2,20,4,1,1,1.0,0.05,0.09523809523809523,60b6106066cbbc2e3fe6dbeb8096c8e2af2b3839c7161491a92fc6e671311516,True
6,VERIFY,56,fixed_cycle_proxy_verify,1.0,5.2,74.8,2,20,5,2,2,1.0,0.1,0.18181818181818182,d933f6f914241c1fb4dba9573940cf77417b9ab4fdb70aec9682ca0e1814edfe,True
7,VERIFY,59,fixed_cycle_proxy_verify,1.0,6.2,73.8,2,20,6,2,2,1.0,0.1,0.18181818181818182,6b79dc9eb48a17e5acbf1322ba5afc2db5e4ad3ce48e4fa186e60746deabf4e1,True
8,SCAN,8,fixed_cycle_scan,0.1,6.3,73.7,3,30,6,2,2,1.0,0.1,0.18181818181818182,0e4a1420c86c4b0d90d8b9801bc80dd79a19925ab79c86f11555adba9e75502c,True
9,VERIFY,88,fixed_cycle_proxy_verify,1.0,7.3,72.7,3,30,7,3,3,1.0,0.15,0.2608695652173913,56513193a6be8d21ea01e2b043c578e4966dbf5428388e995f1252ae9d7533d0,True
10,VERIFY,87,fixed_cycle_proxy_verify,1.0,8.3,71.7,3,30,8,4,3,1.0,0.15,0.2608695652173913,77227169335a0a5b9d366a934b51287c8cc42863c78aea179961e340de85a637,True
11,VERIFY,86,fixed_cycle_proxy_verify,1.0,9.3,70.7,3,30,9,5,3,1.0,0.15,0.2608695652173913,4483939ccc9e148723ee09083a0d2059fbbcf4ec1eddc52af3b4928ce7f4df3e,True
12,SCAN,0,fixed_cycle_scan,0.1,9.4,70.6,4,40,9,5,3,1.0,0.15,0.2608695652173913,2eaf651582768a21456c27a5bf0cd2e5b976af301020968d302e6e12fabcb6c3,True
13,VERIFY,81,fixed_cycle_proxy_verify,1.0,10.4,69.6,4,40,10,6,4,1.0,0.2,0.33333333333333337,1c6eea2dffdfd1b5948397246c6753ba6c52e8453772068da216e82579fe4f56,True
14,VERIFY,85,fixed_cycle_proxy_verify,1.0,11.4,68.6,4,40,11,7,4,1.0,0.2,0.33333333333333337,18a1ef2144aff3bb381869fd3480f6e7280f89c11d9653a45f7502339e688e59,True
15,VERIFY,84,fixed_cycle_proxy_verify,1.0,12.4,67.6,4,40,12,8,5,0.8,0.2,0.32000000000000006,8e854059ad8e516f1c03b385d3a70221af51e727d85942fb2c41cec1df317be4,True
16,SCAN,3,fixed_cycle_scan,0.1,12.5,67.5,5,50,12,8,5,0.8,0.2,0.32000000000000006,932a7fc58e0352b379844a52a66c7b4dfbb986320ce1817bb67058e8d6294243,True
17,VERIFY,36,fixed_cycle_proxy_verify,1.0,13.5,66.5,5,50,13,8,5,0.8,0.2,0.32000000000000006,ea2aa1674e9a91bce448f5ad9df6fe6581eac4925c851468c5f58bc0d5046260,True
18,VERIFY,82,fixed_cycle_proxy_verify,1.0,14.5,65.5,5,50,14,8,5,0.8,0.2,0.32000000000000006,4324b8e235952621fac9fd0f2fe96161f176fc3bad825ebe687ac0eeff4d0522,True
19,VERIFY,0,fixed_cycle_proxy_verify,1.0,15.5,64.5,5,50,15,8,5,0.8,0.2,0.32000000000000006,17ce2151ebf26b8f4df4356295de67f74fe168be5b1443835b2c305dffd7f9a6,True
20,SCAN,6,fixed_cycle_scan,0.1,15.6,64.4,6,60,15,8,5,0.8,0.2,0.32000000000000006,a3c53b08d94a24fcae11ecc59ebd477179256ffe61c280da3bc4718832c75026,True
21,VERIFY,68,fixed_cycle_proxy_verify,1.0,16.6,63.4,6,60,16,8,5,0.8,0.2,0.32000000000000006,e6088291029920c6fe80d9a5683e1b161c065f22756bb579e81ffa38570997e3,True
22,VERIFY,80,fixed_cycle_proxy_verify,1.0,17.6,62.4,6,60,17,8,5,0.8,0.2,0.32000000000000006,c6b59227d896e28d1c94610e46cbd5d85fa01e878f220a01ec88c205459546a6,True
23,VERIFY,33,fixed_cycle_proxy_verify,1.0,18.6,61.4,6,60,18,8,5,0.8,0.2,0.32000000000000006,9264b689783ddeaa902453dbcc7ea53b7b4f836af2ff26f767f24a13b83d688c,True
