step_idx,action_type,target_id,reason,action_cost,spent_after_commit,remaining_after_commit,scanned_cells,scanned_units,verify_count,verified_positive_units,returned_event_count,event_precision,event_recall,event_f1,public_state_hash,label_revealed_only_for_verify
0,SCAN,0,arc_two_stage_complete_scan,0.1,0.1,49.9,1,10,0,0,0,0.0,0.0,0.0,a42149396d876b5124d5345fe0f30e1cd8777b69198f8df594476fcfe65dfed3,True
1,SCAN,1,arc_two_stage_complete_scan,0.1,0.2,49.8,2,20,0,0,0,0.0,0.0,0.0,70222f62037a2a587efff8007b943b1ed6f4961bbc1b75f6e8cb70320840b0fb,True
2,SCAN,2,arc_two_stage_complete_scan,0.1,0.3,49.7,3,30,0,0,0,0.0,0.0,0.0,d13185f3d1ee954a54ca1c519175fa2f020dbf72a92949b9c777aaab97c274aa,True
3,SCAN,3,arc_two_stage_complete_scan,0.1,0.4,49.6,4,40,0,0,0,0.0,0.0,0.0,91f93e2ec0324d8bf5b9321cfd2721b1ec4619e841fe117111a1c7f56f42a5f5,True
4,SCAN,4,arc_two_stage_complete_scan,0.1,0.5,49.5,5,50,0,0,0,0.0,0.0,0.0,7b21378ed030c4929fbaef4731fe22f166719f7c485eb6a29e62f0f806142fc4,True
5,SCAN,5,arc_two_stage_complete_scan,0.1,0.6,49.4,6,60,0,0,0,0.0,0.0,0.0,f7ebc33305dc07a2765f31dcd5b5dc88cb114c0192f6a6b280f2e482e02e06b2,True
6,SCAN,6,arc_two_stage_complete_scan,0.1,0.7,49.3,7,70,0,0,0,0.0,0.0,0.0,ce6828c576fe1c6ed75cd7d899eaf51fec618ab76ec098273f6d86d4f8c3e35d,True
7,SCAN,7,arc_two_stage_complete_scan,0.1,0.8,49.2,8,80,0,0,0,0.0,0.0,0.0,b62688b7865ea3b34acb80830b753c6372683851ed8262aa82e671558f11e929,True
8,SCAN,8,arc_two_stage_complete_scan,0.1,0.9,49.1,9,90,0,0,0,0.0,0.0,0.0,fd8d9c396c93458e020addfaed1a65edd2e6bdb8de441dc41a6bab239d7a4611,True
9,SCAN,9,arc_two_stage_complete_scan,0.1,1.0,49.0,10,100,0,0,0,0.0,0.0,0.0,6755c5ebff86999996d752447f6767b5fe12e7cd647966b6a48df36c88713d42,True
10,SCAN,10,arc_two_stage_complete_scan,0.1,1.1,48.9,11,110,0,0,0,0.0,0.0,0.0,316cfc9792cce7b996313b0fcb3007f709b71b4ed746accc9efe8ceb34736817,True
11,SCAN,11,arc_two_stage_complete_scan,0.1,1.2,48.8,12,120,0,0,0,0.0,0.0,0.0,1e41d97c1db072aeaab026269a5b6f80910202017b8d128135a629ab3b95b9aa,True
12,SCAN,12,arc_two_stage_complete_scan,0.1,1.3,48.7,13,130,0,0,0,0.0,0.0,0.0,bda5ab3e65e1b0a8c83e7b51163785da84deaa4044b280e6c4b7888c317ce66f,True
13,SCAN,13,arc_two_stage_complete_scan,0.1,1.4,48.6,14,140,0,0,0,0.0,0.0,0.0,fe6c0e99b255f1ecde20f878daa1568749e461ecf30afa3d6bc1a38d31125b0d,True
14,SCAN,14,arc_two_stage_complete_scan,0.1,1.5,48.5,15,150,0,0,0,0.0,0.0,0.0,75d7e7edae495883f954e37c15db931ab4473a26e4d974eb5768b8e85f77fceb,True
15,SCAN,15,arc_two_stage_complete_scan,0.1,1.6,48.4,16,160,0,0,0,0.0,0.0,0.0,1a54b2854446490ad8e2c978f51f74307192d2d8e5b09a46a104f30cf4fa9c71,True
16,SCAN,16,arc_two_stage_complete_scan,0.1,1.7,48.3,17,170,0,0,0,0.0,0.0,0.0,2a18054af6b83c5b765f96cdc07c35e727fba3b5bc0862fd80a9fa7d7752608c,True
17,SCAN,17,arc_two_stage_complete_scan,0.1,1.8,48.2,18,180,0,0,0,0.0,0.0,0.0,4fe1d2a6891b3e4f447cd75da02192030e12109fc2d6047db9a8554d00e5e874,True
18,SCAN,18,arc_two_stage_complete_scan,0.1,1.9,48.1,19,190,0,0,0,0.0,0.0,0.0,617ae5fbf21e6cc62417715347db94e6150a68ae09a55613b42bcaef068c6abc,True
19,SCAN,19,arc_two_stage_complete_scan,0.1,2.0,48.0,20,200,0,0,0,0.0,0.0,0.0,03de4706923cd3864dfe6f4884f15c9b3a9bc8f0797865d1366a5b78eb3d33f9,True
20,SCAN,20,arc_two_stage_complete_scan,0.1,2.1,47.9,21,210,0,0,0,0.0,0.0,0.0,a0983b50c2e47c9d3c5b9b20d9c3cd601259000d9120914cb1ab79976c0ccb09,True
21,SCAN,21,arc_two_stage_complete_scan,0.1,2.2,47.8,22,220,0,0,0,0.0,0.0,0.0,e3c8a7595bc23a0ee20fe8df5fad051694070fb2b67cb97380ff4dcad1630a6d,True
22,SCAN,22,arc_two_stage_complete_scan,0.1,2.3,47.7,23,230,0,0,0,0.0,0.0,0.0,620a2325c6c7039a38fee0f64d834bc38c892540a11aa2870c56aa7f705ba9eb,True
23,SCAN,23,arc_two_stage_complete_scan,0.1,2.4,47.6,24,240,0,0,0,0.0,0.0,0.0,8510a81748a586e71e91ee4e15357162d06f2daa2b224b0eca30d97b5eacf623,True
24,SCAN,24,arc_two_stage_complete_scan,0.1,2.5,47.5,25,250,0,0,0,0.0,0.0,0.0,58d771dab7e3c9bf0ec5f1faa27d271b94a2f8ded70e2c3032efe8aa7ecc192c,True
25,SCAN,25,arc_two_stage_complete_scan,0.1,2.6,47.4,26,260,0,0,0,0.0,0.0,0.0,075cb7c157a58f0bbf4602595534ba56a04190974e8feb90c92da27340e343f6,True
26,SCAN,26,arc_two_stage_complete_scan,0.1,2.7,47.3,27,270,0,0,0,0.0,0.0,0.0,391afc771f896c60081ee9bc49339ac5698775bfe505db104c037abf3569fdfa,True
27,SCAN,27,arc_two_stage_complete_scan,0.1,2.8,47.2,28,280,0,0,0,0.0,0.0,0.0,2aa63877c81e8b6c4acd6ddf58283628266b65f79aea54bead9c3d668ef54f27,True
28,SCAN,28,arc_two_stage_complete_scan,0.1,2.9,47.1,29,290,0,0,0,0.0,0.0,0.0,da6af4a2ed3b9c5fb4ad34823929e4b3b92eb18901ff7727b277065f7c7bc65d,True
29,SCAN,29,arc_two_stage_complete_scan,0.1,3.0,47.0,30,300,0,0,0,0.0,0.0,0.0,92ba18db6605a449cf495a563cf604cf68ba925e756c932b6480195b4a9a5f44,True
30,SCAN,30,arc_two_stage_complete_scan,0.1,3.1,46.9,31,310,0,0,0,0.0,0.0,0.0,e176a2c9cb6f4830ba61a099165ddc39cd5c6eb8ca3ee406ee09eb6e5d49d631,True
31,SCAN,31,arc_two_stage_complete_scan,0.1,3.2,46.8,32,320,0,0,0,0.0,0.0,0.0,65753cf8aac111e44df79b2ba71a8a2662ad9341136a92c58eb5bf2be5d76b75,True
32,SCAN,32,arc_two_stage_complete_scan,0.1,3.3,46.7,33,330,0,0,0,0.0,0.0,0.0,3f6a5ad0ddcb792a09f6781aaf449084f29136583db36ba78256c33887a88b65,True
33,SCAN,33,arc_two_stage_complete_scan,0.1,3.4,46.6,34,340,0,0,0,0.0,0.0,0.0,f642b6a8fb0a8b6bb43a8349d0e37d06dfbb73d8efc1b5a053a6ce8e9c8ad06e,True
34,SCAN,34,arc_two_stage_complete_scan,0.1,3.5,46.5,35,347,0,0,0,0.0,0.0,0.0,1851ed0500519edb60c671a4b73b4582edb987d66c6a36e48cb12000d6439434,True
35,VERIFY,344,arc_progressive_sampling_label_propagation,1.0,4.5,45.5,35,347,1,0,0,0.0,0.0,0.0,50bc0a354a55123fe91127781a789943b504795a691ebabdfcba39da4c238ab8,True
36,VERIFY,345,arc_progressive_sampling_label_propagation,1.0,5.5,44.5,35,347,2,0,0,0.0,0.0,0.0,bea88bd84786113d67a082c4227b0b5b3939aaca15a4d585a04dc3abab18549b,True
37,VERIFY,102,arc_progressive_sampling_label_propagation,1.0,6.5,43.5,35,347,3,0,0,0.0,0.0,0.0,9a486a9d2b5d376d6fd758c7c5e2a50ba7816754fa0fbe3ae5245e3409011460,True
38,VERIFY,342,arc_progressive_sampling_label_propagation,1.0,7.5,42.5,35,347,4,0,0,0.0,0.0,0.0,ecb71e6b99202dbb8339d55f16d4c29f0b5d13e5437f9de85978a9dc779c10f5,True
39,VERIFY,341,arc_progressive_sampling_label_propagation,1.0,8.5,41.5,35,347,5,0,0,0.0,0.0,0.0,3faeef43dd54cd9e68d3e2b21351c0b9c468dc9177b095aeae984e3909868740,True
40,VERIFY,339,arc_progressive_sampling_label_propagation,1.0,9.5,40.5,35,347,6,0,0,0.0,0.0,0.0,c4b49b4389f97c19aee586579488d10cc9b8e4a2d3c5eab6936fea63927ce9f3,True
41,VERIFY,49,arc_progressive_sampling_label_propagation,1.0,10.5,39.5,35,347,7,0,0,0.0,0.0,0.0,2f17882ac5b61301f1b25acf9aa269394dbe5542d0512464e4fcf598946b34ee,True
42,VERIFY,330,arc_progressive_sampling_label_propagation,1.0,11.5,38.5,35,347,8,0,0,0.0,0.0,0.0,8b6b521b777b667f9ee614944e9a86844a5710a3eb7bbbde0e05b3f3422a7a3b,True
43,VERIFY,108,arc_progressive_sampling_label_propagation,1.0,12.5,37.5,35,347,9,0,0,0.0,0.0,0.0,432d99bfbaadcb15d4490e480f39e0db51e21272fd8cea57bade335e6d99448f,True
44,VERIFY,332,arc_progressive_sampling_label_propagation,1.0,13.5,36.5,35,347,10,0,0,0.0,0.0,0.0,b553630d1c01ad56c1884a64ce622fa46050e003a5c65ce11aca30d56faf883c,True
