step_idx,action_type,target_id,reason,action_cost,spent_after_commit,remaining_after_commit,scanned_cells,scanned_units,verify_count,verified_positive_units,returned_event_count,event_precision,event_recall,event_f1,public_state_hash,label_revealed_only_for_verify
0,SCAN,17,dynamic_k3_value_v2_scan_value=0.491457,0.1,0.1,9.9,1,10,0,0,0,0.0,0.0,0.0,4a2500bbfff91f851713e867a4ab8e9266b350fca4b63fba75a423aba528be91,True
1,VERIFY,171,dynamic_k3_value_v2_verify_value=0.550257,1.0,1.1,8.9,1,10,1,1,1,1.0,0.038461538461538464,0.07407407407407407,f47698afd72d61fe5b713de05f8e1a18d31107660597ff6a1eb4722ee1efddef,True
2,SCAN,8,dynamic_k3_value_v2_scan_value=0.498911,0.1,1.2,8.8,2,20,1,1,1,1.0,0.038461538461538464,0.07407407407407407,10f88c14fee43b6ca8488fc8cc11d82be7f0ec08e9e20a6a40a853106fa86731,True
3,SCAN,26,dynamic_k3_value_v2_scan_value=0.508701,0.1,1.3,8.7,3,30,1,1,1,1.0,0.038461538461538464,0.07407407407407407,ea131562706bcc95ef2d5db092d4f9f1f3b3e846fa41c9ea7f5a3f43342cba91,True
4,SCAN,3,dynamic_k3_value_v2_scan_value=0.514021,0.1,1.4,8.6,4,40,1,1,1,1.0,0.038461538461538464,0.07407407407407407,1037efef025b43b235df40aa622d651358436b4b8e0a363e34eb44dcfefef337,True
5,SCAN,12,dynamic_k3_value_v2_scan_value=0.514021,0.1,1.5,8.5,5,50,1,1,1,1.0,0.038461538461538464,0.07407407407407407,ec4fd881147001c5d79e66c84e4b2bc79693cd84b630f5dace901a49ad8d2884,True
6,SCAN,21,dynamic_k3_value_v2_scan_value=0.520801,0.1,1.6,8.4,6,60,1,1,1,1.0,0.038461538461538464,0.07407407407407407,c4966311a6438347e74381044d5a7ef8aaa65aa37970d4bac1ace99874f882c5,True
7,VERIFY,219,dynamic_k3_value_v2_verify_value=0.528197,1.0,2.6,7.4,6,60,2,2,2,1.0,0.07692307692307693,0.14285714285714288,e28bc0ed3e5173dbf7b83aa543b64694c6a8f73c82e8d585faa95480e484863f,True
8,VERIFY,214,dynamic_k3_value_v2_verify_value=0.528053,1.0,3.6,6.4,6,60,3,2,2,1.0,0.07692307692307693,0.14285714285714288,9251944c521da9314accc695cbee615783a8309664c97ff5b9af2226d448c7b2,True
9,SCAN,30,dynamic_k3_value_v2_scan_value=0.520801,0.1,3.7,6.3,7,70,3,2,2,1.0,0.07692307692307693,0.14285714285714288,07452e0aadbbd9faa642248a860bbc7030dd5ce650df84c597cd14e08e14356e,True
10,SCAN,1,dynamic_k3_value_v2_scan_value=0.520801,0.1,3.8,6.2,8,80,3,2,2,1.0,0.07692307692307693,0.14285714285714288,a70ab1250857be8fc8cc3b05bd6bd9d44f5a1ca340aad63b8aa90b3303b56da4,True
11,SCAN,5,dynamic_k3_value_v2_scan_value=0.520801,0.1,3.9,6.1,9,90,3,2,2,1.0,0.07692307692307693,0.14285714285714288,fb0a26be82775305c8328fc6f5a2d3cc964a96944f8e77acb53704157faf6667,True
12,SCAN,10,dynamic_k3_value_v2_scan_value=0.520801,0.1,4.0,6.0,10,100,3,2,2,1.0,0.07692307692307693,0.14285714285714288,531710a64ecc8a437ce0ce13e3b1cb390385cdebefd4a6cc1e75c75136c66021,True
13,SCAN,14,dynamic_k3_value_v2_scan_value=0.520801,0.1,4.1,5.9,11,110,3,2,2,1.0,0.07692307692307693,0.14285714285714288,7f4e59fecfe04324788529fc5d0ae5ca244ccfcec130d3ba012ea7a1745737c0,True
14,VERIFY,147,dynamic_k3_value_v2_verify_value=0.606544,1.0,5.1,4.9,11,110,4,2,2,1.0,0.07692307692307693,0.14285714285714288,53a3cc2eea4ad94f9545152c4349c4c8088565059d715b3be4407c574bb63c3b,True
15,SCAN,19,dynamic_k3_value_v2_scan_value=0.520801,0.1,5.2,4.8,12,120,4,2,2,1.0,0.07692307692307693,0.14285714285714288,26d8cf7f0fc12e5ef9327f44e162822ff1c12c7994e5ab50af571a4e13d4b32c,True
16,SCAN,23,dynamic_k3_value_v2_scan_value=0.520801,0.1,5.3,4.7,13,130,4,2,2,1.0,0.07692307692307693,0.14285714285714288,73915c2e646404b14be987c0ed93822949cec00cf5ac59b0b6a4cd38940740fd,True
17,VERIFY,236,dynamic_k3_value_v2_verify_value=0.550237,1.0,6.3,3.7,13,130,5,2,2,1.0,0.07692307692307693,0.14285714285714288,fd4ccd73f61663a8f59b314c7f9fa70afd4c8c9446b1d11815f57d41b0eeeece,True
18,SCAN,28,dynamic_k3_value_v2_scan_value=0.520801,0.1,6.4,3.5999999999999996,14,140,5,2,2,1.0,0.07692307692307693,0.14285714285714288,ab7f254a026a6bce544cb94d6f50a9c5fee998e7f1afa7e981c074606044bf64,True
19,SCAN,32,dynamic_k3_value_v2_scan_value=0.520801,0.1,6.5,3.5,15,150,5,2,2,1.0,0.07692307692307693,0.14285714285714288,9d59fd3b4edd040fb1993f0730312da945b8966c0214611ee0e030729b13e069,True
