step_idx,action_type,target_id,reason,action_cost,spent_after_commit,remaining_after_commit,scanned_cells,scanned_units,verify_count,verified_positive_units,returned_event_count,event_precision,event_recall,event_f1,public_state_hash,label_revealed_only_for_verify
0,SCAN,17,dynamic_proxy_value_v1_scan_value=0.491457,0.1,0.1,4.9,1,10,0,0,0,0.0,0.0,0.0,e5c75f6efa91624bd457aaf52d338439d7321da415f3323fc766da4911844d7e,True
1,VERIFY,171,dynamic_proxy_value_v1_verify_value=0.550257,1.0,1.1,3.9,1,10,1,1,1,1.0,0.038461538461538464,0.07407407407407407,3b2541f8477d48d7c8133d0c24241ff1e32e2963e971bdfb3d2bd1d5cffb152d,True
2,SCAN,8,dynamic_proxy_value_v1_scan_value=0.507212,0.1,1.2,3.8,2,20,1,1,1,1.0,0.038461538461538464,0.07407407407407407,1949c267106ee0d735e2ffd50f829f2a80b1ce70b5c00f7133d3eb0de4a8af72,True
3,SCAN,26,dynamic_proxy_value_v1_scan_value=0.508701,0.1,1.3,3.7,3,30,1,1,1,1.0,0.038461538461538464,0.07407407407407407,47f5842cc40497d82184b8937c020307ca3a5bf2b5da8a1a2f5cf090424bbc04,True
4,SCAN,3,dynamic_proxy_value_v1_scan_value=0.514021,0.1,1.4,3.6,4,40,1,1,1,1.0,0.038461538461538464,0.07407407407407407,82565209130b98a383a1f766b313a0f0b08911bcc2ea762bc63a944513f879b9,True
5,SCAN,12,dynamic_proxy_value_v1_scan_value=0.514021,0.1,1.5,3.5,5,50,1,1,1,1.0,0.038461538461538464,0.07407407407407407,e8bc93c0e0521839e0007571ea381a633ff1e0c97941bc0c3f20940342e5ba78,True
6,SCAN,21,dynamic_proxy_value_v1_scan_value=0.520801,0.1,1.6,3.4,6,60,1,1,1,1.0,0.038461538461538464,0.07407407407407407,49cbd9c322ffad0de01400aac3d5d6213ef6b077f4b76d045b80a1dc37e1beab,True
7,VERIFY,219,dynamic_proxy_value_v1_verify_value=0.528197,1.0,2.6,2.4,6,60,2,2,2,1.0,0.07692307692307693,0.14285714285714288,11a3e7554558f85b0038e1b687ed6b9351ad369b13f51974dec1d3029a545014,True
8,VERIFY,214,dynamic_proxy_value_v1_verify_value=0.528053,1.0,3.6,1.4,6,60,3,2,2,1.0,0.07692307692307693,0.14285714285714288,cf90f14c5638623208103eccb4cccc5bc31779c0e3765ff2556c04de48ad78df,True
9,SCAN,30,dynamic_proxy_value_v1_scan_value=0.520801,0.1,3.7,1.2999999999999998,7,70,3,2,2,1.0,0.07692307692307693,0.14285714285714288,e83b307336f4e8e5d8e7247d00e28d6a5892655a031b4fc66be73a7d8e959700,True
10,SCAN,1,dynamic_proxy_value_v1_scan_value=0.520801,0.1,3.8,1.2000000000000002,8,80,3,2,2,1.0,0.07692307692307693,0.14285714285714288,ec32123455f942e88d65b417fca0137950500b6b07ef630661c51a2646ea6bbc,True
11,SCAN,5,dynamic_proxy_value_v1_scan_value=0.520801,0.1,3.9,1.1,9,90,3,2,2,1.0,0.07692307692307693,0.14285714285714288,b1e18f9df42dc363b5a1a51b709794f9098e7c89de39f9166e68829c9f16b22a,True
12,SCAN,10,dynamic_proxy_value_v1_scan_value=0.520801,0.1,4.0,1.0,10,100,3,2,2,1.0,0.07692307692307693,0.14285714285714288,ad4264779c4bfec5aaed26e1cf9007c369c30282211165796e0f50b0531fac9a,True
13,VERIFY,123,dynamic_proxy_value_v1_verify_value=0.520458,1.0,5.0,0.0,10,100,4,2,2,1.0,0.07692307692307693,0.14285714285714288,4c0d134bfc66769026e5e9b52e5e12423b42cf28b1ffbb98b6a1a964671bd71a,True
